Set	No.	Code	Type	Rarity	USD	EUR	Result	Set Count	Hilfe	Type vereinfacht
SP	1	Grookey	GBasic		$2.47	3.15€	Grookey SP 1	110	Grookey SP	Pokémon
SP	2	Scorbunny	RBasic		$3.23	3.48€	Scorbunny SP 2	110	Scorbunny SP	Pokémon
SP	3	Sobble	WBasic		$2.94	3.58€	Sobble SP 3	110	Sobble SP	Pokémon
SP	4	Meowth V	CBasic		$1.31	2.04€	Meowth V SP 4	110	Meowth V SP	Pokémon
SP	5	Meowth VMAX	CVMAX		$4.05	4.04€	Meowth VMAX SP 5	110	Meowth VMAX SP	Pokémon
SP	6	Rillaboom	GStage 2		$5.62	22.91€	Rillaboom SP 6	110	Rillaboom SP	Pokémon
SP	7	Frosmoth	WStage 1		$5.75	14.69€	Frosmoth SP 7	110	Frosmoth SP	Pokémon
SP	8	Galarian Perrserker	MStage 1		$4.12	16.03€	Galarian Perrserker SP 8	110	Galarian Perrserker SP	Pokémon
SP	9	Cinccino	CStage 1		$8.01	21.96€	Cinccino SP 9	110	Cinccino SP	Pokémon
SP	10	Gossifleur	GBasic		$0.41	1.02€	Gossifleur SP 10	110	Gossifleur SP	Pokémon
SP	11	Wooloo	CBasic		$0.92	2.01€	Wooloo SP 11	110	Wooloo SP	Pokémon
SP	12	Morpeko	LBasic		$0.92	1.11€	Morpeko SP 12	110	Morpeko SP	Pokémon
SP	13	Galarian Ponyta	PBasic		$3.09	3.16€	Galarian Ponyta SP 13	110	Galarian Ponyta SP	Pokémon
SP	14	Rillaboom V	GBasic		$0.61	1.10€	Rillaboom V SP 14	110	Rillaboom V SP	Pokémon
SP	15	Cinderace V	RBasic		$0.58	1.11€	Cinderace V SP 15	110	Cinderace V SP	Pokémon
SP	16	Inteleon V	WBasic		$0.63	0.95€	Inteleon V SP 16	110	Inteleon V SP	Pokémon
SP	17	Toxtricity V	LBasic		$0.83	2.28€	Toxtricity V SP 17	110	Toxtricity V SP	Pokémon
SP	18	Zacian V	MBasic		$0.53	1.29€	Zacian V SP 18	110	Zacian V SP	Pokémon
SP	19	Zamazenta V	MBasic		$0.53	1.29€	Zamazenta V SP 19	110	Zamazenta V SP	Pokémon
SP	20	Pikachu	LBasic		$45.55	30.84€	Pikachu SP 20	110	Pikachu SP	Pokémon
SP	21	Polteageist V	PBasic		$1.36	1.05€	Polteageist V SP 21	110	Polteageist V SP	Pokémon
SP	22	Flapple	GStage 1		$5.44	14.33€	Flapple SP 22	110	Flapple SP	Pokémon
SP	23	Luxray	LStage 2		$9.74	12.16€	Luxray SP 23	110	Luxray SP	Pokémon
SP	24	Coalossal	FStage 2		$3.95	10.25€	Coalossal SP 24	110	Coalossal SP	Pokémon
SP	25	Garbodor	DStage 1		$5.16	8.43€	Garbodor SP 25	110	Garbodor SP	Pokémon
SP	26	Mantine	WBasic		$1.25	2.78€	Mantine SP 26	110	Mantine SP	Pokémon
SP	27	Noctowl	CStage 1		$1.58	3.09€	Noctowl SP 27	110	Noctowl SP	Pokémon
SP	28	Duraludon	MBasic		$0.52	0.54€	Duraludon SP 28	110	Duraludon SP	Pokémon
SP	29	Rayquaza	CBasic		$1.21	2.44€	Rayquaza SP 29	110	Rayquaza SP	Pokémon
SP	30	Copperajah V	MBasic		$0.60	0.81€	Copperajah V SP 30	110	Copperajah V SP	Pokémon
SP	31	Morpeko	LBasic		$0.25	2.33€	Morpeko SP 31	110	Morpeko SP	Pokémon
SP	32	Snorlax	CBasic		$9.18	11.95€	Snorlax SP 32	110	Snorlax SP	Pokémon
SP	33	Zacian	MBasic		$3.46	4.18€	Zacian SP 33	110	Zacian SP	Pokémon
SP	34	Zamazenta	MBasic		$3.65	3.34€	Zamazenta SP 34	110	Zamazenta SP	Pokémon
SP	35	Decidueye	GStage 2		$5.33	15.10€	Decidueye SP 35	110	Decidueye SP	Pokémon
SP	36	Arctozolt	LStage 1		$6.63	20.34€	Arctozolt SP 36	110	Arctozolt SP	Pokémon
SP	37	Hydreigon	DStage 2		$6.31	15.42€	Hydreigon SP 37	110	Hydreigon SP	Pokémon
