archetype;status;trend;old_appearances;new_appearances;appearances_change;old_avg_placement;new_avg_placement;placement_change;old_best;new_best
mega lucario hariyama;BESTEHEND;AUFSTEIGEND;82;241;159;8,68;8,66;-0,02;1;1
dragapult dusknoir;BESTEHEND;AUFSTEIGEND;34;143;109;8,32;7,96;-0,36;1;1
mega starmie mega froslass;BESTEHEND;AUFSTEIGEND;45;83;38;7,53;7,57;0,04;1;1
garchomp roserade;BESTEHEND;AUFSTEIGEND;38;82;44;8,34;8,23;-0,11;2;1
grimmsnarl froslass;BESTEHEND;AUFSTEIGEND;26;76;50;8,04;7,17;-0,87;1;1
honchkrow porygon-z;BESTEHEND;AUFSTEIGEND;33;69;36;7,82;7,65;-0,17;1;1
alakazam dudunsparce;BESTEHEND;AUFSTEIGEND;25;63;38;7,88;7,9;0,02;2;1
archaludon;BESTEHEND;AUFSTEIGEND;25;62;37;8,68;9,06;0,38;1;1
dragapult noctowl;BESTEHEND;AUFSTEIGEND;25;58;33;8,36;8,07;-0,29;1;1
mega froslass mega starmie;BESTEHEND;AUFSTEIGEND;26;44;18;8,62;8,64;0,02;1;1
spidops mewtwo;BESTEHEND;AUFSTEIGEND;21;43;22;10,29;8,88;-1,41;2;2
mega venusaur ogerpon;BESTEHEND;AUFSTEIGEND;8;41;33;11,12;9,9;-1,22;2;1
dipplin thwackey;BESTEHEND;AUFSTEIGEND;20;38;18;8,55;8,92;0,37;2;2
zoroark darmanitan;BESTEHEND;AUFSTEIGEND;12;36;24;8,33;8,14;-0,19;1;1
mega lucario solrock;BESTEHEND;AUFSTEIGEND;6;35;29;7,83;6,66;-1,17;1;1
ogerpon mega venusaur;BESTEHEND;AUFSTEIGEND;9;23;14;6,67;7,3;0,63;1;1
dragapult;BESTEHEND;AUFSTEIGEND;14;23;9;9,07;8,43;-0,64;1;1
dragapult blaziken;BESTEHEND;AUFSTEIGEND;4;21;17;7,5;8,62;1,12;1;1
barbaracle okidogi;BESTEHEND;AUFSTEIGEND;2;19;17;5,5;9,05;3,55;4;1
dipplin rillaboom;BESTEHEND;AUFSTEIGEND;9;18;9;9,33;8,78;-0,55;1;1
mega meganium ogerpon;BESTEHEND;AUFSTEIGEND;3;18;15;9,33;7,39;-1,94;1;1
rillaboom dipplin;BESTEHEND;AUFSTEIGEND;9;17;8;7,56;7,65;0,09;1;1
dragapult crobat;BESTEHEND;AUFSTEIGEND;6;16;10;2,83;6,62;3,79;1;1
grimmsnarl munkidori;BESTEHEND;AUFSTEIGEND;3;16;13;4,33;6,44;2,11;1;1
zoroark;BESTEHEND;AUFSTEIGEND;6;14;8;9,17;10,93;1,76;2;2
greninja mega starmie;BESTEHEND;AUFSTEIGEND;4;13;9;6,75;7,38;0,63;2;2
noctowl flareon;BESTEHEND;AUFSTEIGEND;5;13;8;12,2;11,85;-0,35;12;5
metagross empoleon;BESTEHEND;AUFSTEIGEND;4;13;9;9,0;7,92;-1,08;5;1
thwackey dipplin;BESTEHEND;AUFSTEIGEND;8;12;4;9,38;8,58;-0,8;2;2
dusknoir mega diancie;NEU;AUFSTEIGEND;0;12;12;0;7,67;7,67;0;1
mega sharpedo toxtricity;BESTEHEND;AUFSTEIGEND;6;12;6;7,5;8,58;1,08;3;3
mega diancie dusknoir;BESTEHEND;AUFSTEIGEND;1;11;10;1,0;9,27;8,27;1;1
ceruledge;BESTEHEND;AUFSTEIGEND;2;9;7;9,5;10,78;1,28;6;5
mega starmie dusknoir;BESTEHEND;AUFSTEIGEND;3;9;6;15,67;9,44;-6,23;15;1
noctowl ogerpon;BESTEHEND;AUFSTEIGEND;3;8;5;9,33;10,0;0,67;6;6
okidogi barbaracle;BESTEHEND;AUFSTEIGEND;5;8;3;7,2;6,88;-0,32;3;2
dragapult jellicent;BESTEHEND;AUFSTEIGEND;1;7;6;1,0;6,43;5,43;1;1
honchkrow porygon2;BESTEHEND;AUFSTEIGEND;4;7;3;7,0;8,57;1,57;3;3
grimmsnarl mega froslass;BESTEHEND;AUFSTEIGEND;3;7;4;7,0;7,71;0,71;6;2
spidops;BESTEHEND;AUFSTEIGEND;4;6;2;10,5;11,83;1,33;2;2
mega lucario dusknoir;BESTEHEND;AUFSTEIGEND;5;6;1;8,8;8,33;-0,47;4;4
mega starmie dusclops;BESTEHEND;STABIL;6;6;0;5,5;5,5;0,0;1;1
jellicent dusknoir;BESTEHEND;AUFSTEIGEND;1;6;5;3,0;4,17;1,17;3;1
zoroark pecharunt;BESTEHEND;AUFSTEIGEND;3;6;3;11,0;11,67;0,67;8;8
zoroark dusknoir;BESTEHEND;AUFSTEIGEND;1;5;4;4,0;3,8;-0,2;4;2
metagross jellicent;BESTEHEND;AUFSTEIGEND;1;5;4;6,0;9,2;3,2;6;3
mega lucario;BESTEHEND;AUFSTEIGEND;3;5;2;13,0;11,6;-1,4;11;9
dragapult meowth;NEU;AUFSTEIGEND;0;5;5;0;9,0;9,0;0;2
dragapult mega starmie;BESTEHEND;AUFSTEIGEND;2;5;3;5,5;4,8;-0,7;4;2
toxtricity munkidori;BESTEHEND;AUFSTEIGEND;4;5;1;10,5;11,4;0,9;10;10
noctowl ogerpon-wellspring;BESTEHEND;AUFSTEIGEND;2;4;2;10,5;9,0;-1,5;7;5
mega froslass bronzong;BESTEHEND;AUFSTEIGEND;2;4;2;13,5;11,0;-2,5;12;6
greninja dusknoir;NEU;AUFSTEIGEND;0;4;4;0;7,25;7,25;0;6
