deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Dragapult Dusknoir;BESTEHEND;STABIL;1;1;0;2339;4712;2373;8,09;10,55;2,46;49,62;51,29;1,67
Gholdengo Lunatone;BESTEHEND;AUFSTEIGEND;7;2;5;1577;4088;2511;5,46;9,15;3,69;53,86;52,29;-1,57
Gardevoir Jellicent;BESTEHEND;AUFSTEIGEND;8;3;5;1228;2259;1031;4,25;5,06;0,81;50,35;50,1;-0,25
Charizard Noctowl;BESTEHEND;AUFSTEIGEND;57;4;53;42;2204;2162;0,15;4,93;4,78;45,4;52,44;7,04
Charizard Pidgeot;BESTEHEND;STABIL;5;5;0;1803;2004;201;6,24;4,49;-1,75;49,11;47,95;-1,16
Alakazam Dudunsparce;BESTEHEND;AUFSTEIGEND;11;6;5;776;1831;1055;2,69;4,1;1,41;48,35;51,1;2,75
Mega Absol Box;BESTEHEND;ABSTEIGEND;6;7;-1;1610;1757;147;5,57;3,93;-1,64;49,2;49,28;0,08
Grimmsnarl Froslass;BESTEHEND;ABSTEIGEND;4;9;-5;1833;1597;-236;6,34;3,58;-2,76;53,07;52,09;-0,98
Kangaskhan Bouffalant;BESTEHEND;AUFSTEIGEND;25;10;15;279;1582;1303;0,97;3,54;2,57;47,56;51,23;3,67
N's Zoroark;BESTEHEND;AUFSTEIGEND;12;11;1;752;1578;826;2,6;3,53;0,93;46,96;46,9;-0,06
Gardevoir;BESTEHEND;ABSTEIGEND;2;12;-10;1959;1322;-637;6,78;2,96;-3,82;50,58;51,34;0,76
Lopunny Dusknoir;NEU;AUFSTEIGEND;-;13;0;0;1220;1220;0;2,73;2,73;0;47,81;47,81
Ceruledge;BESTEHEND;ABSTEIGEND;3;14;-11;1862;1128;-734;6,44;2,53;-3,91;49,99;48,56;-1,43
Raging Bolt Ogerpon;BESTEHEND;ABSTEIGEND;9;15;-6;939;1094;155;3,25;2,45;-0,8;48,06;50,54;2,48
Tera Box;BESTEHEND;ABSTEIGEND;10;16;-6;846;808;-38;2,93;1,81;-1,12;49,38;48,41;-0,97
Dragapult Charizard;BESTEHEND;AUFSTEIGEND;22;17;5;355;758;403;1,23;1,7;0,47;48,59;53,2;4,61
Sharpedo Toxtricity;NEU;AUFSTEIGEND;-;18;0;0;676;676;0;1,51;1,51;0;43,58;43,58
Mega Venusaur;BESTEHEND;ABSTEIGEND;14;19;-5;669;611;-58;2,32;1,37;-0,95;45,3;45,23;-0,07
Flareon Noctowl;BESTEHEND;ABSTEIGEND;18;20;-2;422;608;186;1,46;1,36;-0,1;48,94;47,04;-1,9
Greninja;BESTEHEND;AUFSTEIGEND;30;21;9;229;602;373;0,79;1,35;0,56;51,79;48,75;-3,04
Lucario Hariyama;BESTEHEND;ABSTEIGEND;15;22;-7;504;523;19;1,74;1,17;-0,57;45,99;50,16;4,17
Gholdengo;BESTEHEND;ABSTEIGEND;19;23;-4;418;480;62;1,45;1,07;-0,38;46,23;49,19;2,96
Cynthia's Garchomp;BESTEHEND;ABSTEIGEND;21;24;-3;396;467;71;1,37;1,05;-0,32;48,04;48,34;0,3
Joltik Box;BESTEHEND;ABSTEIGEND;17;25;-8;433;462;29;1,5;1,03;-0,47;54,84;49,32;-5,52
Seaking Festival Lead;BESTEHEND;AUFSTEIGEND;99;26;73;11;392;381;0,04;0,88;0,84;50,0;53,24;3,24
Froslass Munkidori;BESTEHEND;AUFSTEIGEND;33;27;6;210;369;159;0,73;0,83;0,1;47,89;46,94;-0,95
Slowking;BESTEHEND;ABSTEIGEND;24;28;-4;308;368;60;1,07;0,82;-0,25;48,42;45,06;-3,36
Hydreigon;BESTEHEND;AUFSTEIGEND;38;29;9;178;355;177;0,62;0,79;0,17;39,7;40,39;0,69
Toxtricity Box;NEU;AUFSTEIGEND;-;30;0;0;317;317;0;0,71;0,71;0;45,67;45,67
Festival Lead;BESTEHEND;AUFSTEIGEND;34;31;3;195;305;110;0,67;0,68;0,01;51,46;50,75;-0,71
Ethan's Typhlosion;BESTEHEND;ABSTEIGEND;28;32;-4;235;295;60;0,81;0,66;-0,15;47,71;45,96;-1,75
Pidgeot Control;BESTEHEND;ABSTEIGEND;16;33;-17;484;294;-190;1,67;0,66;-1,01;47,55;46,78;-0,77
Dragapult;BESTEHEND;ABSTEIGEND;26;34;-8;276;286;10;0,96;0,64;-0,32;48,46;50,08;1,62
Crustle;BESTEHEND;ABSTEIGEND;20;35;-15;406;274;-132;1,41;0,61;-0,8;54,14;46,3;-7,84
Rocket's Mewtwo;BESTEHEND;AUFSTEIGEND;40;36;4;152;245;93;0,53;0,55;0,02;49,27;43,96;-5,31
