tournament_id;tournament_name;tournament_date;players;format;cards_url;total_cards;status
529;Regional Birmingham – Limitless (37 decks);24th January 2026;2344;SVI-PFL;https://limitlesstcg.com/tournaments/529/cards;1482;success
530;Regional Mérida – Limitless (28 decks);24th January 2026;1690;SVI-PFL;https://limitlesstcg.com/tournaments/530/cards;1107;success
538;Regional Toronto – Limitless (35 decks);17th January 2026;2270;SVI-PFL;https://limitlesstcg.com/tournaments/538/cards;1367;success
528;Regional Stuttgart – Limitless (37 decks);29th November 2025;2200;SVI-PFL;https://limitlesstcg.com/tournaments/528/cards;1452;success
557;Indonesia Premier Ball League – Limitless (30 decks);22nd November 2025;827;SVI-MEG;https://limitlesstcg.com/tournaments/557/cards;1071;success
516;LAIC 2025–26, São Paulo – Limitless (35 decks);21st November 2025;2117;SVI-MEG;https://limitlesstcg.com/tournaments/516/cards;1354;success
526;Regional Las Vegas, NV – Limitless (41 decks);15th November 2025;2919;SVI-MEG;https://limitlesstcg.com/tournaments/526/cards;1659;success
527;Special Event Buenos Aires – Limitless (14 decks);15th November 2025;350;SVI-MEG;https://limitlesstcg.com/tournaments/527/cards;463;success
554;Singapore Premier Ball League – Limitless (28 decks);15th November 2025;647;SVI-SSP;https://limitlesstcg.com/tournaments/554/cards;939;success
525;Regional Gdańsk – Limitless (33 decks);1st November 2025;1675;SVI-MEG;https://limitlesstcg.com/tournaments/525/cards;1313;success
524;Regional Lille – Limitless (37 decks);25th October 2025;2028;SVI-MEG;https://limitlesstcg.com/tournaments/524/cards;1434;success
522;Regional Belo Horizonte – Limitless (31 decks);11th October 2025;1117;SVI-MEG;https://limitlesstcg.com/tournaments/522/cards;1160;success
523;Regional Milwaukee, WI – Limitless (42 decks);11th October 2025;2305;SVI-MEG;https://limitlesstcg.com/tournaments/523/cards;1673;success
521;Regional Pittsburgh, PA – Limitless (34 decks);20th September 2025;2691;SVI-BLK;https://limitlesstcg.com/tournaments/521/cards;1365;success
519;Regional Frankfurt – Limitless (37 decks);13th September 2025;2433;SVI-BLK;https://limitlesstcg.com/tournaments/519/cards;1472;success
520;Regional Monterrey – Limitless (27 decks);13th September 2025;1620;SVI-BLK;https://limitlesstcg.com/tournaments/520/cards;1039;success
555;Philippines Premier Ball League – Limitless (18 decks);6th September 2025;799;SVI-BLK;https://limitlesstcg.com/tournaments/555/cards;655;success
500;World Championships 2025 – Limitless (19 decks);15th August 2025;721;SVI-BLK;https://limitlesstcg.com/tournaments/500/cards;710;success
511;Singapore Master Ball League – Limitless (11 decks);28th June 2025;524;SVI-DRI;https://limitlesstcg.com/tournaments/511/cards;364;success
463;NAIC 2025, New Orleans – Limitless (34 decks);13th June 2025;3812;SVI-DRI;https://limitlesstcg.com/tournaments/463/cards;1235;success
501;Special Event Bologna – Limitless (25 decks);31st May 2025;1239;SVI-JTG;https://limitlesstcg.com/tournaments/501/cards;952;success
497;Regional Portland, OR – Limitless (29 decks);24th May 2025;1688;SVI-JTG;https://limitlesstcg.com/tournaments/497/cards;1067;success
503;Special Event Durban – Limitless (3 decks);24th May 2025;91;SVI-JTG;https://limitlesstcg.com/tournaments/503/cards;85;success
508;Indonesia Master Ball League – Limitless (13 decks);24th May 2025;942;SVI-TWM;https://limitlesstcg.com/tournaments/508/cards;431;success
470;Special Event Utrecht – Limitless (29 decks);17th May 2025;1241;SVI-JTG;https://limitlesstcg.com/tournaments/470/cards;1086;success
475;Regional Santiago – Limitless (22 decks);17th May 2025;1249;SVI-JTG;https://limitlesstcg.com/tournaments/475/cards;900;success
498;Regional Melbourne – Limitless (19 decks);17th May 2025;563;SVI-JTG;https://limitlesstcg.com/tournaments/498/cards;654;success
466;Regional Milwaukee, WI – Limitless (31 decks);3rd May 2025;1657;SVI-JTG;https://limitlesstcg.com/tournaments/466/cards;1184;success
469;Special Event Sevilla – Limitless (29 decks);26th April 2025;817;SVI-JTG;https://limitlesstcg.com/tournaments/469/cards;983;success
506;Philippines Master Ball League – Limitless (10 decks);26th April 2025;515;SVI-JTG;https://limitlesstcg.com/tournaments/506/cards;331;success
502;Special Event Johannesburg – Limitless (2 decks);26th April 2025;85;SVI-JTG;https://limitlesstcg.com/tournaments/502/cards;63;success
505;Malaysia Master Ball League – Limitless (10 decks);19th April 2025;1017;SVI-JTG;https://limitlesstcg.com/tournaments/505/cards;293;success
474;Regional Monterrey – Limitless (28 decks);19th April 2025;1327;SVI-JTG;https://limitlesstcg.com/tournaments/474/cards;1018;success
489;Regional Atlanta, GA – Limitless (27 decks);12th April 2025;2684;SVI-JTG;https://limitlesstcg.com/tournaments/489/cards;1075;success
477;Regional Brisbane – Limitless (19 decks);29th March 2025;470;BRS-PRE;https://limitlesstcg.com/tournaments/477/cards;660;success
468;Regional Stockholm – Limitless (22 decks);22nd March 2025;815;BRS-PRE;https://limitlesstcg.com/tournaments/468/cards;820;success
473;Regional Fortaleza – Limitless (25 decks);8th March 2025;715;BRS-PRE;https://limitlesstcg.com/tournaments/473/cards;881;success
465;Regional Vancouver – Limitless (24 decks);8th March 2025;1314;BRS-PRE;https://limitlesstcg.com/tournaments/465/cards;948;success
462;EUIC 2025, London – Limitless (27 decks);21st February 2025;3361;BRS-PRE;https://limitlesstcg.com/tournaments/462/cards;1112;success
483;Special Event Puerto Rico – Limitless (16 decks);15th February 2025;299;BRS-PRE;https://limitlesstcg.com/tournaments/483/cards;523;success
472;Regional Mérida – Limitless (24 decks);8th February 2025;1151;BRS-PRE;https://limitlesstcg.com/tournaments/472/cards;930;success
484;Regional San Antonio, TX – Limitless (28 decks);25th January 2025;2400;BRS-SSP;https://limitlesstcg.com/tournaments/484/cards;1093;success
467;Regional Birmingham – Limitless (35 decks);18th January 2025;2018;BRS-SSP;https://limitlesstcg.com/tournaments/467/cards;1397;success
471;Regional Rio de Janeiro – Limitless (27 decks);18th January 2025;1139;BRS-SSP;https://limitlesstcg.com/tournaments/471/cards;991;success
460;Regional Toronto – Limitless (30 decks);12th December 2024;2137;BRS-SSP;https://limitlesstcg.com/tournaments/460/cards;1088;success
512;Malaysia Premier Ball League – Limitless (3 decks);7th December 2024;633;BRS-SSP;https://limitlesstcg.com/tournaments/512/cards;91;success
476;Regional Perth – Limitless (16 decks);7th December 2024;318;BRS-SSP;https://limitlesstcg.com/tournaments/476/cards;538;success
459;Special Event Bogotá – Limitless (22 decks);7th December 2024;215;BRS-SSP;https://limitlesstcg.com/tournaments/459/cards;730;success
458;Regional Stuttgart – Limitless (33 decks);30th November 2024;1702;BRS-SSP;https://limitlesstcg.com/tournaments/458/cards;1357;success
457;Regional Sacramento, CA – Limitless (36 decks);23rd November 2024;1705;BRS-SSP;https://limitlesstcg.com/tournaments/457/cards;1454;success
494;Indonesia Premier Ball League – Limitless (12 decks);16th November 2024;447;BRS-SCR;https://limitlesstcg.com/tournaments/494/cards;390;success
461;LAIC 2024–25, São Paulo – Limitless (24 decks);15th November 2024;1810;BRS-SCR;https://limitlesstcg.com/tournaments/461/cards;848;success
456;Special Event Buenos Aires – Limitless (14 decks);9th November 2024;275;BRS-SCR;https://limitlesstcg.com/tournaments/456/cards;419;success
455;Regional Gdańsk – Limitless (22 decks);2nd November 2024;1372;BRS-SCR;https://limitlesstcg.com/tournaments/455/cards;739;success
486;Singapore Premier Ball League – Limitless (13 decks);2nd November 2024;409;BRS-SCR;https://limitlesstcg.com/tournaments/486/cards;428;success
485;Philippines Premier Ball League – Limitless (15 decks);26th October 2024;305;BRS-SCR;https://limitlesstcg.com/tournaments/485/cards;460;success
454;Regional Lille – Limitless (23 decks);19th October 2024;1311;BRS-SCR;https://limitlesstcg.com/tournaments/454/cards;803;success
493;Thailand Premier Ball League – Limitless (14 decks);19th October 2024;461;SVI-SCR;https://limitlesstcg.com/tournaments/493/cards;433;success
453;Regional Louisville, KY – Limitless (26 decks);12th October 2024;1938;BRS-SCR;https://limitlesstcg.com/tournaments/453/cards;947;success
