Set	No.	Name	Type	Rarity	USD	EUR	Result	Hilfe
M3	1	Spinarak	GBasic	Common			Spinarak M3 1	Spinarak M3
M3	2	Ariados	GStage 1	Common			Ariados M3 2	Ariados M3
M3	3	Shaymin	GBasic	Uncommon			Shaymin M3 3	Shaymin M3
M3	4	Snivy	GBasic	Common			Snivy M3 4	Snivy M3
M3	5	Servine	GStage 1	Common			Servine M3 5	Servine M3
M3	6	Serperior	GStage 2	Rare			Serperior M3 6	Serperior M3
M3	7	Scatterbug	GBasic	Common			Scatterbug M3 7	Scatterbug M3
M3	8	Spewpa	GStage 1	Common			Spewpa M3 8	Spewpa M3
M3	9	Vivillon	GStage 2	Uncommon			Vivillon M3 9	Vivillon M3
M3	10	Rowlet	GBasic	Common			Rowlet M3 10	Rowlet M3
M3	11	Dartrix	GStage 1	Common			Dartrix M3 11	Dartrix M3
M3	12	Decidueye ex	GStage 2	Double Rare			Decidueye ex M3 12	Decidueye ex M3
M3	13	Fletchinder	RStage 1	Common			Fletchinder M3 13	Fletchinder M3
M3	14	Talonflame	RStage 2	Uncommon			Talonflame M3 14	Talonflame M3
M3	15	Salandit	RBasic	Common			Salandit M3 15	Salandit M3
M3	16	Salazzle ex	RStage 1	Double Rare			Salazzle ex M3 16	Salazzle ex M3
M3	17	Turtonator	RBasic	Uncommon			Turtonator M3 17	Turtonator M3
M3	18	Seel	WBasic	Common			Seel M3 18	Seel M3
M3	19	Dewgong	WStage 1	Rare			Dewgong M3 19	Dewgong M3
M3	20	Staryu	WBasic	Common			Staryu M3 20	Staryu M3
M3	21	Mega Starmie ex	WStage 1	Double Rare			Mega Starmie ex M3 21	Mega Starmie ex M3
M3	22	Amaura	WStage 1	Common			Amaura M3 22	Amaura M3
M3	23	Aurorus	WStage 2	Uncommon			Aurorus M3 23	Aurorus M3
M3	24	Volcanion	WBasic	Uncommon			Volcanion M3 24	Volcanion M3
M3	25	Shinx	LBasic	Common			Shinx M3 25	Shinx M3
M3	26	Luxio	LStage 1	Uncommon			Luxio M3 26	Luxio M3
M3	27	Luxray	LStage 2	Rare			Luxray M3 27	Luxray M3
M3	28	Dedenne	LBasic	Common			Dedenne M3 28	Dedenne M3
M3	29	Clefairy	PBasic	Common			Clefairy M3 29	Clefairy M3
M3	30	Mega Clefable ex	PStage 1	Double Rare			Mega Clefable ex M3 30	Mega Clefable ex M3
M3	31	Mawile	PBasic	Common			Mawile M3 31	Mawile M3
M3	32	Espurr	PBasic	Common			Espurr M3 32	Espurr M3
M3	33	Meowstic	PStage 1	Uncommon			Meowstic M3 33	Meowstic M3
M3	34	Spritzee	PBasic	Common			Spritzee M3 34	Spritzee M3
M3	35	Aromatisse	PStage 1	Uncommon			Aromatisse M3 35	Aromatisse M3
M3	36	Nosepass	FBasic	Common			Nosepass M3 36	Nosepass M3
M3	37	Probopass	FStage 1	Common			Probopass M3 37	Probopass M3
M3	38	Hippopotas	FBasic	Common			Hippopotas M3 38	Hippopotas M3
M3	39	Hippowdon	FStage 1	Uncommon			Hippowdon M3 39	Hippowdon M3
M3	40	Landorus	FBasic	Rare			Landorus M3 40	Landorus M3
M3	41	Binacle	FBasic	Common			Binacle M3 41	Binacle M3
M3	42	Barbaracle	FStage 1	Uncommon			Barbaracle M3 42	Barbaracle M3
M3	43	Tyrunt	FStage 1	Common			Tyrunt M3 43	Tyrunt M3
M3	44	Tyrantrum	FStage 2	Uncommon			Tyrantrum M3 44	Tyrantrum M3
M3	45	Hawlucha	FBasic	Common			Hawlucha M3 45	Hawlucha M3
