rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
1;Dragapult Dusknoir;4712;10.55%;10,55;11475;10453;446;51.29%;51,29
2;Gholdengo Lunatone;4088;9.15%;9,15;10334;8987;441;52.29%;52,29
3;Gardevoir Jellicent;2259;5.06%;5,06;5218;4866;332;50.10%;50,1
4;Charizard Noctowl;2204;4.93%;4,93;5702;4958;214;52.44%;52,44
5;Charizard Pidgeot;2004;4.49%;4,49;4283;4425;224;47.95%;47,95
6;Alakazam Dudunsparce;1831;4.10%;4,1;4351;3997;166;51.10%;51,1
7;Mega Absol Box;1757;3.93%;3,93;3841;3725;229;49.28%;49,28
9;Grimmsnarl Froslass;1597;3.58%;3,58;3906;3429;163;52.09%;52,09
10;Kangaskhan Bouffalant;1582;3.54%;3,54;3835;3458;193;51.23%;51,23
11;N's Zoroark;1578;3.53%;3,53;3167;3428;158;46.90%;46,9
12;Gardevoir;1322;2.96%;2,96;3228;2880;179;51.34%;51,34
13;Lopunny Dusknoir;1220;2.73%;2,73;2504;2680;53;47.81%;47,81
14;Ceruledge;1128;2.53%;2,53;2422;2480;86;48.56%;48,56
15;Raging Bolt Ogerpon;1094;2.45%;2,45;2575;2422;98;50.54%;50,54
16;Tera Box;808;1.81%;1,81;1708;1762;58;48.41%;48,41
17;Dragapult Charizard;758;1.70%;1,7;2011;1695;74;53.20%;53,2
18;Sharpedo Toxtricity;676;1.51%;1,51;1255;1578;47;43.58%;43,58
19;Mega Venusaur;611;1.37%;1,37;1280;1499;51;45.23%;45,23
20;Flareon Noctowl;608;1.36%;1,36;1231;1321;65;47.04%;47,04
21;Greninja;602;1.35%;1,35;1368;1395;43;48.75%;48,75
22;Lucario Hariyama;523;1.17%;1,17;1255;1186;61;50.16%;50,16
23;Gholdengo;480;1.07%;1,07;1130;1138;29;49.19%;49,19
24;Cynthia's Garchomp;467;1.05%;1,05;1007;1029;47;48.34%;48,34
25;Joltik Box;462;1.03%;1,03;1046;1021;54;49.32%;49,32
26;Seaking Festival Lead;392;0.88%;0,88;1002;848;32;53.24%;53,24
27;Froslass Munkidori;369;0.83%;0,83;751;818;31;46.94%;46,94
28;Slowking;368;0.82%;0,82;689;818;22;45.06%;45,06
29;Hydreigon;355;0.79%;0,79;565;821;13;40.39%;40,39
30;Toxtricity Box;317;0.71%;0,71;601;681;34;45.67%;45,67
31;Festival Lead;305;0.68%;0,68;707;653;33;50.75%;50,75
32;Ethan's Typhlosion;295;0.66%;0,66;608;697;18;45.96%;45,96
33;Pidgeot Control;294;0.66%;0,66;611;613;82;46.78%;46,78
34;Dragapult;286;0.64%;0,64;648;611;35;50.08%;50,08
35;Crustle;274;0.61%;0,61;582;637;38;46.30%;46,3
36;Rocket's Mewtwo;245;0.55%;0,55;484;606;11;43.96%;43,96
37;Ursaluna Lunatone;211;0.47%;0,47;500;502;16;49.12%;49,12
38;Gholdengo Joltik Box;187;0.42%;0,42;380;371;9;50.00%;50,0
39;Mega Charizard X;179;0.40%;0,4;246;432;13;35.60%;35,6
40;Marnie's Grimmsnarl;167;0.37%;0,37;295;362;19;43.64%;43,64
41;Ho-Oh Armarouge;164;0.37%;0,37;322;366;6;46.40%;46,4
42;Ogerpon Meganium;149;0.33%;0,33;325;340;2;48.73%;48,73
43;Roaring Moon;143;0.32%;0,32;281;285;10;48.78%;48,78
44;Iron Hands Magneton;143;0.32%;0,32;288;328;5;46.38%;46,38
45;Slaking;139;0.31%;0,31;266;305;4;46.26%;46,26
46;Mega Lucario;136;0.30%;0,3;265;306;5;46.01%;46,01
47;Hop's Zacian;135;0.30%;0,3;211;299;6;40.89%;40,89
48;Hydrapple Ogerpon;119;0.27%;0,27;228;280;10;44.02%;44,02
49;Kangaskhan Forretress;114;0.26%;0,26;220;249;4;46.51%;46,51
50;Chien-Pao Baxcalibur;110;0.25%;0,25;184;261;8;40.62%;40,62
51;Archaludon;108;0.24%;0,24;212;243;11;45.49%;45,49
52;Mega Lopunny;105;0.24%;0,24;209;240;6;45.93%;45,93
53;Conkeldurr;103;0.23%;0,23;232;249;11;47.15%;47,15
54;Terapagos Noctowl;101;0.23%;0,23;197;214;4;47.47%;47,47
55;Manectric Eelektrik;101;0.23%;0,23;174;228;6;42.65%;42,65
56;Wugtrio Mill;101;0.23%;0,23;187;259;4;41.56%;41,56
57;Charizard;101;0.23%;0,23;168;248;13;39.16%;39,16
58;Iron Valiant;98;0.22%;0,22;236;211;3;52.44%;52,44
59;Raging Bolt;81;0.18%;0,18;138;196;0;41.32%;41,32
60;Mega Abomasnow;70;0.16%;0,16;126;194;3;39.01%;39,01
61;Iron Thorns Crustle;68;0.15%;0,15;134;139;5;48.20%;48,2
62;Zoroark Crustle;67;0.15%;0,15;152;149;15;48.10%;48,1
63;Great Tusk Mill;61;0.14%;0,14;106;117;1;47.32%;47,32
64;Feraligatr;61;0.14%;0,14;92;140;9;38.17%;38,17
65;Paldean Tauros;60;0.13%;0,13;121;141;3;45.66%;45,66
66;Alakazam;57;0.13%;0,13;88;129;3;40.00%;40,0
67;Yanmega;53;0.12%;0,12;97;109;7;45.54%;45,54
68;Palafin;53;0.12%;0,12;88;117;6;41.71%;41,71
69;Tyranitar;51;0.11%;0,11;76;120;2;38.38%;38,38
70;Hydrapple;50;0.11%;0,11;92;114;3;44.02%;44,02
