deck_name;matchup_type;opponent;win_rate;record;total_games
Dragapult Dusknoir;BEST;Alakazam Dudunsparce;63,05;563 - 330 - 20;913
Dragapult Dusknoir;BEST;Charizard Noctowl;59,16;749 - 517 - 29;1295
Dragapult Dusknoir;BEST;Charizard Pidgeot;56,5;526 - 405 - 19;950
Dragapult Dusknoir;BEST;N's Zoroark;50,21;358 - 355 - 18;731
Dragapult Dusknoir;WORST;Mega Absol Box;44,4;357 - 447 - 25;829
Dragapult Dusknoir;WORST;Kangaskhan Bouffalant;44,55;339 - 422 - 23;784
Dragapult Dusknoir;WORST;Gholdengo Lunatone;45,11;991 - 1206 - 48;2245
Dragapult Dusknoir;WORST;Grimmsnarl Froslass;46,43;416 - 480 - 17;913
Dragapult Dusknoir;WORST;Gardevoir Jellicent;46,48;509 - 586 - 30;1125
Gholdengo Lunatone;BEST;N's Zoroark;59,75;389 - 262 - 19;670
Gholdengo Lunatone;BEST;Mega Absol Box;55,06;397 - 324 - 21;742
Gholdengo Lunatone;BEST;Dragapult Dusknoir;54,89;1206 - 991 - 48;2245
Gholdengo Lunatone;BEST;Charizard Pidgeot;53,36;460 - 402 - 14;876
Gholdengo Lunatone;BEST;Kangaskhan Bouffalant;53,23;396 - 348 - 18;762
Gholdengo Lunatone;WORST;Alakazam Dudunsparce;38,49;321 - 513 - 11;845
Gholdengo Lunatone;WORST;Charizard Noctowl;47,33;550 - 612 - 23;1185
Gardevoir Jellicent;BEST;Alakazam Dudunsparce;54,93;234 - 192 - 17;443
Gardevoir Jellicent;BEST;Dragapult Dusknoir;53,52;586 - 509 - 30;1125
Gardevoir Jellicent;WORST;N's Zoroark;36,97;122 - 208 - 11;341
Gardevoir Jellicent;WORST;Charizard Noctowl;39,32;230 - 355 - 9;594
Gardevoir Jellicent;WORST;Grimmsnarl Froslass;39,79;150 - 227 - 9;386
Gardevoir Jellicent;WORST;Mega Absol Box;42,01;171 - 236 - 17;424
Gardevoir Jellicent;WORST;Kangaskhan Bouffalant;42,97;162 - 215 - 18;395
Charizard Noctowl;BEST;Alakazam Dudunsparce;62,42;284 - 171 - 8;463
Charizard Noctowl;BEST;Gardevoir Jellicent;60,68;355 - 230 - 9;594
Charizard Noctowl;BEST;Charizard Pidgeot;57,72;243 - 178 - 10;431
Charizard Noctowl;BEST;Gholdengo Lunatone;52,67;612 - 550 - 23;1185
