archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;image_url
Alakazam Dudunsparce;Abra;Abra MEG 54;56;4;14;14;100,0;MEG;;54;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_54_C_EN_LG.png
Alakazam Dudunsparce;Alakazam;Alakazam MEG 56;47;4;14;14;100,0;MEG;;56;Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_56_R_EN_LG.png
Alakazam Dudunsparce;Battle Cage;Battle Cage PFL 85;44;4;14;14;100,0;PFL;;85;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_85_U_EN_LG.png
Alakazam Dudunsparce;Boss's Orders;Boss's Orders MEG 114;40;3;14;14;100,0;MEG;;114;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_114_U_EN_LG.png
Alakazam Dudunsparce;Buddy-Buddy Poffin;Buddy-Buddy Poffin ASC 184;56;4;14;14;100,0;ASC;;184;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_C_EN_LG.png
Alakazam Dudunsparce;Dawn;Dawn PFL 87;47;4;14;14;100,0;PFL;;87;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_87_U_EN_LG.png
Alakazam Dudunsparce;Dudunsparce;Dudunsparce PAL 157;53;4;14;14;100,0;PAL;;157;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_157_U_EN_LG.png
Alakazam Dudunsparce;Dunsparce;Dunsparce TEF 128;56;4;14;14;100,0;TEF;;128;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_128_C_EN_LG.png
Alakazam Dudunsparce;Enhanced Hammer;Enhanced Hammer TWM 148;24;2;14;14;100,0;TWM;;148;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_148_U_EN_LG.png
Alakazam Dudunsparce;Fan Rotom;Fan Rotom ASC 171;23;2;14;14;100,0;ASC;;171;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_171_C_EN_LG.png
