set;number;name;type;rarity
SP;1;Grookey;GBasic;
SP;2;Scorbunny;RBasic;
SP;3;Sobble;WBasic;
SP;4;Meowth V;CBasic;
SP;5;Meowth VMAX;CVMAX;
SP;6;Rillaboom;GStage 2;
SP;7;Frosmoth;WStage 1;
SP;8;Galarian Perrserker;MStage 1;
SP;9;Cinccino;CStage 1;
SP;10;Gossifleur;GBasic;
SP;11;Wooloo;CBasic;
SP;12;Morpeko;LBasic;
SP;13;Galarian Ponyta;PBasic;
SP;14;Rillaboom V;GBasic;
SP;15;Cinderace V;RBasic;
SP;16;Inteleon V;WBasic;
SP;17;Toxtricity V;LBasic;
SP;18;Zacian V;MBasic;
SP;19;Zamazenta V;MBasic;
SP;20;Pikachu;LBasic;
SP;21;Polteageist V;PBasic;
SP;22;Flapple;GStage 1;
SP;23;Luxray;LStage 2;
SP;24;Coalossal;FStage 2;
SP;25;Garbodor;DStage 1;
SP;26;Mantine;WBasic;
SP;27;Noctowl;CStage 1;
SP;28;Duraludon;MBasic;
SP;29;Rayquaza;CBasic;
SP;30;Copperajah V;MBasic;
SP;31;Morpeko;LBasic;
SP;32;Snorlax;CBasic;
SP;33;Zacian;MBasic;
SP;34;Zamazenta;MBasic;
SP;35;Decidueye;GStage 2;
SP;36;Arctozolt;LStage 1;
SP;37;Hydreigon;DStage 2;
SP;38;Kangaskhan;CBasic;
SP;39;Pikachu;LBasic;
SP;40;Hatenna;PBasic;
SP;41;Flareon;RStage 1;
SP;42;Eevee;CBasic;
SP;43;Galarian Sirfetch'd V;FBasic;
SP;44;Eternatus V;DBasic;
SP;45;Eternatus VMAX;DVMAX;
SP;46;Eldegoss;GStage 1;
SP;47;Drednaw;WStage 1;
SP;48;Centiskorch;RStage 1;
SP;49;Dubwool V;CBasic;
SP;50;Charizard V;RBasic;
SP;51;Lapras;WBasic;
SP;52;Gengar;PStage 2;
SP;53;Machamp;FStage 2;
SP;54;Coalossal;FStage 2;
SP;55;Hatterene V;PBasic;
SP;56;Morpeko V;LBasic;
SP;57;Grimmsnarl V;DBasic;
SP;58;Alcremie;PStage 1;
SP;59;Galarian Obstagoon;DStage 2;
SP;60;Duraludon;MBasic;
SP;61;Pikachu V;LBasic;
