name_en,name_de,set,number,type,energy_type,hp,rarity,image_url,international_prints,jp_prints,cardmarket_url,card_text,card_text_de
Mew,,30C,B,Basic,Psychic,60,Secret Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_B_R_EN_LG.png,"30C-65,30C-B,30C-G,30C-R","M6A-56,MF-11",,PP Psychic 10+ || This attack does 40 more damage for each Energy attached to your opponent's Active Pokémon. || Weakness: Darkness Resistance: Fighting Retreat: 1,PP Psychokinese 10+ || Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 40 Schadenspunkte mehr zu.
Mew,,30C,G,Basic,Psychic,60,Secret Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_G_R_EN_LG.png,"30C-65,30C-B,30C-G,30C-R","M6A-56,MF-11",,PP Psychic 10+ || This attack does 40 more damage for each Energy attached to your opponent's Active Pokémon. || Weakness: Darkness Resistance: Fighting Retreat: 1,PP Psychokinese 10+ || Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 40 Schadenspunkte mehr zu.
Mew,,30C,R,Basic,Psychic,60,Secret Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_R_R_EN_LG.png,"30C-65,30C-B,30C-G,30C-R","M6A-56,MF-11",,PP Psychic 10+ || This attack does 40 more damage for each Energy attached to your opponent's Active Pokémon. || Weakness: Darkness Resistance: Fighting Retreat: 1,PP Psychokinese 10+ || Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 40 Schadenspunkte mehr zu.
Exeggcute,,30C,1,Basic,Grass,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_001_R_EN_LG.png,30C-1,M6A-1,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Exeggcute-30C001?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Hypnosis || Your opponent's Active Pokémon is now Asleep. || Weakness: Fire Resistance: none Retreat: 1,C Hypnose || Das Aktive Pokémon deines Gegners schläft jetzt.
Alolan Exeggutor,,30C,2,Stage 1,Grass,150,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_002_R_EN_LG.png,"30C-129,30C-2","M6A-2,MP-148",https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Alolan-Exeggutor-V1-30C002?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Scale Up || If this Pokémon has 6 or more [ G ] Energy attached, it gets +250 HP. || GCCC Mega Drain 150 || Heal 50 damage from this Pokémon || Weakness: Fire Resistance: none Retreat: 4","[Ability] Hoch hinaus || Wenn an dieses Pokémon 6 oder mehr [ G ] -Energien angelegt sind, erhält es +250 KP. || GCCC Megasauger 150 || Heile 50 Schadenspunkte bei diesem Pokémon."
Volbeat,,30C,3,Basic,Grass,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_003_R_EN_LG.png,30C-3,M6A-3,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Volbeat-30C003?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,G Luring Glow || Switch in 1 of your opponent's Benched Pokémon to the Active Spot. || CCC Bug Buzz 90 || Weakness: Fire Resistance: none Retreat: 1,G Lockendes Glühen || Wechsle 1 Pokémon von der Bank deines Gegners in die Aktive Position ein. || CCC Käfergebrumm 90
Illumise,,30C,4,Basic,Grass,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_004_R_EN_LG.png,30C-4,M6A-4,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Illumise-30C004?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Supereffective Pheromones || If you have Volbeat in play, apply Weakness for both Active Pokémon as x3 || GC Ram 30 || Weakness: Fire Resistance: none Retreat: 1","[Ability] Sehr effektive Pheromone || Wenn du Volbeat im Spiel hast, verrechne Schwäche bei beiden Aktiven Pokémon als ×3. || GC Ramme 30"
Tropius,,30C,5,Basic,Grass,120,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_005_R_EN_LG.png,30C-5,MF-1,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Tropius-30C005?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"GC Rally Back 30+ || If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 90 more damage. || GCC Cutting Wind 90 || Weakness: Fire Resistance: none Retreat: 2","GC Aufholjagd 30+ || Wenn mindestens 1 deiner Pokémon während des letzten Zuges deines Gegners durch Schaden einer Attacke kampfunfähig wurde, fügt diese Attacke 90 Schadenspunkte mehr zu. || GCC Schneidender Wind 90"
Cherubi,,30C,6,Basic,Grass,40,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_006_R_EN_LG.png,30C-6,MF-2,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Cherubi-30C006?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Hide || Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. || G Flop 10 || Weakness: Fire Resistance: none Retreat: 1","C Verstecken || Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden. || G Plumps 10"
Cherrim,,30C,7,Stage 1,Grass,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_007_R_EN_LG.png,30C-7,MF-3,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Cherrim-30C007?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Energy Gift || Search your deck for up to 2 Basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. || GC Leafage 50 || Weakness: Fire Resistance: none Retreat: 1",C Energiegabe || Durchsuche dein Deck nach bis zu 2 Basis-Energiekarten und lege sie beliebig an deine Pokémon an. Mische anschließend dein Deck. || GC Blattwerk 50
