set,number,name,eur_price,status,current_product_id,current_product_name,resolved_product_id,resolved_product_name,card_text,candidates
WP,47,Mew,"133,97€",already-correct,275466,Mew [Neutral Shield | Psyshock],275466,Mew [Neutral Shield | Psyshock],Neutral Shield Psyshock,3
N1,5,Feraligatr,"127,05€",already-correct,274405,Feraligatr [Downpour | Riptide],274405,Feraligatr [Downpour | Riptide],Downpour Riptide,2
DX,99,Deoxys ex,"109,94€",already-correct,276502,Deoxys ex [Form Change | Psychic Shield],276502,Deoxys ex [Form Change | Psychic Shield],Form Change Psychic Shield,3
CRZ,GG30,Pikachu,"71,30€",already-correct,691909,Pikachu [Pika Dash | Whimsy Tackle],691909,Pikachu [Pika Dash | Whimsy Tackle],Pika Dash Whimsy Tackle,2
SP,241,Gengar,"68,77€",already-correct,665984,Gengar [Netherworld Gate | Screaming Circle],665984,Gengar [Netherworld Gate | Screaming Circle],Netherworld Gate Screaming Circle,2
DX,98,Deoxys ex,"66,66€",already-correct,276501,Deoxys ex [Form Change | Psyburst],276501,Deoxys ex [Form Change | Psyburst],Form Change Psyburst,3
DX,97,Deoxys ex,"64,03€",already-correct,276500,Deoxys ex [Form Change | Energy Burst],276500,Deoxys ex [Form Change | Energy Burst],Form Change Energy Burst,3
CRZ,160,Pikachu,"62,52€",already-correct,691879,Pikachu [Wild Charge],691879,Pikachu [Wild Charge],Wild Charge,2
N1,4,Feraligatr,"60,88€",already-correct,274404,Feraligatr [Berserk | Chomp],274404,Feraligatr [Berserk | Chomp],Berserk Chomp,2
NP,37,Kyogre ex,"60,72€",already-correct,275510,Kyogre ex [Frenzy | Aqua Supply | Tsunami],275510,Kyogre ex [Frenzy | Aqua Supply | Tsunami],Frenzy Aqua Supply Tsunami,2
NP,1,Kyogre ex,"59,72€",already-correct,275474,Kyogre ex [Major Flood],275474,Kyogre ex [Major Flood],Major Flood,2
WP,46,Electabuzz,"55,74€",already-correct,275465,Electabuzz [Lightning Rod | Lightning Bolt],275465,Electabuzz [Lightning Rod | Lightning Bolt],Lightning Rod Lightning Bolt,2
SP,52,Gengar,"53,18€",already-correct,505880,Gengar [Life Shaker | Hypnoblast],505880,Gengar [Life Shaker | Hypnoblast],Life Shaker Hypnoblast,2
CRZ,GG48,Zacian V,"43,67€",already-correct,691928,Zacian V [Roar of the Sword | Storm Slash],691928,Zacian V [Roar of the Sword | Storm Slash],Roar of the Sword Storm Slash,3
E1,64,Typhlosion,"20,63€",already-correct,274939,Typhlosion [Quick Attack | Thermal Blast],274939,Typhlosion [Quick Attack | Thermal Blast],Quick Attack Thermal Blast,3
RG,113,Charmander,"19,39€",already-correct,276289,Charmander [Flare | Rage],276289,Charmander [Flare | Rage],Flare Rage,3
WP,4,Pikachu,"16,63€",already-correct,275423,Pikachu [Recharge | Thunderbolt],275423,Pikachu [Recharge | Thunderbolt],Recharge Thunderbolt,4
TRR,32,Dark Dragonair,"14,39€",already-correct,276324,Dark Dragonair [Double Tackle | Crushing Blow],276324,Dark Dragonair [Double Tackle | Crushing Blow],Double Tackle Crushing Blow,2
SP,160,Mewtwo V-UNION,"14,22€",already-correct,572160,Mewtwo V-UNION [Super Regeneration],572160,Mewtwo V-UNION [Super Regeneration],Super Regeneration,5
E1,46,Feraligatr,"11,57€",already-correct,274921,Feraligatr [Slash | Double Claw],274921,Feraligatr [Slash | Double Claw],Slash Double Claw,4
SP,142,Pikachu V-UNION,"9,36€",already-correct,576741,Pikachu V-UNION [Electro Ball Together],576741,Pikachu V-UNION [Electro Ball Together],Electro Ball Together,5
SP,141,Pikachu V-UNION,"8,87€",already-correct,576740,Pikachu V-UNION [Disconnect],576740,Pikachu V-UNION [Disconnect],Disconnect,5
PRC,69,Nidoqueen,"8,84€",already-correct,273600,Nidoqueen [Poison Jab | Dynamite Punch],273600,Nidoqueen [Poison Jab | Dynamite Punch],Poison Jab Dynamite Punch,2
XY,86,Aegislash,"8,74€",already-correct,281423,Aegislash [Stance Change | King's Shield],281423,Aegislash [Stance Change | King's Shield],Stance Change King's Shield,3
AOR,15,Entei,"7,48€",already-correct,284196,Entei [Flame Screen | Heat Tackle],284196,Entei [Flame Screen | Heat Tackle],Flame Screen Heat Tackle,2
PRC,77,Rhyperior,"7,21€",already-correct,273608,Rhyperior [Rock Wall | Hammer Arm],273608,Rhyperior [Rock Wall | Hammer Arm],Rock Wall Hammer Arm,2
SHF,SV44,Morpeko,"7,21€",already-correct,539608,Morpeko [Torment | Spark],539608,Morpeko [Torment | Spark],Torment Spark,3
TRR,41,Dark Pupitar,"6,52€",already-correct,276333,Dark Pupitar [Dark Streak | Rock Tumble],276333,Dark Pupitar [Dark Streak | Rock Tumble],Dark Streak Rock Tumble,2
TRR,60,Houndour,"6,47€",already-correct,276352,Houndour [Dark Lift | Firebreathing],276352,Houndour [Dark Lift | Firebreathing],Dark Lift Firebreathing,2
ROS,46,Togekiss,"6,31€",already-correct,282714,Togekiss [Serene Grace | Fairy Wind],282714,Togekiss [Serene Grace | Fairy Wind],Serene Grace Fairy Wind,2
BWP,8,Oshawott,"5,73€",already-correct,279929,Oshawott [Sleep Pulse | Surprise Attack],279929,Oshawott [Sleep Pulse | Surprise Attack],Sleep Pulse Surprise Attack,3
TRR,31,Dark Dragonair,"5,14€",already-correct,276323,Dark Dragonair [Evolutionary Light | Dragon Rage],276323,Dark Dragonair [Evolutionary Light | Dragon Rage],Evolutionary Light Dragon Rage,2
SP,166,Zacian V-UNION,"5,05€",already-correct,572166,Zacian V-UNION [Master Blade],572166,Zacian V-UNION [Master Blade],Master Blade,5
SP,235,Dragonite V,"5,03€",already-correct,664340,Dragonite V [Hyper Beam | Buster Tail],664340,Dragonite V [Hyper Beam | Buster Tail],Hyper Beam Buster Tail,3
