set,number,cardmarket_product_id,match_method,base_name
AOR,1,284182,unique,Oddish
AOR,2,284183,unique,Gloom
AOR,3,284184,unique,Vileplume
AOR,4,284185,unique,Bellossom
AOR,5,284186,ordered(1↔2),Spinarak
AOR,6,284187,ordered(1↔2),Ariados
AOR,9,284190,ordered(1↔2),Combee
AOR,10,284191,ordered(2↔3),Vespiquen
AOR,11,284192,ordered(2↔3),Vespiquen
AOR,12,284193,unique,Virizion
AOR,13,284194,unique,Flareon
AOR,14,284195,ordered(2↔2),Entei
AOR,15,284196,ordered(2↔2),Entei
AOR,16,284197,unique,Larvesta
AOR,17,284198,ordered(2↔2),Volcarona
AOR,18,284199,ordered(2↔2),Volcarona
AOR,19,284200,unique,Magikarp
AOR,20,284201,ordered(2↔2),Gyarados
AOR,21,284202,ordered(2↔2),Gyarados
AOR,22,284203,unique,Vaporeon
AOR,23,284204,unique,Relicanth
AOR,24,284205,unique,Regice
AOR,26,284207,unique,Jolteon
AOR,29,284210,unique,Rotom
AOR,30,284211,unique,Unown
AOR,31,284212,ordered(2↔2),Baltoy
AOR,32,284213,ordered(2↔2),Baltoy
AOR,33,284214,unique,Claydol
AOR,34,284215,unique,Golett
AOR,35,284216,ordered(2↔2),Golurk
AOR,38,284219,unique,Wooper
AOR,39,284220,unique,Quagsire
AOR,40,284221,unique,Regirock
AOR,41,284222,ordered(2↔2),Golurk
AOR,44,284225,unique,Sableye
AOR,45,284226,unique,Inkay
AOR,46,284227,unique,Malamar
AOR,47,284228,unique,Beldum
AOR,48,284229,unique,Metang
AOR,49,284230,ordered(2↔2),Metagross
AOR,50,284231,ordered(2↔2),Metagross
AOR,51,284232,unique,Registeel
AOR,52,284233,unique,Ralts
AOR,53,284234,unique,Kirlia
AOR,54,284235,unique,Gardevoir
AOR,55,284236,unique,Cottonee
AOR,56,284237,unique,Whimsicott
AOR,58,284239,unique,Goomy
AOR,59,284240,unique,Sliggoo
AOR,60,284241,unique,Goodra
AOR,61,284242,unique,Meowth
AOR,62,284243,unique,Persian
AOR,63,284244,unique,Eevee
AOR,64,284245,unique,Porygon
AOR,65,284246,unique,Porygon2
AOR,66,284247,ordered(2↔2),Porygon-Z
AOR,67,284248,ordered(2↔2),Porygon-Z
AOR,69,284250,ordered(1↔4),Ace Trainer
AOR,70,284251,unique,Ampharos Spirit Link
AOR,71,284252,unique,Eco Arm
AOR,72,284253,unique,Energy Recycler
AOR,73,284254,unique,Faded Town
AOR,74,284255,ordered(1↔3),Forest of Giant Plants
AOR,75,284256,ordered(2↔5),Hex Maniac
AOR,75a,295259,ordered(2↔5),Hex Maniac
AOR,76,284257,ordered(1↔3),Level Ball
AOR,77,284258,unique,Lucky Helmet
AOR,78,284259,ordered(1↔4),Lysandre
AOR,79,284260,unique,Paint Roller
AOR,80,284261,unique,Sceptile Spirit Link
AOR,81,284262,unique,Tyranitar Spirit Link
AOR,82,284263,unique,Dangerous Energy
AOR,83,284264,unique,Flash Energy
AOR,95,284276,unique,Steven
AOR,99,284280,unique,Energy Retrieval
AOR,100,284281,ordered(1↔3),Trainers' Mail
AR,82,278954,unique,Beginning Door
AR,83,278955,unique,Bench Shield
AR,84,278956,unique,Buffer Piece
AR,85,278957,unique,Department Store Girl
AR,86,278958,unique,Energy Restore
AR,87,278959,ordered(1↔2),Expert Belt
AR,88,278960,unique,Lucky Egg
AR,89,278961,unique,Old Amber
AR,90,278962,unique,Professor Oak's Visit
AR,91,278963,unique,Ultimate Zone
AR,92,278964,unique,Dome Fossil
AR,93,278965,unique,Helix Fossil
AR,94,278966,ordered(3↔3),Arceus LV.X
AR,95,278967,ordered(3↔3),Arceus LV.X
AR,96,278968,ordered(3↔3),Arceus LV.X
AR,97,278969,unique,Gengar LV.X
AR,98,278970,unique,Salamence LV.X
AR,99,278971,unique,Tangrowth LV.X
ASC,1,869612,unique,Erika's Oddish
ASC,2,869613,unique,Erika's Gloom
ASC,3,869614,unique,Erika's Vileplume ex
ASC,4,869615,unique,Erika's Bellsprout
ASC,5,869616,unique,Erika's Weepinbell
ASC,6,869617,unique,Erika's Victreebel
ASC,7,869618,ordered(2↔2),Erika's Tangela
ASC,8,869619,unique,Chikorita
ASC,9,869620,unique,Bayleef
ASC,10,869621,ordered(2↔2),Mega Meganium ex
ASC,11,869622,unique,Wurmple
ASC,12,869623,unique,Silcoon
ASC,13,869624,ordered(2↔2),Beautifly
ASC,14,869625,unique,Cascoon
ASC,15,869626,ordered(2↔2),Dustox
ASC,16,869627,ordered(2↔2),Budew
ASC,17,869628,unique,Grubbin
ASC,18,869629,unique,Team Rocket's Tarountula
ASC,19,869630,unique,Team Rocket's Spidops
ASC,20,869631,unique,Charmander
ASC,21,869632,unique,Charmeleon
ASC,22,869633,ordered(2↔2),Mega Charizard Y ex
ASC,23,869634,unique,Ethan's Slugma
ASC,24,869635,ordered(2↔2),Ethan's Magcargo
ASC,25,869636,unique,Entei
ASC,26,869637,unique,Ethan's Ho-Oh ex
ASC,27,869638,ordered(2↔2),Numel
ASC,28,869639,unique,Camerupt
ASC,29,869640,unique,Tepig
ASC,30,869641,unique,Pignite
ASC,31,869642,ordered(2↔2),Mega Emboar ex
ASC,32,869643,unique,N's Darumaka
ASC,33,869644,unique,N's Darmanitan
ASC,34,869645,unique,Salandit
ASC,35,869646,ordered(2↔2),Salazzle
ASC,36,869647,ordered(2↔2),Scorbunny
ASC,37,869648,unique,Raboot
ASC,38,869649,unique,Cinderace ex
ASC,39,869650,ordered(2↔2),Psyduck
ASC,40,869651,unique,Golduck
ASC,41,869652,unique,Totodile
ASC,42,869653,unique,Croconaw
ASC,43,869654,ordered(2↔2),Mega Feraligatr ex
ASC,44,869655,unique,Sneasel
ASC,45,869656,ordered(2↔2),Weavile
ASC,46,869657,ordered(2↔2),Snorunt
ASC,47,869658,ordered(3↔3),Mega Froslass ex
ASC,48,869659,unique,Regice ex
ASC,49,869660,unique,N's Vanillite
ASC,50,869661,unique,N's Vanillish
ASC,51,869662,unique,N's Vanilluxe
ASC,52,869663,unique,Snom
ASC,53,869664,unique,Frosmoth
ASC,54,869665,unique,Glastrier
ASC,55,869666,unique,Pikachu
ASC,56,869667,unique,Raichu
ASC,57,869668,ordered(3↔3),Pikachu ex
ASC,58,869669,unique,Voltorb ex
ASC,59,869670,unique,Tynamo
ASC,60,869671,unique,Eelektrik
ASC,61,869672,ordered(3↔3),Mega Eelektross ex
ASC,62,869673,unique,Stunfisk
ASC,63,869674,unique,Helioptile
ASC,64,869675,ordered(2↔2),Heliolisk
ASC,65,869676,unique,Charjabug
ASC,66,869677,ordered(2↔2),Vikavolt
ASC,67,869678,unique,Tapu Koko
ASC,68,869679,unique,Hop's Pincurchin ex
ASC,69,869680,unique,Iono's Tadbulb
ASC,70,869681,ordered(2↔2),Iono's Bellibolt ex
ASC,71,869682,ordered(2↔2),Iono's Wattrel
ASC,72,869683,unique,Iono's Kilowattrel
ASC,73,869684,unique,Miraidon ex
ASC,74,869685,unique,Clefairy
ASC,75,869686,unique,Clefable
ASC,76,869687,ordered(2↔2),Lillie's Clefairy ex
ASC,77,869688,unique,Team Rocket's Exeggcute
ASC,78,869689,unique,Team Rocket's Exeggutor
ASC,79,869690,ordered(2↔2),Team Rocket's Mewtwo ex
ASC,80,869691,unique,Togepi
ASC,81,869692,unique,Togetic
ASC,82,869693,ordered(2↔2),Togekiss
ASC,83,869694,ordered(2↔2),Marill
ASC,84,869695,unique,Azumarill ex
ASC,85,869696,ordered(2↔2),Misdreavus
ASC,86,869697,unique,Mismagius
ASC,87,869698,unique,Ralts
ASC,88,869699,unique,Kirlia
ASC,89,869700,unique,Mega Gardevoir ex
ASC,90,869701,unique,Shuppet
ASC,91,869702,ordered(2↔2),Banette
ASC,92,869703,unique,Rotom
ASC,93,869704,unique,Swirlix
ASC,94,869705,ordered(2↔2),Slurpuff
ASC,95,869706,unique,Hop's Phantump
ASC,96,869707,ordered(2↔2),Hop's Trevenant
ASC,97,869708,ordered(2↔2),Team Rocket's Mimikyu
ASC,98,869709,unique,Spectrier
ASC,99,869710,unique,Munkidori
ASC,100,869711,unique,Team Rocket's Diglett
ASC,101,869712,ordered(2↔2),Team Rocket's Dugtrio
ASC,102,869713,ordered(2↔2),Hitmontop
ASC,103,869714,unique,Meditite
ASC,104,869715,ordered(2↔2),Medicham
ASC,105,869716,unique,Lunatone
ASC,106,869717,unique,Solrock
ASC,107,869718,unique,Regirock ex
ASC,108,869719,unique,Groudon
ASC,109,869720,unique,Cynthia's Gible
ASC,110,869721,unique,Cynthia's Gabite
ASC,111,869722,unique,Cynthia's Garchomp ex
ASC,112,869723,unique,Riolu
ASC,113,869724,unique,Mega Lucario ex
ASC,114,869725,ordered(2↔2),Stunfisk ex
ASC,115,869726,unique,Pancham
ASC,116,869727,ordered(3↔3),Mega Hawlucha ex
ASC,117,869728,ordered(2↔2),Carbink
ASC,118,869729,unique,Rolycoly
ASC,119,869730,unique,Carkol
ASC,120,869731,unique,Coalossal
ASC,121,869732,unique,Koraidon ex
ASC,122,869733,unique,Okidogi
ASC,123,869734,unique,Gastly
ASC,124,869735,unique,Haunter
ASC,125,869736,ordered(3↔3),Mega Gengar ex
ASC,126,869737,unique,Team Rocket's Murkrow
ASC,127,869738,unique,Team Rocket's Honchkrow
ASC,128,869739,unique,Poochyena
ASC,129,869740,ordered(2↔2),Mightyena
ASC,130,869741,unique,Galarian Zigzagoon
ASC,131,869742,unique,Galarian Linoone
ASC,132,869743,ordered(2↔2),Galarian Obstagoon
ASC,133,869744,ordered(2↔2),Cynthia's Spiritomb
ASC,134,869745,unique,Scraggy
ASC,135,869746,ordered(3↔3),Mega Scrafty ex
ASC,136,869747,unique,N's Zorua
ASC,137,869748,ordered(2↔2),N's Zoroark ex
ASC,138,869749,unique,Vullaby
ASC,139,869750,unique,Mandibuzz ex
ASC,140,869751,unique,Pangoro
