period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Mega Venusaur;Teal Mask Ogerpon ex;TWM 25;4;4;1;4,0;4,0;1;100,0;TWM;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Chikorita;ASC 8;3;3;1;3,0;3,0;1;100,0;ASC;8;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_008_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Bayleef;MEG 9;3;3;1;3,0;3,0;1;100,0;MEG;9;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_009_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Meganium;MEG 10;2;2;1;2,0;2,0;1;100,0;MEG;10;Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_010_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Mega Meganium ex;ASC 10;1;1;1;1,0;1,0;1;100,0;ASC;10;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_010_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Bulbasaur;MEG 1;2;2;1;2,0;2,0;1;100,0;MEG;1;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_001_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Ivysaur;MEG 2;2;2;1;2,0;2,0;1;100,0;MEG;2;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_002_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Mega Venusaur ex;MEG 3;2;2;1;2,0;2,0;1;100,0;MEG;3;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_003_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Meowth ex;POR 62;2;2;1;2,0;2,0;1;100,0;POR;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Celebi;MEG 12;1;1;1;1,0;1,0;1;100,0;MEG;12;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_012_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Fezandipiti ex;ASC 142;1;1;1;1,0;1,0;1;100,0;ASC;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Lillie's Determination;ASC 192;4;4;1;4,0;4,0;1;100,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Boss's Orders;ASC 183;2;2;1;2,0;2,0;1;100,0;ASC;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Judge;POR 76;1;1;1;1,0;1,0;1;100,0;POR;76;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_076_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Lana's Aid;TWM 155;1;1;1;1,0;1,0;1;100,0;TWM;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Wally's Compassion;MEG 132;1;1;1;1,0;1,0;1;100,0;MEG;132;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_132_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Bug Catching Set;PRE 102;4;4;1;4,0;4,0;1;100,0;PRE;102;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_102_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Ultra Ball;ASC 213;4;4;1;4,0;4,0;1;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Night Stretcher;ASC 196;2;2;1;2,0;2,0;1;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Poké Pad;POR 81;1;1;1;1,0;1,0;1;100,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Unfair Stamp;TWM 165;1;1;1;1,0;1,0;1;100,0;TWM;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Forest of Vitality;ASC 188;4;4;1;4,0;4,0;1;100,0;ASC;188;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_188_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
2026-W22;Mega Venusaur;Grass Energy;EVO 91;12;12;1;12,0;12,0;1;100,0;EVO;91;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_091_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;1
