meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
City League;04 Mar 26;Alakazam Dudunsparce;Shaymin;DRI 10;1;1;1;1;100,0;DRI;;10;Uncommon;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Psyduck;ASC 39;1;1;1;1;100,0;ASC;;39;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Abra;MEG 54;4;4;1;1;100,0;MEG;;54;Common;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_054_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Alakazam;MEG 56;3;3;1;1;100,0;MEG;;56;Rare;P Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_056_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Kadabra;MEG 55;4;4;1;1;100,0;MEG;;55;Uncommon;P Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_055_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Genesect;SFA 40;1;1;1;1;100,0;SFA;;40;Uncommon;M Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_040_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Dudunsparce;TEF 129;4;4;1;1;100,0;TEF;;129;Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Dunsparce;JTG 120;4;4;1;1;100,0;JTG;;120;Common;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Fan Rotom;SCR 118;1;1;1;1;100,0;SCR;;118;Common;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_118_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Psychic Energy;SVE 21;2;2;1;1;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Buddy-Buddy Poffin;ASC 184;4;4;1;1;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Enhanced Hammer;TWM 148;2;2;1;1;100,0;TWM;;148;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_148_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Poké Pad;ASC 198;4;4;1;1;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Rare Candy;MEG 125;3;3;1;1;100,0;MEG;;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Sacred Ash;DRI 168;1;1;1;1;100,0;DRI;;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Wondrous Patch;PFL 94;1;1;1;1;100,0;PFL;;94;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_094_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Enriching Energy;SSP 191;1;1;1;1;100,0;SSP;;191;Ultra Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_191_R_EN_LG.png;Yes
City League;04 Mar 26;Alakazam Dudunsparce;Telepath Psychic Energy;M3 79;3;3;1;1;100,0;M3;;79;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M3/M3_079_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Battle Cage;PFL 85;3;3;1;1;100,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Boss's Orders;ASC 183;3;3;1;1;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Dawn;PFL 87;3;3;1;1;100,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Hilda;WHT 84;4;4;1;1;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Lana's Aid;TWM 155;1;1;1;1;100,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Air Balloon;ASC 181;2;2;1;1;100,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Ceruledge ex;SSP 36;9;3;3;3;100,0;SSP;;36;Double Rare;R Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_036_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Charcadet;SSP 32;12;4;3;3;100,0;SSP;;32;Common;R Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_032_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Lunatone;MEG 74;6;2;3;3;100,0;MEG;;74;Rare;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_074_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Solrock;MEG 75;6;2;3;3;100,0;MEG;;75;Uncommon;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_075_R_EN_LG.png;No
