date;tournament_id;prefecture;shop;format;placement;player;archetype
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);1;ポケぽけ;Dragapult Meowth
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);2;fish;Alakazam Dudunsparce
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);3;コツメ;Mega Starmie Mega Froslass
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);4;いつき;Dragapult Mega Kangaskhan
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);5;すすず;Dragapult Blaziken
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);6;はやぶさ;Grimmsnarl Munkidori
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);7;ドイケン;Zoroark Darmanitan
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);8;たろうまる;Clefairy Ogerpon
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);9;狼;Dragapult Meowth
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);10;にちか;Zoroark Mega Lopunny
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);11;しゅうへい;Dragapult
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);12;くさおとこ;Ogerpon Meowth
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);13;サクヤ;Dragapult Meowth
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);14;スプーン;Dragapult Meowth
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);15;レン;Ogerpon Ogerpon-Wellspring
08 Mar 26;4270;ゲームアーク　丸亀店;Kagawa;City League (JP);16;アル;Mega Starmie Mega Froslass
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);1;塩胡椒;Dragapult Meowth
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);2;し　ょ　う　じ　き;Alakazam Dudunsparce
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);3;けんぱん;Ogerpon Arboliva
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);4;くるみるく;Ogerpon Meowth
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);5;enpolio;Grimmsnarl Munkidori
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);6;かなメックス;Barbaracle Okidogi
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);7;タク;Spidops Mewtwo
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);8;だいだら;Spidops Mewtwo
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);9;カーズ;Mega Meganium Ogerpon
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);10;異志吊武手;Alakazam Dudunsparce
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);11;LOST;Mega Froslass Mega Starmie
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);12;sin;Dragapult Blaziken
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);13;ダイキ;Dragapult Dusknoir
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);14;はると;Dragapult Blaziken
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);15;七星じぇる;Mega Kangaskhan Latias
08 Mar 26;4268;カードスタジアム小禄店;Okinawa;City League (JP);16;はーつ;Ogerpon Mega Kangaskhan
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);1;ネロ;Alakazam Dudunsparce
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);2;ZORN;Ogerpon Raging-Bolt
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);3;ゴンヌ;Blaziken Mega Latias
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);4;コイキング;Alakazam Dudunsparce
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);5;ぽふぃんちゃん;Grimmsnarl Munkidori
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);6;LAW;Grimmsnarl Munkidori
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);7;くろーばー;Grimmsnarl Munkidori
08 Mar 26;4267;TSUTAYA AVクラブ御領店;Kumamoto;City League (JP);8;コーヒー牛乳;Zoroark
