archetype;status;trend;old_count;new_count;count_change;old_meta_share;new_meta_share;meta_share_change;old_avg_placement;new_avg_placement;avg_placement_change;old_best;new_best
Dragapult Blaziken;NEU;VERSCHLECHTERT;0;6;6;0;23,08;23,08;0;14,83;14,83;0;5
Ogerpon Box;NEU;VERSCHLECHTERT;0;5;5;0;19,23;19,23;0;14,2;14,2;0;1
Dhelmise Banette;NEU;VERSCHLECHTERT;0;3;3;0;11,54;11,54;0;11,67;11,67;0;2
Dragapult;NEU;VERSCHLECHTERT;0;3;3;0;11,54;11,54;0;13,67;13,67;0;4
N's Zoroark;NEU;VERSCHLECHTERT;0;2;2;0;7,69;7,69;0;22,5;22,5;0;13
Dragapult Dusknoir;NEU;VERSCHLECHTERT;0;2;2;0;7,69;7,69;0;12,0;12,0;0;10
Mega Venusaur;NEU;VERSCHLECHTERT;0;1;1;0;3,85;3,85;0;3,0;3,0;0;3
Festival Lead;NEU;VERSCHLECHTERT;0;1;1;0;3,85;3,85;0;15,0;15,0;0;15
Slowking;NEU;VERSCHLECHTERT;0;1;1;0;3,85;3,85;0;8,0;8,0;0;8
Mega Greninja;NEU;VERSCHLECHTERT;0;1;1;0;3,85;3,85;0;28,0;28,0;0;28
Toxtricity Mega Absol;NEU;VERSCHLECHTERT;0;1;1;0;3,85;3,85;0;21,0;21,0;0;21
