archetype;format;total_appearances;average_placement;best_placement;worst_placement;tournaments
Dragapult Dusknoir;Champions League (JP) + City League (JP);10;20,0;9;32;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Slowking;Champions League (JP) + City League (JP);6;8,0;3;15;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Dragapult Dudunsparce;Champions League (JP) + City League (JP);6;8,33;4;11;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Dragapult;Champions League (JP) + City League (JP);6;16,33;8;27;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Clefairy Ogerpon;Champions League (JP) + City League (JP);4;11,5;2;21;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Raging Bolt Ogerpon;Champions League (JP) + City League (JP);4;16,5;7;26;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Mega Rayquaza;Champions League (JP) + City League (JP);4;15,0;13;17;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Mega Excadrill;Champions League (JP) + City League (JP);2;1,0;1;1;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Dragapult Blaziken;Champions League (JP) + City League (JP);2;5,0;5;5;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Starmie Froslass;Champions League (JP) + City League (JP);2;19,0;19;19;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Ethan's Typhlosion;Champions League (JP) + City League (JP);2;20,0;20;20;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Grimmsnarl Froslass;Champions League (JP) + City League (JP);2;22,0;22;22;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Alakazam Dudunsparce;Champions League (JP) + City League (JP);2;24,0;24;24;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Hydrapple;Champions League (JP) + City League (JP);2;28,0;28;28;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Mega Venusaur;Champions League (JP) + City League (JP);2;29,0;29;29;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
Festival Lead;Champions League (JP) + City League (JP);2;30,0;30;30;"20th September 2026 - Special Event - Tournament 569; 20 Sep 26 - JP - Champions League Yokohama"
