date;tournament_id;prefecture;shop;format;placement;player;archetype
6th June 2026;568;Special Event;Tournament 568;City League (JP);1;Toshiyuki Otake;Ogerpon Box
6th June 2026;568;Special Event;Tournament 568;City League (JP);2;Kabu Fukase;Dhelmise Banette
6th June 2026;568;Special Event;Tournament 568;City League (JP);3;Yuki Shibaseki;Mega Venusaur
6th June 2026;568;Special Event;Tournament 568;City League (JP);4;Takeshi Yamanaka;Dragapult
6th June 2026;568;Special Event;Tournament 568;City League (JP);5;Keito Arai;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);6;Ryoji Nishio;Dhelmise Banette
6th June 2026;568;Special Event;Tournament 568;City League (JP);7;Ryuta Watanabe;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);8;Sentaro Kadono;Slowking
6th June 2026;568;Special Event;Tournament 568;City League (JP);9;Hayato Takaoka;Ogerpon Box
6th June 2026;568;Special Event;Tournament 568;City League (JP);10;Ryunosuke Murata;Dragapult Dusknoir
6th June 2026;568;Special Event;Tournament 568;City League (JP);11;Akihiro Nakajima;Dragapult
6th June 2026;568;Special Event;Tournament 568;City League (JP);12;Tsubasa Watanabe;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);13;Haruto Fukuda;N's Zoroark
6th June 2026;568;Special Event;Tournament 568;City League (JP);14;Shunki Aida;Dragapult Dusknoir
6th June 2026;568;Special Event;Tournament 568;City League (JP);15;Takuya Shomura;Festival Lead
6th June 2026;568;Special Event;Tournament 568;City League (JP);16;Taku Noguchi;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);19;Takumi Kagawa;Ogerpon Box
6th June 2026;568;Special Event;Tournament 568;City League (JP);20;Masamichi Mori;Ogerpon Box
6th June 2026;568;Special Event;Tournament 568;City League (JP);21;Kazusa Fujiwara;Toxtricity Mega Absol
6th June 2026;568;Special Event;Tournament 568;City League (JP);22;Rikutaro Itazu;Ogerpon Box
6th June 2026;568;Special Event;Tournament 568;City League (JP);24;Hiromichi Tanaka;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);25;Ryu Hashiba;Dragapult Blaziken
6th June 2026;568;Special Event;Tournament 568;City League (JP);26;Ryoma Ito;Dragapult
6th June 2026;568;Special Event;Tournament 568;City League (JP);27;Tomonari Kawaguchi;Dhelmise Banette
6th June 2026;568;Special Event;Tournament 568;City League (JP);28;Kaname Sato;Mega Greninja
6th June 2026;568;Special Event;Tournament 568;City League (JP);32;Kaito Omori;N's Zoroark
