archetype;status;trend;old_count;new_count;count_change;old_meta_share;new_meta_share;meta_share_change;old_avg_placement;new_avg_placement;avg_placement_change;old_best;new_best
Dragapult Meowth;NEU;VERSCHLECHTERT;0;1114;1114;0;12,81;12,81;0;8,05;8,05;0;1
Mega Lucario Hariyama;NEU;VERSCHLECHTERT;0;463;463;0;5,33;5,33;0;8,34;8,34;0;1
Raging Bolt Ogerpon;NEU;VERSCHLECHTERT;0;389;389;0;4,47;4,47;0;8,33;8,33;0;1
Alakazam Dudunsparce;NEU;VERSCHLECHTERT;0;385;385;0;4,43;4,43;0;8,36;8,36;0;1
Arboliva Ogerpon;NEU;VERSCHLECHTERT;0;372;372;0;4,28;4,28;0;8,24;8,24;0;1
Garchomp Roserade;NEU;VERSCHLECHTERT;0;366;366;0;4,21;4,21;0;8,55;8,55;0;1
Dragapult Blaziken;NEU;VERSCHLECHTERT;0;352;352;0;4,05;4,05;0;8,14;8,14;0;1
Rocket's Mewtwo;NEU;VERSCHLECHTERT;0;317;317;0;3,65;3,65;0;8,29;8,29;0;1
Dragapult Dusknoir;NEU;VERSCHLECHTERT;0;313;313;0;3,6;3,6;0;8,36;8,36;0;1
Dragapult Dudunsparce;NEU;VERSCHLECHTERT;0;305;305;0;3,51;3,51;0;7,87;7,87;0;1
Grimmsnarl Munkidori;NEU;VERSCHLECHTERT;0;183;183;0;2,11;2,11;0;8,76;8,76;0;1
Zoroark Darmanitan;NEU;VERSCHLECHTERT;0;182;182;0;2,09;2,09;0;8,32;8,32;0;1
N's Zoroark;NEU;VERSCHLECHTERT;0;157;157;0;1,81;1,81;0;7,88;7,88;0;1
Metagross Genesect;NEU;VERSCHLECHTERT;0;151;151;0;1,74;1,74;0;8,63;8,63;0;1
Ogerpon Mega Kangaskhan;NEU;VERSCHLECHTERT;0;139;139;0;1,6;1,6;0;8,35;8,35;0;1
Hydrapple Ogerpon;NEU;VERSCHLECHTERT;0;136;136;0;1,56;1,56;0;8,0;8,0;0;1
Okidogi Barbaracle;NEU;VERSCHLECHTERT;0;127;127;0;1,46;1,46;0;8,52;8,52;0;1
Clefairy Ogerpon;NEU;VERSCHLECHTERT;0;123;123;0;1,41;1,41;0;7,28;7,28;0;1
Mega Greninja Dragapult;NEU;VERSCHLECHTERT;0;120;120;0;1,38;1,38;0;9,78;9,78;0;1
Mega Greninja Dudunsparce;NEU;VERSCHLECHTERT;0;110;110;0;1,27;1,27;0;9,13;9,13;0;1
Rocket's Honchkrow;NEU;VERSCHLECHTERT;0;107;107;0;1,23;1,23;0;8,68;8,68;0;1
Ceruledge;NEU;VERSCHLECHTERT;0;100;100;0;1,15;1,15;0;9,88;9,88;0;1
Festival Lead;NEU;VERSCHLECHTERT;0;97;97;0;1,12;1,12;0;7,32;7,32;0;1
Mega Kangaskhan Ogerpon;NEU;VERSCHLECHTERT;0;97;97;0;1,12;1,12;0;7,85;7,85;0;1
Toxtricity Munkidori;NEU;VERSCHLECHTERT;0;94;94;0;1,08;1,08;0;8,8;8,8;0;1
Crustle Munkidori;NEU;VERSCHLECHTERT;0;86;86;0;0,99;0,99;0;7,94;7,94;0;1
Meowth Ogerpon;NEU;VERSCHLECHTERT;0;84;84;0;0,97;0,97;0;8,24;8,24;0;1
Noctowl Ogerpon;NEU;VERSCHLECHTERT;0;79;79;0;0,91;0,91;0;8,33;8,33;0;1
Mega Meganium Ogerpon;NEU;VERSCHLECHTERT;0;78;78;0;0,9;0,9;0;8,45;8,45;0;1
Greninja Dusknoir;NEU;VERSCHLECHTERT;0;75;75;0;0,86;0,86;0;8,93;8,93;0;1
Dragapult;NEU;VERSCHLECHTERT;0;68;68;0;0,78;0,78;0;7,1;7,1;0;1
Mega Starmie Mega Froslass;NEU;VERSCHLECHTERT;0;65;65;0;0,75;0,75;0;8,74;8,74;0;1
Mega Lucario Solrock;NEU;VERSCHLECHTERT;0;58;58;0;0,67;0,67;0;7,84;7,84;0;1
Mega Venusaur Ogerpon;NEU;VERSCHLECHTERT;0;54;54;0;0,62;0,62;0;9,3;9,3;0;1
Slowking Latias;NEU;VERSCHLECHTERT;0;52;52;0;0,6;0,6;0;9,12;9,12;0;1
Slowking Mega Slowbro;NEU;VERSCHLECHTERT;0;52;52;0;0,6;0,6;0;7,27;7,27;0;1
Flareon Noctowl;NEU;VERSCHLECHTERT;0;49;49;0;0,56;0,56;0;8,29;8,29;0;1
Ogerpon Mega Venusaur;NEU;VERSCHLECHTERT;0;49;49;0;0,56;0,56;0;8,71;8,71;0;1
Mega Lucario Dudunsparce;NEU;VERSCHLECHTERT;0;48;48;0;0,55;0,55;0;9,62;9,62;0;1
Beedrill Arboliva;NEU;VERSCHLECHTERT;0;47;47;0;0,54;0,54;0;8,89;8,89;0;1
Slowking Mega Kangaskhan;NEU;VERSCHLECHTERT;0;45;45;0;0,52;0,52;0;9,42;9,42;0;1
Dragapult Mega Kangaskhan;NEU;VERSCHLECHTERT;0;41;41;0;0,47;0,47;0;8,32;8,32;0;1
Dipplin Rillaboom;NEU;VERSCHLECHTERT;0;39;39;0;0,45;0,45;0;8,05;8,05;0;1
Crustle Mega Kangaskhan;NEU;VERSCHLECHTERT;0;37;37;0;0,43;0,43;0;8,76;8,76;0;1
Dudunsparce Mega Lopunny;NEU;VERSCHLECHTERT;0;35;35;0;0,4;0,4;0;8,89;8,89;0;1
Archaludon;NEU;VERSCHLECHTERT;0;34;34;0;0,39;0,39;0;9,15;9,15;0;2
