id_expansion,expansion_code,name,release_date,code_source,n_singles
6381,,MEGA Start Deck 100 Battle Collection,2025-11-10,,774
1645,,Single Strike & Rapid Strike Master Limited,0000-00-00,,443
4388,,Start Deck 100 Deck,2021-12-22,,430
3324,,5 Pack GET! Campaign,2020-06-10,,422
4159,,McDonald's 2014 Promo,2021-03-19,,411
2916,SP,Sword & Shield Ultra-Premium Collection - Charizard Promos,2019-12-02,tcg,386
6673,,,2026-07-28,,380
5519,,Shiny Treasure ex,2023-10-20,,360
6328,,Mission Reward Vol. 1 Pack,2025-04-07,,358
6582,,,2026-05-22,,357
3214,,12th Pokémon Card Gym Promo Sword & Shield,2020-05-25,,354
5318,PAL,Paldea Evolved,2023-03-24,tcg,337
6581,,,2026-05-15,,336
3580,,Shiny Star V Limited,2020-11-24,,330
1757,,,2017-01-25,,316
5223,SVI,Scarlet & Violet,2022-12-14,tcg,316
6549,,,2026-04-03,,315
5444,PAR,Paradox Rift,2023-08-21,tcg,314
6219,,,2025-07-22,,306
5212,,Pokémon Card Gym Promo Scarlet & Violet Vol. 1,2022-11-29,,304
5241,SVP,World Championships 2023 Paradise Resort Full Set,2023-01-06,tcg,304
4382,FST,Fusion Strike,2021-08-30,tcg,303
6127,,,2025-05-02,,302
6395,ASC,Ascended Heroes,2025-11-20,tcg,296
6455,,,2026-01-28,,296
2487,UNM,Unified Minds,2019-06-13,tcg,293
4390,,VMAX Climax,2021-10-04,,293
6633,,CSV10C: Chasing Glory Together,2026-06-30,,287
2644,CEC,Cosmic Eclipse,2019-09-03,tcg,285
5879,SSP,Surging Sparks,2024-08-23,tcg,281
2370,LOT,Lost Thunder,2018-08-28,tcg,275
1612,,,0000-00-00,,273
5385,OBF,Obsidian Flames,2023-05-26,tcg,272
4979,ASR,Astral Radiance,2022-03-09,tcg,271
5546,PAF,Paldean Fates,2023-11-16,tcg,270
5691,TWM,Twilight Masquerade,2024-03-16,tcg,268
2437,UNB,Unbroken Bonds,2019-02-28,tcg,266
5093,LOR,Lost Origin,2022-06-24,tcg,266
5142,SIT,Silver Tempest 6,2022-08-25,tcg,266
6568,,CSV9C: Stellar Crystal,2026-04-30,,266
6699,,,2026-08-19,,266
6495,,CSV8C: Brilliant Fantasy,2026-02-17,,264
5589,TEF,Temporal Forces,2024-01-11,tcg,263
5198,,VSTAR Universe,2022-10-28,,262
4328,EVS,Evolving Skies,2021-06-10,tcg,260
6416,,CSV7C: Blade Awakening,2025-12-08,,259
6595,,CSV9.5C: Terastal Gathering,2026-05-28,,259
2921,SSH,Sword & Shield,2019-12-02,tcg,258
5201,CRZ,Crown Zenith,2022-11-04,tcg,256
4174,CRE,Chilling Reign,2021-04-01,tcg,255
4434,BRS,Brilliant Stars,2021-11-05,tcg,253
3856,,GX Ultra Shiny,2021-03-15,,250
6380,,MEGA Dream ex,2025-11-10,,250
4218,,,2021-04-27,,248
6220,,,2025-07-23,,245
6096,DRI,Destined Rivals,2025-03-24,tcg,244
6009,,,2025-01-16,,243
1800,GRI,Guardians Rising,2017-04-12,tcg,242
5402,MEW,151,2023-06-21,tcg,242
5928,,Terastal Festival ex,2024-10-25,,237
6409,,,2025-12-01,,236
1745,SUM,Sun & Moon,2016-11-09,tcg,235
3776,,Tag Team GX: Tag All Stars,2021-03-01,,235
3143,RCL,Rebel Clash,2020-04-07,tcg,232
6310,,CSVE2C: Battle Party Dream Vol. 1 Set,2025-09-30,,232
2407,TEU,Team Up,2018-11-21,tcg,228
3199,DAA,Darkness Ablaze,2020-05-20,tcg,227
1824,BUS,Burning Shadows,2017-06-29,tcg,222
3484,VIV,Vivid Voltage,2020-09-01,tcg,222
6408,,CS1DC: Dynamax Clash V Starter Deck,2024-07-24,,222
6329,,,2025-02-06,,220
2320,CES,Celestial Storm,2018-05-11,tcg,219
6297,,CS1aC: Dynamax Clash - Thunder,2024-07-24,,217
1678,BKT,BREAKthrough,2015-10-18,tcg,216
2065,UPR,Ultra Prism,2017-12-14,tcg,215
6343,,CSM1cC: Storming Emergence - Abundant,2024-11-14,,212
1523,BS,Base Set,0000-00-00,tcg,211
5204,PPS1,Play! Pokémon Prize Pack Series One,2022-11-10,pps,211
6128,,,2025-05-02,,211
6341,,CSM1aC: Storming Emergence - Radiant,2024-11-14,,211
5328,,Pokémon Card 151,2023-04-05,,210
5802,SCR,Stellar Crown,2024-06-28,tcg,209
3630,SHF,Shining Fates,2020-12-10,tcg,208
4170,,,2021-04-01,,207
3675,BST,Battle Styles,2020-12-15,tcg,206
6342,,CSM1bC: Storming Emergence - Verdant,2024-11-14,,204
6311,,CSVE1C: Battle Party Dream Together Set,2025-04-24,,202
5431,PPS3,Play! Pokémon Prize Pack Series Three,2023-08-02,pps,201
6298,,CS1bC: Dynamax Clash - Flame,2024-07-24,,199
6391,,,2025-11-19,,198
6447,,CBB4C: Gem Pack Vol. 4,2026-01-13,,196
6544,,CBB5C: Gem Pack Vol. 5,2026-03-31,,196
6669,,CBB6C: Gem Pack Vol. 6,2026-07-22,,196
6319,,CSM2aC: Shining Synergy - Shower,2024-11-14,,194
6320,,CSM2bC: Shining Synergy - Supreme,2024-11-14,,193
6099,,151C: Collect 151 Journey,2025-01-03,,192
6321,,CSM2cC: Shining Synergy - Summon,2024-11-14,,192
1537,E2,Aquapolis,0000-00-00,tcg,190
6006,JTG,Journey Together,2025-01-10,tcg,190
3984,,The Best of XY,2021-03-18,,188
5313,PPS2,Play! Pokémon Prize Pack Series Two,2023-03-20,pps,188
6209,MEG,Mega Evolution 24,2025-07-11,tcg,188
6694,,,2026-08-12,,187
1538,E3,Skyridge,0000-00-00,tcg,186
2514,HIF,Hidden Fates,2019-07-02,tcg,186
2075,FLI,Forbidden Light,2018-01-31,tcg,184
6204,,CS4aC: Nine Colors Gathering - Friends,2024-07-23,,184
6266,,CS3aC: Primordial Arts - Overgrow,2024-07-24,,184
6403,,CS3DC: Primordial Arts V Starter Deck,2024-07-24,,183
5944,PRE,Prismatic Evolutions,2024-11-05,tcg,180
6267,,CS3bC: Primordial Arts - Torrent,2024-07-24,,179
6258,,CS5bC: Brave Stars - Brave,2024-07-23,,178
1585,PRC,Primal Clash,0000-00-00,tcg,177
