meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
Meta Live;;Charizard;Cinderace;ASC 38;1;1;1;20;5,0;ASC;;38;Double Rare;R Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_038_R_EN_LG.png;No
Meta Live;;Charizard;Espathra ex;PAF 6;3;3;1;20;5,0;;;;;;;No
Meta Live;;Charizard;Flittle;SCR 68;3;3;1;20;5,0;;;;;;;No
Meta Live;;Charizard;Darkness Energy;SVE 23;1;1;1;20;5,0;SVE;SVE;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png;No
Meta Live;;Charizard;Tool Scrapper;ASC 212;1;1;1;20;5,0;ASC;;212;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_212_R_EN_LG.png;No
Meta Live;;Charizard;Team Rocket's Watchtower;ASC 210;1;1;1;20;5,0;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No
Meta Live;;Dragapult;Chi-Yu;PAR 29;1;1;1;20;5,0;;;;;;;No
Meta Live;;Dragapult;Ting-Lu;TWM 110;1;1;1;20;5,0;;;;;;;No
Meta Live;;Feraligatr;Shaymin;M3 3;9;1;9;20;45,0;M3;;3;Uncommon;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M3/M3_003_R_EN_LG.png;No
Meta Live;;Feraligatr;Budew;ASC 16;3;1;3;20;15,0;ASC;;16;Common;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;No
Meta Live;;Feraligatr;Croconaw;ASC 42;57;3;20;20;100,0;ASC;;42;Uncommon;W Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_042_R_EN_LG.png;No
Meta Live;;Feraligatr;Feraligatr;MC 168;56;3;20;20;100,0;MC;;168;;W Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_168_R_EN_LG.png;No
Meta Live;;Feraligatr;Totodile;ASC 41;61;4;20;20;100,0;ASC;;41;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_041_R_EN_LG.png;No
Meta Live;;Feraligatr;Psyduck;ASC 39;13;1;13;20;65,0;ASC;;39;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
Meta Live;;Feraligatr;Feebas;MC 184;6;1;6;20;30,0;MC;;184;;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_184_R_EN_LG.png;No
Meta Live;;Feraligatr;Milotic;MC 185;6;1;6;20;30,0;MC;;185;;W Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_185_R_EN_LG.png;No
Meta Live;;Feraligatr;Froslass;ASC 47;10;3;4;20;20,0;ASC;;47;Double Rare;W Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_047_R_EN_LG.png;No
Meta Live;;Feraligatr;Mega Feraligatr ex;ASC 43;7;2;4;20;20,0;ASC;;43;Double Rare;W Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_043_R_EN_LG.png;No
Meta Live;;Feraligatr;Snorunt;ASC 46;11;3;4;20;20,0;ASC;;46;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_046_R_EN_LG.png;No
Meta Live;;Feraligatr;Mega Froslass ex;ASC 47;2;1;2;20;10,0;ASC;;47;Double Rare;W Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_047_R_EN_LG.png;No
Meta Live;;Feraligatr;Froakie;MC 206;2;2;1;20;5,0;MC;;206;;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_206_R_EN_LG.png;No
Meta Live;;Feraligatr;Frogadier;MC 207;1;1;1;20;5,0;MC;;207;;W Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_207_R_EN_LG.png;No
Meta Live;;Feraligatr;Greninja ex;MC 208;2;2;1;20;5,0;MC;;208;;W Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_208_R_EN_LG.png;No
