tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,scraped_at
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Regidrago,regidrago-vstar,regidrago,223,13.13,810,698,276,50.56,0.0,0.0,0.0,223,13.1331,700,620,249,49.9044,51,16.8874,110,78,27,55.3488,0.2287,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",191,11.25,646,662,204,47.22,0.0,0.0,0.0,191,11.2485,597,576,192,48.4249,38,12.5828,49,86,12,36.0544,0.199,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Charizard Pidgeot,charizard-pidgeot,"charizard, pidgeot",146,8.6,505,495,174,47.96,0.0,0.0,0.0,146,8.5984,454,445,158,47.9344,29,9.6026,51,50,16,48.1481,0.1986,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Lost Zone Box,lost-zone-box,"comfey, cramorant",101,5.95,348,325,134,48.66,0.0,0.0,0.0,101,5.9482,315,297,117,48.5597,20,6.6225,33,28,17,49.5726,0.198,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Lugia Archeops,lugia-archeops,"lugia, archeops",90,5.3,275,301,108,45.47,0.0,0.0,0.0,90,5.3004,256,278,98,45.6751,13,4.3046,19,23,10,42.9487,0.1444,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Gardevoir,gardevoir-ex-sv,gardevoir,89,5.24,310,295,121,48.26,0.0,0.0,0.0,89,5.2415,284,255,111,49.3846,19,6.2914,26,40,10,38.5965,0.2135,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Gholdengo,gholdengo-ex,gholdengo,88,5.18,318,286,111,49.65,0.0,0.0,0.0,88,5.1826,285,255,104,49.6377,17,5.6291,33,31,7,49.7653,0.1932,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Miraidon,miraidon-ex,miraidon,78,4.59,237,269,70,45.2,0.0,0.0,0.0,78,4.5936,209,249,66,44.084,11,3.6424,28,20,4,56.4103,0.141,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Terapagos Noctowl,terapagos-noctowl,"terapagos, noctowl",67,3.95,212,220,72,46.83,0.0,0.0,0.0,67,3.9458,190,198,68,46.6374,12,3.9735,22,22,4,48.6111,0.1791,2026-05-25 12:38:08
0010,Regional Championship Sacramento,2024-11-23,regional,,1698,BRS-SSP,Roaring Moon,roaring-moon-ex,roaring-moon,53,3.12,160,185,48,44.78,0.0,0.0,0.0,53,3.1213,145,166,46,44.9113,9,2.9801,15,19,2,43.5185,0.1698,2026-05-25 12:38:08
