tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,top1_count,top4_count,top8_count,scraped_at
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",610,16.04,2019,1904,803,48.38,0.0,0.0,0.0,610,16.0358,1922,1779,760,48.7634,66,16.9231,97,125,43,42.0126,0.1082,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Grimmsnarl Froslass,grimmsnarl-froslass,"grimmsnarl, froslass",467,12.28,1554,1423,622,48.94,0.0,0.0,0.0,467,12.2766,1459,1336,594,48.8935,53,13.5897,95,87,28,49.6825,0.1135,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Gardevoir,gardevoir-ex-sv,gardevoir,405,10.65,1397,1230,599,49.49,0.0,0.0,0.0,405,10.6467,1278,1147,560,49.0676,58,14.8718,119,83,39,54.7718,0.1432,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Joltik Box,joltik-box,"joltik, pikachu",337,8.86,1098,1094,296,48.1,0.0,0.0,0.0,337,8.8591,1063,1041,289,48.4469,24,6.1538,35,53,7,39.2982,0.0712,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",255,6.7,790,859,253,45.97,0.0,0.0,0.0,255,6.7035,733,811,240,45.5717,29,7.4359,57,48,13,51.9774,0.1137,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Dragapult Charizard,dragapult-charizard,"dragapult, charizard",237,6.23,870,731,349,50.58,0.0,0.0,0.0,237,6.2303,792,670,327,50.3633,40,10.2564,78,61,22,53.0021,0.1688,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Flareon Noctowl,flareon-noctowl,"flareon, noctowl",223,5.86,737,720,284,47.77,0.0,0.0,0.0,223,5.8623,698,658,268,48.4811,29,7.4359,39,62,16,37.8917,0.13,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Gholdengo Dragapult,gholdengo-dragapult,"gholdengo, dragapult",168,4.42,514,527,206,46.73,0.0,0.0,0.0,168,4.4164,501,513,198,46.7822,9,2.3077,13,14,8,44.7619,0.0536,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Gholdengo,gholdengo-ex,gholdengo,152,4.0,536,467,198,50.12,0.0,0.0,0.0,152,3.9958,509,434,191,50.4997,18,4.6154,27,33,7,43.7811,0.1184,,,,2026-05-25 12:38:08
0034,International Championship New Orleans,2025-06-13,regional,,3804,SVI-DRI,Dragapult,dragapult-ex,dragapult,108,2.84,361,348,122,48.34,0.0,0.0,0.0,108,2.8391,322,324,116,47.3316,16,4.1026,39,24,6,59.4203,0.1481,,,,2026-05-25 12:38:08
