tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,scraped_at
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Grimmsnarl Froslass,grimmsnarl-froslass,"grimmsnarl, froslass",108,9.72,398,346,178,49.6,0.0,0.0,0.0,108,9.721,348,296,155,50.0209,24,12.3711,50,50,23,46.8835,0.2222,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Charizard Pidgeot,charizard-pidgeot,"charizard, pidgeot",99,8.91,309,356,116,44.52,0.0,0.0,0.0,99,8.9109,286,333,107,44.3067,11,5.6701,23,23,9,47.2727,0.1111,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Gardevoir,gardevoir-ex-sv,gardevoir,96,8.64,286,324,136,44.41,0.0,0.0,0.0,96,8.6409,255,308,127,43.0918,10,5.1546,31,16,9,60.7143,0.1042,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Gholdengo Lunatone,gholdengo-lunatone,"gholdengo, lunatone",95,8.55,372,334,113,50.02,0.0,0.0,0.0,95,8.5509,326,285,98,50.5877,22,11.3402,46,49,15,46.3636,0.2316,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Ceruledge,ceruledge-ex,ceruledge,90,8.1,337,303,121,49.58,0.0,0.0,0.0,90,8.1008,302,272,111,49.4891,15,7.732,35,31,10,50.4386,0.1667,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",90,8.1,268,319,118,43.59,0.0,0.0,0.0,90,8.1008,250,292,108,44.0,11,5.6701,18,27,10,38.7879,0.1222,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",73,6.57,222,261,92,43.94,0.0,0.0,0.0,73,6.5707,208,235,87,44.717,9,4.6392,14,26,5,34.8148,0.1233,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Gardevoir Jellicent,gardevoir-jellicent,"gardevoir, jellicent",57,5.13,193,192,77,47.33,0.0,0.0,0.0,57,5.1305,173,171,71,47.3896,9,4.6392,20,21,6,46.8085,0.1579,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Tera Box,tera-box,"noctowl, ogerpon-wellspring",42,3.78,153,144,62,48.38,0.0,0.0,0.0,42,3.7804,138,122,54,49.6815,9,4.6392,15,22,8,39.2593,0.2143,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Mega Absol Box,mega-absol-box,"absol-mega, kangaskhan-mega",36,3.24,250,100,72,64.93,0.0,0.0,0.0,36,3.2403,183,65,38,68.4149,26,13.4021,67,35,34,57.598,0.7222,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Gholdengo Joltik Box,gholdengo-joltik-box,"gholdengo, joltik",31,2.79,132,106,33,52.77,0.0,0.0,0.0,31,2.7903,110,89,32,52.2367,8,4.1237,22,17,1,55.8333,0.2581,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Dragapult Charizard,dragapult-charizard,"dragapult, charizard",28,2.52,69,106,34,38.44,0.0,0.0,0.0,28,2.5203,67,104,33,38.2353,1,0.5155,2,2,1,46.6667,0.0357,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,N's Zoroark,n-zoroark,zoroark,23,2.07,76,86,29,44.85,0.0,0.0,0.0,23,2.0702,72,81,28,44.9355,2,1.0309,4,5,1,43.3333,0.087,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Joltik Box,joltik-box,"joltik, pikachu",21,1.89,76,76,25,47.65,0.0,0.0,0.0,21,1.8902,67,66,23,47.8632,4,2.0619,9,10,2,46.0317,0.1905,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Gholdengo,gholdengo-ex,gholdengo,20,1.8,66,77,19,44.65,0.0,0.0,0.0,20,1.8002,64,70,18,46.0526,2,1.0309,2,7,1,23.3333,0.1,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Cynthia's Garchomp,cynthia-garchomp-ex,garchomp,18,1.62,28,71,19,29.1,0.0,0.0,0.0,18,1.6202,28,71,19,29.096,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Mega Venusaur,mega-venusaur-ex,venusaur-mega,18,1.62,40,68,23,36.39,0.0,0.0,0.0,18,1.6202,40,68,23,36.3868,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Alakazam Dudunsparce,alakazam-dudunsparce,"alakazam, dudunsparce",13,1.17,39,37,26,46.73,0.0,0.0,0.0,13,1.1701,38,34,25,47.7663,1,0.5155,1,3,1,26.6667,0.0769,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Flareon Noctowl,flareon-noctowl,"flareon, noctowl",12,1.08,42,44,20,45.91,0.0,0.0,0.0,12,1.0801,36,38,17,45.7875,3,1.5464,6,6,3,46.6667,0.25,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Pidgeot Control,pidgeot-control,pidgeot,12,1.08,40,39,13,48.19,0.0,0.0,0.0,12,1.0801,34,37,11,45.935,2,1.0309,6,2,2,66.6667,0.1667,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Crustle,crustle-dri,crustle,11,0.99,41,41,11,48.03,0.0,0.0,0.0,11,0.9901,36,35,8,48.9451,3,1.5464,5,6,3,42.8571,0.2727,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Ethan's Typhlosion,ethan-typhlosion,typhlosion,11,0.99,36,38,19,45.52,0.0,0.0,0.0,11,0.9901,30,33,15,44.8718,3,1.5464,6,5,4,48.8889,0.2727,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Ho-Oh Armarouge,ho-oh-armarouge,"ho-oh, armarouge",9,0.81,32,29,14,48.89,0.0,0.0,0.0,9,0.8101,30,27,13,49.0476,1,0.5155,2,2,1,46.6667,0.1111,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Lucario Hariyama,lucario-hariyama,"lucario-mega, hariyama",9,0.81,30,32,13,45.78,0.0,0.0,0.0,9,0.8101,29,27,11,48.7562,2,1.0309,1,5,2,20.8333,0.2222,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Other,other,substitute,7,0.63,14,25,9,35.42,0.0,0.0,0.0,7,0.6301,14,25,9,35.4167,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Dragapult,dragapult-ex,dragapult,6,0.54,22,23,7,46.79,0.0,0.0,0.0,6,0.5401,21,21,5,48.227,1,0.5155,1,2,2,33.3333,0.1667,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Kangaskhan Bouffalant,kangaskhan-bouffalant,"kangaskhan-mega, bouffalant",6,0.54,37,22,11,58.1,0.0,0.0,0.0,6,0.5401,27,12,9,62.5,4,2.0619,10,10,2,48.4848,0.6667,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Manectric Eelektrik,manectric-eelektrik,"manectric-mega, eelektrik",6,0.54,16,18,7,44.72,0.0,0.0,0.0,6,0.5401,14,15,7,45.3704,1,0.5155,2,3,0,40.0,0.1667,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Ogerpon,ogerpon-ex,"ogerpon, ogerpon-wellspring",4,0.36,26,16,10,56.41,0.0,0.0,0.0,4,0.36,20,6,6,68.75,4,2.0619,6,10,4,36.6667,1.0,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Zoroark Crustle,zoroark-crustle,"zoroark, crustle",4,0.36,18,14,4,53.7,0.0,0.0,0.0,4,0.36,16,11,4,55.914,1,0.5155,2,3,0,40.0,0.25,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Archaludon,archaludon-ex,archaludon,3,0.27,16,9,5,58.89,0.0,0.0,0.0,3,0.27,12,8,4,55.5556,1,0.5155,4,1,1,72.2222,0.3333,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Charizard,charizard-ex,charizard,3,0.27,5,16,0,23.81,0.0,0.0,0.0,3,0.27,5,16,0,23.8095,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
0039,Regional Championship Belo Horizonte,2025-10-11,regional,,1111,SVI-MEG,Hydrapple Ogerpon,hydrapple-ogerpon,"hydrapple, ogerpon",3,0.27,6,8,8,39.39,0.0,0.0,0.0,3,0.27,6,8,8,39.3939,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
