tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,top1_count,top4_count,top8_count,scraped_at
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Dragapult,dragapult-ex,dragapult,749,20.01,3278,2466,1021,53.49,0.0,0.0,0.0,749,20.0107,2611,1873,849,54.2659,240,35.5556,667,593,172,50.5819,0.3204,0,1,2,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",374,9.99,1266,1258,316,48.29,0.0,0.0,0.0,374,9.992,1104,1100,291,48.1363,58,8.5926,162,158,25,49.372,0.1551,0,1,1,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Ogerpon Meganium Hydrapple,ogerpon-meganium-hydrapple,"ogerpon, hydrapple",232,6.2,700,777,232,45.48,0.0,0.0,0.0,232,6.1982,629,687,207,45.8306,31,4.5926,71,90,25,42.6523,0.1336,0,0,0,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Alakazam Dudunsparce,alakazam-dudunsparce,"alakazam, dudunsparce",230,6.14,803,755,279,48.78,0.0,0.0,0.0,230,6.1448,692,632,243,49.3299,46,6.8148,111,123,36,45.5556,0.2,0,0,0,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,N's Zoroark,n-zoroark,zoroark,209,5.58,772,683,237,50.3,0.0,0.0,0.0,209,5.5838,619,568,202,49.412,51,7.5556,153,115,35,54.3454,0.244,0,0,0,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Dragapult Blaziken,dragapult-blaziken,"dragapult, blaziken",186,4.97,580,594,209,46.98,0.0,0.0,0.0,186,4.9693,515,535,193,46.6077,23,3.4074,65,59,16,50.2381,0.1237,0,0,1,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Slowking,slowking-scr,slowking,168,4.49,604,607,163,47.91,0.0,0.0,0.0,168,4.4884,524,505,137,48.8565,35,5.1852,80,102,26,42.6282,0.2083,0,1,1,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",163,4.35,431,552,127,42.64,0.0,0.0,0.0,163,4.3548,392,492,117,43.0569,19,2.8148,39,60,10,38.8379,0.1166,0,0,0,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Mega Greninja,mega-greninja-ex,greninja-mega,123,3.29,273,437,87,37.89,0.0,0.0,0.0,123,3.2861,262,407,86,38.4989,7,1.037,11,30,1,26.9841,0.0569,0,0,0,2026-06-15 10:45:31
0070,International Championship New Orleans,2026-06-12,international,US,3743,TEF-CRI,Crustle,crustle-dri,crustle,121,3.23,520,367,178,54.4,0.0,0.0,0.0,121,3.2327,419,294,143,54.5171,35,5.1852,101,73,35,53.9075,0.2893,0,0,1,2026-06-15 10:45:31
