tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,top1_count,top4_count,top8_count,scraped_at
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Dragapult,dragapult-ex,dragapult,389,19.75,1551,1217,464,52.77,0.0,0.0,0.0,389,19.7462,1293,1011,394,52.7922,106,29.4444,258,206,70,52.6841,0.2725,0,1,5,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",145,7.36,515,488,119,49.44,0.0,0.0,0.0,145,7.3604,452,425,98,49.7094,30,8.3333,63,63,21,47.619,0.2069,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Ogerpon Meganium Hydrapple,ogerpon-meganium-hydrapple,"ogerpon, hydrapple",127,6.45,433,406,133,49.11,0.0,0.0,0.0,127,6.4467,371,355,120,48.5816,25,6.9444,62,51,13,52.6455,0.1969,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",124,6.29,434,435,88,48.42,0.0,0.0,0.0,124,6.2944,377,377,80,48.4013,24,6.6667,57,58,8,48.5095,0.1935,0,1,1,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Lopunny Dudunsparce,lopunny-dudunsparce,"lopunny-mega, dudunsparce",95,4.82,230,306,91,41.52,0.0,0.0,0.0,95,4.8223,217,294,81,41.2162,7,1.9444,13,12,10,46.6667,0.0737,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Alakazam Dudunsparce,alakazam-dudunsparce,"alakazam, dudunsparce",89,4.52,322,272,103,51.12,0.0,0.0,0.0,89,4.5178,277,244,93,50.1629,16,4.4444,45,28,10,58.2329,0.1798,1,1,1,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Dragapult Blaziken,dragapult-blaziken,"dragapult, blaziken",81,4.11,272,280,101,46.81,0.0,0.0,0.0,81,4.1117,239,236,94,47.5103,17,4.7222,33,44,7,42.0635,0.2099,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,N's Zoroark,n-zoroark,zoroark,78,3.96,210,252,69,43.88,0.0,0.0,0.0,78,3.9594,195,232,61,44.1257,10,2.7778,15,20,8,41.0853,0.1282,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Rocket's Mewtwo,rocket-mewtwo-ex,"mewtwo, spidops",72,3.65,200,249,75,42.94,0.0,0.0,0.0,72,3.6548,186,224,74,43.5262,8,2.2222,14,25,1,35.8333,0.1111,0,0,0,2026-06-03 16:49:08
0068,Regional Championship Indianapolis,2026-05-30,regional,US,1970,TEF-POR,Rocket's Honchkrow,rockets-honchkrow,"honchkrow, porygon2",65,3.3,216,196,78,49.39,0.0,0.0,0.0,65,3.2995,195,172,68,50.0383,11,3.0556,21,24,10,44.2424,0.1692,0,0,0,2026-06-03 16:49:08
