tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,meta,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,scraped_at
0042,Regional Championship Brisbane,,regional,,615,,Gardevoir,gardevoir-ex-sv,gardevoir,69,11.22,223,229,81,46.9,0.0,0.0,0.0,69,11.2195,205,211,77,46.7884,10,8.6957,18,18,4,48.3333,0.1449,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",65,10.57,247,231,67,49.42,0.0,0.0,0.0,65,10.5691,211,202,57,48.9362,17,14.7826,36,29,10,52.4444,0.2615,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Charizard Pidgeot,charizard-pidgeot,"charizard, pidgeot",54,8.78,220,179,65,52.08,0.0,0.0,0.0,54,8.7805,187,157,59,51.2821,14,12.1739,33,22,6,57.377,0.2593,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Grimmsnarl Froslass,grimmsnarl-froslass,"grimmsnarl, froslass",42,6.83,160,125,62,52.07,0.0,0.0,0.0,42,6.8293,142,110,59,51.9829,9,7.8261,18,15,3,52.7778,0.2143,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Ceruledge,ceruledge-ex,ceruledge,40,6.5,123,132,49,45.83,0.0,0.0,0.0,40,6.5041,116,124,48,45.8333,4,3.4783,7,8,1,45.8333,0.1,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Gholdengo Lunatone,gholdengo-lunatone,"gholdengo, lunatone",37,6.02,158,119,41,53.98,0.0,0.0,0.0,37,6.0163,142,103,34,54.9582,9,7.8261,16,16,7,47.0085,0.2432,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Gardevoir Jellicent,gardevoir-jellicent,"gardevoir, jellicent",35,5.69,142,108,52,52.76,0.0,0.0,0.0,35,5.6911,127,88,41,54.9479,12,10.4348,15,20,11,40.5797,0.3429,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Mega Absol Box,mega-absol-box,"absol-mega, kangaskhan-mega",33,5.37,151,112,49,53.63,0.0,0.0,0.0,33,5.3659,117,89,42,52.8226,14,12.1739,34,23,7,56.7708,0.4242,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Tera Box,tera-box,"noctowl, ogerpon-wellspring",26,4.23,87,81,26,49.31,0.0,0.0,0.0,26,4.2276,78,74,26,48.6891,4,3.4783,9,7,0,56.25,0.1538,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",20,3.25,73,65,23,50.1,0.0,0.0,0.0,20,3.252,64,59,18,49.6454,5,4.3478,9,6,5,53.3333,0.25,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Cynthia's Garchomp,cynthia-garchomp-ex,garchomp,13,2.11,38,57,11,39.31,0.0,0.0,0.0,13,2.1138,35,48,11,41.1348,3,2.6087,3,9,0,25.0,0.2308,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,N's Zoroark,n-zoroark,zoroark,13,2.11,36,43,18,43.3,0.0,0.0,0.0,13,2.1138,34,36,15,45.8824,3,2.6087,2,7,3,25.0,0.2308,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Gholdengo,gholdengo-ex,gholdengo,12,1.95,33,45,9,41.38,0.0,0.0,0.0,12,1.9512,32,39,8,43.8819,2,1.7391,1,6,1,16.6667,0.1667,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Other,other,substitute,12,1.95,18,50,12,27.5,0.0,0.0,0.0,12,1.9512,18,50,12,27.5,0,0.0,0,0,0,0.0,0.0,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Joltik Box,joltik-box,"joltik, pikachu",11,1.79,35,41,8,44.84,0.0,0.0,0.0,11,1.7886,33,39,8,44.5833,1,0.8696,2,2,0,50.0,0.0909,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Flareon Noctowl,flareon-noctowl,"flareon, noctowl",10,1.63,28,38,15,40.74,0.0,0.0,0.0,10,1.626,26,34,13,41.5525,2,1.7391,2,4,2,33.3333,0.2,2026-05-25 12:38:08
0042,Regional Championship Brisbane,,regional,,615,,Gholdengo Joltik Box,gholdengo-joltik-box,"gholdengo, joltik",10,1.63,38,39,7,48.02,0.0,0.0,0.0,10,1.626,37,32,7,51.7544,2,1.7391,1,7,0,12.5,0.2,2026-05-25 12:38:08
