meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,ceruledge-ex,Ceruledge,2,50.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,gardevoir-ex-sv,Gardevoir,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,dragapult-dusknoir,Dragapult Dusknoir,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,gholdengo-ex,Gholdengo,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,lugia-archeops,Lugia Archeops,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,poison-terapagos,Poison Terapagos,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,charizard-pidgeot,Charizard Pidgeot,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,gouging-fire-ex,Gouging Fire,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,miraidon-regieleki,Miraidon Regieleki,1,0.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,aegislash-par,Aegislash,2,2,9,0,18.18,other,Other,1,100.0,overall,2026-05-25T16:29:42.393181+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,dragapult-dusknoir,Dragapult Dusknoir,6,22.22,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,poison-terapagos,Poison Terapagos,4,33.33,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,archaludon-ex,Archaludon,4,33.33,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,gardevoir-ex-sv,Gardevoir,3,0.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,raging-bolt-ogerpon,Raging Bolt Ogerpon,3,11.11,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,lost-zone-box,Lost Zone Box,2,0.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,lugia-archeops,Lugia Archeops,2,0.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,charizard-pidgeot,Charizard Pidgeot,2,50.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,tsareena-ex,Tsareena,1,100.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,iron-thorns-ex,Iron Thorns,1,0.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,feraligatr-tef,Feraligatr,1,100.0,overall,2026-05-25T16:29:44.619667+00:00
BRS-PRE,"18,20,21,22,23,24",6,alakazam-ex,Alakazam,5,8,25,5,25.44,flareon-noctowl,Flareon Noctowl,1,100.0,overall,2026-05-25T16:29:44.619667+00:00
