meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,lugia-archeops,Lugia Archeops,3,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,raging-bolt-ogerpon,Raging Bolt Ogerpon,2,100.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,dragapult-pidgeot,Dragapult Pidgeot,2,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,charizard-pidgeot,Charizard Pidgeot,2,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,iron-thorns-ex,Iron Thorns,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,roaring-moon-ex,Roaring Moon,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,slowking-scr,Slowking,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,giratina-lz-box,Giratina LZ Box,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,charizard-ex,Charizard,1,100.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,regidrago-vstar,Regidrago,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,terapagos-noctowl,Terapagos Noctowl,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,palkia-dusknoir,Palkia Dusknoir,1,0.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,dragapult-dusknoir,Dragapult Dusknoir,1,100.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,gholdengo-dragapult,Gholdengo Dragapult,1,100.0,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,aegislash-par,Aegislash,3,5,14,1,26.67,klawf-par,Klawf,1,33.33,,,,overall,2026-05-25T16:33:36.211785+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,palkia-dusknoir,Palkia Dusknoir,2,0.0,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,dragapult-dusknoir,Dragapult Dusknoir,2,0.0,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,terapagos-noctowl,Terapagos Noctowl,1,0.0,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,gholdengo-ex,Gholdengo,1,33.33,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,banette-gardevoir,Banette Gardevoir,1,100.0,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,alakazam-ex,Alakazam,1,1,6,1,16.67,regidrago-vstar,Regidrago,1,0.0,,,,overall,2026-05-25T16:33:38.483347+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,raging-bolt-ogerpon,Raging Bolt Ogerpon,161,58.59,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,charizard-pidgeot,Charizard Pidgeot,105,32.38,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,lugia-archeops,Lugia Archeops,105,37.14,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,regidrago-vstar,Regidrago,88,38.64,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,terapagos-noctowl,Terapagos Noctowl,84,20.24,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,palkia-dusknoir,Palkia Dusknoir,60,32.78,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dragapult-pidgeot,Dragapult Pidgeot,54,23.46,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,gardevoir-ex-sv,Gardevoir,46,55.07,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,roaring-moon-ex,Roaring Moon,35,67.62,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,iron-thorns-ex,Iron Thorns,33,71.72,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,snorlax-stall,Snorlax Stall,33,55.56,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dragapult-dusknoir,Dragapult Dusknoir,28,14.29,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,miraidon-ex,Miraidon,22,40.91,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,klawf-par,Klawf,18,55.56,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,gholdengo-ex,Gholdengo,16,70.83,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,palkia-noctowl,Palkia Noctowl,14,33.33,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,lost-zone-box,Lost Zone Box,14,47.62,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,chien-pao-baxcalibur,Chien-Pao Baxcalibur,11,69.7,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,banette-gardevoir,Banette Gardevoir,9,81.48,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,pidgeot-control,Pidgeot Control,8,20.83,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,other,Other,8,91.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,ancient-box,Ancient Box,6,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,mimikyu-ogerpon,Mimikyu Ogerpon,6,61.11,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dragapult-ex,Dragapult,5,46.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,banette-dusknoir,Banette Dusknoir,4,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,hydrapple-ogerpon,Hydrapple Ogerpon,4,41.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,great-tusk-tef,Great Tusk Mill,4,83.33,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,united-wings,United Wings,3,33.33,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,charizard-noctowl,Charizard Noctowl,3,0.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,hisuian-zoroark-vstar,Hisuian Zoroark,2,16.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dialga-metang,Dialga Metang,2,100.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,arceus-giratina,Arceus Giratina,2,66.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,banette-ex-sv,Banette,2,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,venomoth-froslass,Venomoth Froslass,2,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,ogerpon-noivern,Ogerpon Noivern,2,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dragapult-lz-box,Dragapult LZ Box,2,66.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,blissey-ex,Blissey,2,0.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,giratina-lz-box,Giratina LZ Box,2,100.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,charizard-ex,Charizard,2,33.33,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,arceus-armarouge,Arceus Armarouge,2,16.67,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,dragapult-iron-thorns,Dragapult Iron Thorns,2,50.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,gouging-fire-ex,Gouging Fire,2,0.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,cinderace-ex,Cinderace,1,33.33,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,iron-thorns-crown,Future Thorns,1,100.0,,,,overall,2026-05-25T16:33:40.820021+00:00
BRS-SCR,"2,3,4,5,6,7,8,9",8,ancient-box,Ancient Box,145,390,461,189,43.56,palkia-vstar,Palkia,1,0.0,,,,overall,2026-05-25T16:33:40.820021+00:00
