meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
BRS-SFA,1,1,alakazam-ex,Alakazam,1,1,4,0,20.0,roaring-moon-ex,Roaring Moon,2,50.0,overall,2026-05-25T16:37:48.569513+00:00
BRS-SFA,1,1,alakazam-ex,Alakazam,1,1,4,0,20.0,iron-thorns-ex,Iron Thorns,1,0.0,overall,2026-05-25T16:37:48.569513+00:00
BRS-SFA,1,1,alakazam-ex,Alakazam,1,1,4,0,20.0,miraidon-ex,Miraidon,1,0.0,overall,2026-05-25T16:37:48.569513+00:00
BRS-SFA,1,1,alakazam-ex,Alakazam,1,1,4,0,20.0,charizard-pidgeot,Charizard Pidgeot,1,0.0,overall,2026-05-25T16:37:48.569513+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,regidrago-vstar,Regidrago,280,40.83,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,raging-bolt-ogerpon,Raging Bolt Ogerpon,251,70.25,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,charizard-pidgeot,Charizard Pidgeot,236,27.26,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,lugia-archeops,Lugia Archeops,109,34.56,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,roaring-moon-ex,Roaring Moon,88,70.45,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,miraidon-ex,Miraidon,80,52.92,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,ancient-box,Ancient Box,80,47.08,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,gardevoir-ex-sv,Gardevoir,66,50.0,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,snorlax-stall,Snorlax Stall,37,24.32,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,iron-thorns-ex,Iron Thorns,31,79.57,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,other,Other,29,68.97,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,chien-pao-baxcalibur,Chien-Pao Baxcalibur,23,73.91,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,ogerpon-noivern,Ogerpon Noivern,21,20.63,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,giratina-lz-box,Giratina LZ Box,20,56.67,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,gholdengo-ex,Gholdengo,19,57.89,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,lzb-charizard,Lost Box Charizard,19,56.14,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,palkia-dusknoir,Palkia Dusknoir,18,46.3,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,dragapult-pidgeot,Dragapult Pidgeot,18,46.3,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,pidgeot-control,Pidgeot Control,16,22.92,overall,2026-05-25T16:37:50.477546+00:00
BRS-SFA,1,1,ancient-box,Ancient Box,214,749,695,257,49.07,banette-dusknoir,Banette Dusknoir,16,68.75,overall,2026-05-25T16:37:50.477546+00:00
