meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,miraidon-ex,Miraidon,6,38.89,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,regidrago-vstar,Regidrago,4,25.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,lugia-archeops,Lugia Archeops,2,16.67,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,ceruledge-ex,Ceruledge,2,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,giratina-lz-box,Giratina LZ Box,1,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,torterra-ex,Torterra,1,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,gholdengo-ex,Gholdengo,1,100.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,palkia-noctowl,Palkia Noctowl,1,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,aegislash-par,Aegislash,3,4,15,2,22.22,gardevoir-ex-sv,Gardevoir,1,0.0,overall,2026-05-25T16:40:21.832767+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,charizard-pidgeot,Charizard Pidgeot,5,60.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,lugia-archeops,Lugia Archeops,3,33.33,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,iron-thorns-ex,Iron Thorns,3,44.44,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,gholdengo-ex,Gholdengo,2,16.67,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,roaring-moon-ex,Roaring Moon,2,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,hydreigon-ex,Hydreigon,2,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,regidrago-vstar,Regidrago,2,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,miraidon-ex,Miraidon,2,16.67,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,klawf-par,Klawf,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,snorlax-stall,Snorlax Stall,1,33.33,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,gardevoir-ex-sv,Gardevoir,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,archaludon-dialga,Archaludon Dialga,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,lost-zone-box,Lost Zone Box,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,other,Other,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,dragapult-iron-thorns,Dragapult Iron Thorns,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alakazam-ex,Alakazam,4,5,21,4,21.11,dragapult-pidgeot,Dragapult Pidgeot,1,0.0,overall,2026-05-25T16:40:24.290831+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,regidrago-vstar,Regidrago,2,50.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,miraidon-ex,Miraidon,2,16.67,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,festival-lead,Dipplin,2,50.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,tsareena-ex,Tsareena,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,future-box,Future Box,1,33.33,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,gardevoir-ex-sv,Gardevoir,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,charizard-pidgeot,Charizard Pidgeot,1,100.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,iron-thorns-ex,Iron Thorns,1,100.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,roaring-moon-ex,Roaring Moon,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,ceruledge-ex,Ceruledge,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,alolan-exeggutor-ex,Alolan Exeggutor ex,2,4,9,2,31.11,gholdengo-ex,Gholdengo,1,0.0,overall,2026-05-25T16:40:26.759460+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,regidrago-vstar,Regidrago,261,43.42,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,charizard-pidgeot,Charizard Pidgeot,227,24.23,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,raging-bolt-ogerpon,Raging Bolt Ogerpon,169,60.16,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,gardevoir-ex-sv,Gardevoir,119,51.54,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,gholdengo-ex,Gholdengo,113,59.59,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,miraidon-ex,Miraidon,110,55.45,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,lugia-archeops,Lugia Archeops,104,33.33,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,lost-zone-box,Lost Zone Box,88,59.85,overall,2026-05-25T16:40:29.238340+00:00
BRS-SSP,"10,11,12,13,14,15,16,17",8,ancient-box,Ancient Box,268,902,840,417,48.22,dragapult-iron-thorns,Dragapult Iron Thorns,86,31.4,overall,2026-05-25T16:40:29.238340+00:00
