meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,dragapult-dusknoir,Dragapult Dusknoir,268,27.86,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,n-zoroark,N's Zoroark,161,37.89,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,gholdengo-lunatone,Gholdengo Lunatone,152,57.24,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,gardevoir-ex-sv,Gardevoir,142,33.33,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,grimmsnarl-froslass,Grimmsnarl Froslass,113,32.74,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,raging-bolt-ogerpon,Raging Bolt Ogerpon,83,55.82,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,mega-absol-box,Mega Absol Box,69,58.45,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,charizard-noctowl,Charizard Noctowl,66,31.31,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,joltik-box,Joltik Box,58,61.49,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,froslass-munkidori,Froslass Munkidori,48,35.42,,,,overall,2026-05-25T16:45:20.547958+00:00
SVI-ASC,"56,57,58,59,60,61",6,alakazam-dudunsparce,Alakazam Dudunsparce,233,673,787,282,44.03,charizard-pidgeot,Charizard Pidgeot,44,50.76,,,,overall,2026-05-25T16:45:20.547958+00:00
