meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,ho-oh-armarouge,Ho-Oh Armarouge,1,0.0,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,miraidon-ex,Miraidon,1,0.0,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,dragapult-dusknoir,Dragapult Dusknoir,1,33.33,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,festival-lead,Festival Lead,1,0.0,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,n-zoroark,N's Zoroark,1,0.0,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,gardevoir-ex-sv,Gardevoir,1,33.33,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alakazam-ex,Alakazam,1,0,6,2,8.33,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,,,,overall,2026-05-25T16:50:16.298123+00:00
SVI-BLK,"35,36,37,38",4,alolan-exeggutor-ex,Alolan Exeggutor ex,1,1,3,0,25.0,dragapult-ex,Dragapult,1,100.0,,,,overall,2026-05-25T16:50:18.524822+00:00
SVI-BLK,"35,36,37,38",4,alolan-exeggutor-ex,Alolan Exeggutor ex,1,1,3,0,25.0,ethan-typhlosion,Ethan's Typhlosion,1,0.0,,,,overall,2026-05-25T16:50:18.524822+00:00
SVI-BLK,"35,36,37,38",4,alolan-exeggutor-ex,Alolan Exeggutor ex,1,1,3,0,25.0,roaring-moon-ex,Roaring Moon,1,0.0,,,,overall,2026-05-25T16:50:18.524822+00:00
SVI-BLK,"35,36,37,38",4,alolan-exeggutor-ex,Alolan Exeggutor ex,1,1,3,0,25.0,gholdengo-ex,Gholdengo,1,0.0,,,,overall,2026-05-25T16:50:18.524822+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,gholdengo-ex,Gholdengo,3,11.11,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,raging-bolt-ogerpon,Raging Bolt Ogerpon,3,44.44,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,flareon-noctowl,Flareon Noctowl,3,33.33,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,charizard-pidgeot,Charizard Pidgeot,1,100.0,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,dragapult-dusknoir,Dragapult Dusknoir,1,33.33,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,grimmsnarl-froslass,Grimmsnarl Froslass,1,33.33,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,gholdengo-joltik-box,Gholdengo Joltik Box,1,0.0,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,ancient-box,Ancient Box,3,4,6,4,38.1,gardevoir-ex-sv,Gardevoir,1,100.0,,,,overall,2026-05-25T16:50:20.756439+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,dragapult-dusknoir,Dragapult Dusknoir,18,55.56,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,raging-bolt-ogerpon,Raging Bolt Ogerpon,17,50.98,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,gardevoir-ex-sv,Gardevoir,15,31.11,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,charizard-pidgeot,Charizard Pidgeot,11,33.33,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,grimmsnarl-froslass,Grimmsnarl Froslass,10,26.67,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,gholdengo-ex,Gholdengo,9,37.04,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,gholdengo-joltik-box,Gholdengo Joltik Box,9,40.74,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,joltik-box,Joltik Box,6,66.67,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,tera-box,Tera Box,5,86.67,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,dragapult-charizard,Dragapult Charizard,5,26.67,,,,overall,2026-05-25T16:50:22.952660+00:00
SVI-BLK,"35,36,37,38",4,archaludon-ex,Archaludon,16,48,57,20,43.73,flareon-noctowl,Flareon Noctowl,3,22.22,,,,overall,2026-05-25T16:50:22.952660+00:00
