meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
SVI-DRI,34,1,alakazam-ex,Alakazam,1,2,5,1,29.17,gardevoir-ex-sv,Gardevoir,3,44.44,,,,overall,2026-05-25T16:54:10.156886+00:00
SVI-DRI,34,1,alakazam-ex,Alakazam,1,2,5,1,29.17,roaring-moon-ex,Roaring Moon,2,0.0,,,,overall,2026-05-25T16:54:10.156886+00:00
SVI-DRI,34,1,alakazam-ex,Alakazam,1,2,5,1,29.17,charizard-pidgeot,Charizard Pidgeot,1,0.0,,,,overall,2026-05-25T16:54:10.156886+00:00
SVI-DRI,34,1,alakazam-ex,Alakazam,1,2,5,1,29.17,dragapult-charizard,Dragapult Charizard,1,100.0,,,,overall,2026-05-25T16:54:10.156886+00:00
SVI-DRI,34,1,alakazam-ex,Alakazam,1,2,5,1,29.17,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,,,,overall,2026-05-25T16:54:10.156886+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,raging-bolt-ogerpon,Raging Bolt Ogerpon,30,56.67,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,joltik-box,Joltik Box,19,38.6,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,gardevoir-ex-sv,Gardevoir,17,35.29,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,grimmsnarl-froslass,Grimmsnarl Froslass,15,42.22,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,dragapult-charizard,Dragapult Charizard,12,52.78,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,gholdengo-ex,Gholdengo,12,36.11,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,dragapult-dusknoir,Dragapult Dusknoir,9,48.15,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,gholdengo-dragapult,Gholdengo Dragapult,9,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,flareon-noctowl,Flareon Noctowl,7,85.71,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,dragapult-ex,Dragapult,5,60.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,ethan-typhlosion,Ethan's Typhlosion,4,83.33,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,ho-oh-armarouge,Ho-Oh Armarouge,3,44.44,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,ceruledge-ex,Ceruledge,3,66.67,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,blaziken-ex-jtg,Blaziken,3,33.33,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,charizard-pidgeot,Charizard Pidgeot,2,16.67,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,hop-zacian,Hop's Zacian,2,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,n-zoroark,N's Zoroark,2,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,cynthia-garchomp-ex,Cynthia's Garchomp,2,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,roaring-moon-ex,Roaring Moon,2,16.67,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,blissey-ex,Blissey,2,16.67,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,yanmega-ex,Yanmega,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,banette-ex-sv,Banette,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,poison-archaludon,Poison Archaludon,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,other,Other,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,okidogi-twm,Okidogi,1,33.33,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,flareon-ex,Flareon,1,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,miraidon-ex,Miraidon,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,hydrapple-ogerpon,Hydrapple Ogerpon,1,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,rocket-nidoking-ex,Rocket's Nidoking,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,froslass-munkidori,Froslass Munkidori,1,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,rocket-spidops,Rocket's Spidops,1,0.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-ex,Archaludon,23,69,81,23,44.32,iron-thorns-crustle,Iron Thorns Crustle,1,100.0,,,,overall,2026-05-25T16:54:12.157172+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,grimmsnarl-froslass,Grimmsnarl Froslass,8,50.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,raging-bolt-ogerpon,Raging Bolt Ogerpon,8,58.33,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,dragapult-dusknoir,Dragapult Dusknoir,6,11.11,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,dragapult-charizard,Dragapult Charizard,4,50.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,joltik-box,Joltik Box,4,25.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,dragapult-ex,Dragapult,3,11.11,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,rocket-spidops,Rocket's Spidops,3,77.78,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,gholdengo-dragapult,Gholdengo Dragapult,3,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,cynthia-garchomp-ex,Cynthia's Garchomp,2,50.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,gardevoir-ex-sv,Gardevoir,2,50.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,flareon-noctowl,Flareon Noctowl,2,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,toedscruel-ex,Toedscruel,2,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,ogerpon-ex,Ogerpon,1,0.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,gholdengo-ex,Gholdengo,1,33.33,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,roaring-moon-ex,Roaring Moon,1,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,n-zoroark,N's Zoroark,1,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,chien-pao-baxcalibur,Chien-Pao Baxcalibur,1,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,archaludon-zoroark,Archaludon Zoroark,6,26,20,7,53.46,other,Other,1,100.0,,,,overall,2026-05-25T16:54:14.144923+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,gardevoir-ex-sv,Gardevoir,3,11.11,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,grimmsnarl-froslass,Grimmsnarl Froslass,2,50.0,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,raging-bolt-ogerpon,Raging Bolt Ogerpon,2,16.67,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,yanmega-ex,Yanmega,1,0.0,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,joltik-box,Joltik Box,1,0.0,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,okidogi-ex,Okidogi,1,0.0,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,azumarill-ssp,Azumarill,2,2,8,2,22.22,milotic-farigiraf,Milotic Farigiraf,1,0.0,,,,overall,2026-05-25T16:54:16.092890+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,grimmsnarl-froslass,Grimmsnarl Froslass,3,66.67,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,ethan-typhlosion,Ethan's Typhlosion,1,100.0,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,archaludon-ex,Archaludon,1,0.0,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,rocket-mewtwo-ex,Rocket's Mewtwo,1,33.33,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,gholdengo-ex,Gholdengo,1,100.0,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,dragapult-dusknoir,Dragapult Dusknoir,1,100.0,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,banette-ex-sv,Banette,1,5,3,1,59.26,flareon-noctowl,Flareon Noctowl,1,0.0,,,,overall,2026-05-25T16:54:18.046597+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,raging-bolt-ogerpon,Raging Bolt Ogerpon,8,25.0,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,grimmsnarl-froslass,Grimmsnarl Froslass,7,38.1,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,dragapult-dusknoir,Dragapult Dusknoir,6,0.0,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,gardevoir-ex-sv,Gardevoir,5,60.0,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,dragapult-ex,Dragapult,3,33.33,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,gholdengo-dragapult,Gholdengo Dragapult,3,33.33,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,archaludon-ex,Archaludon,3,66.67,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,joltik-box,Joltik Box,3,66.67,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,yanmega-ex,Yanmega,2,50.0,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,gholdengo-ex,Gholdengo,2,66.67,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,milotic-farigiraf,Milotic Farigiraf,1,100.0,,,,overall,2026-05-25T16:54:20.006240+00:00
SVI-DRI,34,1,blaziken-ex-jtg,Blaziken,7,16,26,6,37.5,flareon-ex,Flareon,1,0.0,,,,overall,2026-05-25T16:54:20.006240+00:00
