meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,gardevoir-ex-sv,Gardevoir,3,44.44,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,gholdengo-dragapult,Gholdengo Dragapult,3,33.33,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,dragapult-ex,Dragapult,3,33.33,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,raging-bolt-ogerpon,Raging Bolt Ogerpon,3,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,gholdengo-dudunsparce,Gholdengo Dudunsparce,2,50.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,gholdengo-ex,Gholdengo,2,66.67,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,tera-box,Tera Box,2,50.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,archaludon-dudunsparce,Archaludon Dudunsparce,1,100.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,terapagos-noctowl,Terapagos Noctowl,1,100.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,reging-bolt-bellibolt,Raging Bolt Bellibolt,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,dragapult-dusknoir,Dragapult Dusknoir,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,blissey-ex,Blissey,1,100.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,miraidon-ex,Miraidon,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,joltik-box,Joltik Box,1,33.33,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,iron-hands-ex,Future Hands,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,hop-zacian,Hop's Zacian,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,hydreigon-ex,Hydreigon,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,flareon-noctowl,Flareon Noctowl,1,100.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,aegislash-par,Aegislash,5,10,17,3,36.67,roaring-moon-ex,Roaring Moon,1,0.0,,,,overall,2026-05-25T16:57:06.539599+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,gardevoir-ex-sv,Gardevoir,2,0.0,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,flareon-noctowl,Flareon Noctowl,1,33.33,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,archaludon-ex,Archaludon,1,0.0,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,gholdengo-dragapult,Gholdengo Dragapult,1,33.33,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,blaziken-ex-jtg,Blaziken,1,33.33,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,hop-zacian,Hop's Zacian,1,0.0,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alakazam-ex,Alakazam,1,0,5,3,12.5,tyranitar-jtg,Tyranitar,1,0.0,,,,overall,2026-05-25T16:57:08.989010+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,gardevoir-ex-sv,Gardevoir,2,50.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,gholdengo-dragapult,Gholdengo Dragapult,2,0.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,roaring-moon-dudunsparce,Roaring Moon Dudunsparce,1,0.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,dragapult-dusknoir,Dragapult Dusknoir,1,100.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,alolan-exeggutor-ex,Alolan Exeggutor ex,1,2,6,0,25.0,dragapult-ex,Dragapult,1,0.0,,,,overall,2026-05-25T16:57:11.461158+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,raging-bolt-ogerpon,Raging Bolt Ogerpon,9,11.11,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,dragapult-dusknoir,Dragapult Dusknoir,8,54.17,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,tera-box,Tera Box,6,27.78,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,gardevoir-ex-sv,Gardevoir,5,26.67,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,joltik-box,Joltik Box,5,20.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,terapagos-noctowl,Terapagos Noctowl,3,33.33,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,gholdengo-ex,Gholdengo,3,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,dragapult-ex,Dragapult,3,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,flareon-noctowl,Flareon Noctowl,3,33.33,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,charizard-pidgeot,Charizard Pidgeot,3,33.33,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,dragapult-charizard,Dragapult Charizard,2,50.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,iron-thorns-ex,Iron Thorns,2,100.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,gholdengo-dudunsparce,Gholdengo Dudunsparce,2,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,other,Other,2,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,n-zoroark,N's Zoroark,1,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,charizard-noctowl,Charizard Noctowl,1,33.33,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,mamoswine-ex,Mamoswine,1,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
SVI-JTG,"25,26,27,28,29,30,31,32,33",9,ancient-box,Ancient Box,11,20,48,10,29.91,espathra-froslass,Espathra Froslass,1,0.0,,,,overall,2026-05-25T16:57:13.989244+00:00
