meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,gardevoir-ex-sv,Gardevoir,3,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,ceruledge-ex,Ceruledge,2,50.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,dragapult-dusknoir,Dragapult Dusknoir,2,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,ho-oh-armarouge,Ho-Oh Armarouge,2,50.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,gholdengo-lunatone,Gholdengo Lunatone,2,50.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,joltik-box,Joltik Box,2,100.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,charizard-pidgeot,Charizard Pidgeot,2,33.33,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,raging-bolt-ogerpon,Raging Bolt Ogerpon,1,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,iron-hands-magneton,Iron Hands Magneton,1,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,chien-pao-noctowl,Chien-Pao Noctowl,1,100.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,grimmsnarl-froslass,Grimmsnarl Froslass,1,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,greninja-ex,Greninja,1,0.0,overall,2026-05-25T17:00:59.411190+00:00
SVI-MEG,"39,40,41,43,44,45,46",7,aegislash-par,Aegislash,3,8,14,2,36.11,ogerpon-meganium,Ogerpon Meganium,1,100.0,overall,2026-05-25T17:00:59.411190+00:00
