meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,gholdengo-lunatone,Gholdengo Lunatone,582,58.53,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,dragapult-dusknoir,Dragapult Dusknoir,559,26.36,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,charizard-noctowl,Charizard Noctowl,240,32.92,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,gardevoir-ex-sv,Gardevoir,222,27.33,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,gardevoir-jellicent,Gardevoir Jellicent,202,37.62,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,charizard-pidgeot,Charizard Pidgeot,180,42.41,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,grimmsnarl-froslass,Grimmsnarl Froslass,160,31.25,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,mega-absol-box,Mega Absol Box,154,49.13,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,raging-bolt-ogerpon,Raging Bolt Ogerpon,127,72.7,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,n-zoroark,N's Zoroark,106,35.22,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,dragapult-charizard,Dragapult Charizard,96,29.86,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,ceruledge-ex,Ceruledge,81,73.25,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,kangaskhan-bouffalant,Kangaskhan Bouffalant,70,79.05,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,tera-box,Tera Box,57,36.84,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,flareon-noctowl,Flareon Noctowl,51,47.06,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,lopunny-dusknoir,Lopunny Dusknoir,50,52.0,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,alakazam-dudunsparce,Alakazam Dudunsparce,48,46.88,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,joltik-box,Joltik Box,37,91.89,overall,2026-05-25T17:06:22.980749+00:00
SVI-PFL,"47,48,49,50,51,52,53,54,55",9,alakazam-dudunsparce,Alakazam Dudunsparce,457,1424,1576,611,45.08,greninja-ex,Greninja,37,38.74,overall,2026-05-25T17:06:22.980749+00:00
