meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,day_filter,scraped_at
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,dragapult-dusknoir,Dragapult Dusknoir,25,25.33,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,dragapult-ex,Dragapult,24,30.56,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,lopunny-dudunsparce,Lopunny Dudunsparce,17,47.06,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,n-zoroark,N's Zoroark,16,58.33,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,rocket-mewtwo-ex,Rocket's Mewtwo,16,22.92,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,raging-bolt-ogerpon,Raging Bolt Ogerpon,14,85.71,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,basic-box-m,Basic Box,14,54.76,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,dragapult-blaziken,Dragapult Blaziken,13,28.21,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,lucario-hariyama,Lucario Hariyama,12,52.78,overall,2026-05-27T14:44:23.610638+00:00
TEF-CRI,66,1,alakazam-dudunsparce,Alakazam Dudunsparce,32,118,105,35,50.26,mega-lucario-ex,Mega Lucario,12,50.0,overall,2026-05-27T14:44:23.610638+00:00
