meta,tournaments_used,tournament_count,my_deck_slug,my_deck_name,my_deck_player_count,my_deck_total_wins,my_deck_total_losses,my_deck_total_ties,my_deck_overall_win_pct,opponent_deck_slug,opponent_deck_name,vs_count,vs_win_pct,vs_wins,vs_losses,vs_ties,day_filter,scraped_at
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,alakazam-dudunsparce,Alakazam Dudunsparce,1,0.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,cynthia-garchomp-ex,Cynthia's Garchomp,2,66.67,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,dragapult-blaziken,Dragapult Blaziken,1,100.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,dragapult-dusknoir,Dragapult Dusknoir,2,33.33,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,dragapult-ex,Dragapult,3,77.78,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,festival-lead,Festival Lead,1,33.33,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,lopunny-dudunsparce,Lopunny Dudunsparce,2,50.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,ogerpon-box,Ogerpon Box,1,100.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,okidogi-barbaracle,Okidogi Barbaracle,1,0.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,rocket-mewtwo-ex,Rocket's Mewtwo,1,100.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-kangaskhan-ex,Mega Kangaskhan,2,7,4,5,54.17,rockets-honchkrow,Rocket's Honchkrow,1,0.0,,,,overall,2026-05-25T17:15:08.684776+00:00
TEF-POR,"62,63,64,65",4,mega-sharpedo-ex,Mega Sharpedo,1,1,7,0,12.5,clefairy-ogerpon,Clefairy Ogerpon,1,0.0,,,,overall,2026-05-25T17:15:15.412501+00:00
TEF-POR,"62,63,64,65",4,mega-sharpedo-ex,Mega Sharpedo,1,1,7,0,12.5,dragapult-blaziken,Dragapult Blaziken,1,0.0,,,,overall,2026-05-25T17:15:15.412501+00:00
TEF-POR,"62,63,64,65",4,mega-sharpedo-ex,Mega Sharpedo,1,1,7,0,12.5,ethan-typhlosion,Ethan's Typhlosion,1,0.0,,,,overall,2026-05-25T17:15:15.412501+00:00
