rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
1;Dragapult;1076;7.11%;7,11;2696;2302;86;53.03%;53,03
2;Lucario Hariyama;1024;6.77%;6,77;2113;2340;44;46.99%;46,99
3;Alakazam Dudunsparce;911;6.02%;6,02;2067;1952;52;50.77%;50,77
4;Dragapult Blaziken;828;5.47%;5,47;2069;1800;52;52.77%;52,77
5;Dragapult Dusknoir;803;5.31%;5,31;1515;1819;31;45.02%;45,02
6;N's Zoroark;800;5.29%;5,29;1646;1787;47;47.30%;47,3
7;Rocket's Mewtwo;758;5.01%;5,01;1830;1700;47;51.16%;51,16
8;Starmie Froslass;650;4.30%;4,3;1592;1468;19;51.71%;51,71
9;Ogerpon Meganium;647;4.28%;4,28;1798;1377;50;55.75%;55,75
11;Grimmsnarl Froslass;528;3.49%;3,49;1243;1119;19;52.20%;52,2
12;Cynthia's Garchomp;485;3.20%;3,2;1144;1034;19;52.07%;52,07
13;Okidogi Barbaracle;408;2.70%;2,7;1063;840;25;55.13%;55,13
14;Raging Bolt Ogerpon;392;2.59%;2,59;821;856;15;48.52%;48,52
15;Festival Lead;378;2.50%;2,5;927;830;17;52.25%;52,25
16;Rocket's Honchkrow;342;2.26%;2,26;749;745;20;49.47%;49,47
17;Mega Absol Box;284;1.88%;1,88;577;614;17;47.76%;47,76
18;Slowking;251;1.66%;1,66;582;561;9;50.52%;50,52
19;Mega Venusaur;247;1.63%;1,63;510;628;14;44.27%;44,27
20;Greninja;241;1.59%;1,59;539;515;13;50.52%;50,52
21;Crustle;232;1.53%;1,53;586;459;21;54.97%;54,97
22;Steven's Metagross;222;1.47%;1,47;487;524;14;47.51%;47,51
23;Clefairy Ogerpon;220;1.45%;1,45;514;445;12;52.94%;52,94
24;Mega Lucario;191;1.26%;1,26;416;459;5;47.27%;47,27
25;Flareon Noctowl;180;1.19%;1,19;369;397;7;47.74%;47,74
26;Ogerpon Box;179;1.18%;1,18;450;366;10;54.48%;54,48
27;Ceruledge;152;1.00%;1,0;287;342;8;45.05%;45,05
28;Froslass Munkidori;140;0.93%;0,93;277;313;6;46.48%;46,48
29;Mega Starmie;122;0.81%;0,81;268;284;4;48.20%;48,2
30;Tera Box;104;0.69%;0,69;208;224;7;47.38%;47,38
31;Jellicent Dusknoir;98;0.65%;0,65;202;215;2;48.21%;48,21
32;Diancie Dusknoir;97;0.64%;0,64;212;222;1;48.74%;48,74
33;Rocket's Spidops;94;0.62%;0,62;306;224;7;56.98%;56,98
34;Hop's Trevenant;90;0.59%;0,59;171;195;5;46.09%;46,09
35;Decidueye;80;0.53%;0,53;140;181;2;43.34%;43,34
36;Ursaluna Lunatone;70;0.46%;0,46;128;149;5;45.39%;45,39
37;Mega Froslass;68;0.45%;0,45;143;150;0;48.81%;48,81
38;Lopunny Dudunsparce;64;0.42%;0,42;115;125;4;47.13%;47,13
39;Toxtricity Box;51;0.34%;0,34;75;111;2;39.89%;39,89
40;Mega Charizard X;51;0.34%;0,34;62;130;2;31.96%;31,96
41;Archaludon;49;0.32%;0,32;108;95;2;52.68%;52,68
42;Yanmega;48;0.32%;0,32;128;107;2;54.01%;54,01
43;Hydrapple Ogerpon;45;0.30%;0,3;83;90;0;47.98%;47,98
44;Ethan's Typhlosion;43;0.28%;0,28;63;106;1;37.06%;37,06
45;Hop's Zacian;41;0.27%;0,27;75;94;0;44.38%;44,38
46;Zygarde Barbaracle;38;0.25%;0,25;68;91;1;42.50%;42,5
47;Sharpedo Toxtricity;38;0.25%;0,25;51;94;1;34.93%;34,93
48;Mega Abomasnow;35;0.23%;0,23;56;97;0;36.60%;36,6
49;Marnie's Grimmsnarl;34;0.22%;0,22;85;87;2;48.85%;48,85
50;Hydreigon;34;0.22%;0,22;56;74;1;42.75%;42,75
51;Eelektrik;33;0.22%;0,22;42;71;0;37.17%;37,17
52;Mega Dragonite;31;0.20%;0,2;49;69;1;41.18%;41,18
53;Kangaskhan Bouffalant;29;0.19%;0,19;58;62;4;46.77%;46,77
54;Archaludon Zoroark;24;0.16%;0,16;84;53;5;59.15%;59,15
55;Iron Thorns Crustle;24;0.16%;0,16;34;50;2;39.53%;39,53
56;Mega Zygarde ex;22;0.15%;0,15;41;52;0;44.09%;44,09
57;Okidogi;21;0.14%;0,14;42;51;1;44.68%;44,68
58;Dragapult Froslass;19;0.13%;0,13;39;37;1;50.65%;50,65
59;Joltik Box;19;0.13%;0,13;28;38;0;42.42%;42,42
60;Dudunsparce Control;19;0.13%;0,13;18;32;7;31.58%;31,58
61;Palafin;18;0.12%;0,12;32;49;1;39.02%;39,02
62;Alolan Exeggutor ex;16;0.11%;0,11;31;41;0;43.06%;43,06
