deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Dragapult;BESTEHEND;STABIL;1;1;0;2268;2286;18;7,12;7,11;-0,01;52,24;52,29;0,05
Dragapult Dusknoir;BESTEHEND;STABIL;2;2;0;1797;1820;23;5,64;5,66;0,02;46,07;46,03;-0,04
Lucario Hariyama;BESTEHEND;STABIL;3;3;0;1730;1741;11;5,43;5,42;-0,01;47,16;47,21;0,05
Dragapult Blaziken;BESTEHEND;STABIL;4;4;0;1694;1708;14;5,31;5,31;0,0;52,57;52,61;0,04
Alakazam Dudunsparce;BESTEHEND;STABIL;5;5;0;1630;1641;11;5,11;5,1;-0,01;51,58;51,62;0,04
N's Zoroark;BESTEHEND;STABIL;6;6;0;1605;1620;15;5,04;5,04;0,0;46,52;46,57;0,05
Rocket's Mewtwo;BESTEHEND;STABIL;7;7;0;1477;1489;12;4,63;4,63;0,0;49,85;49,86;0,01
Starmie Froslass;BESTEHEND;STABIL;8;8;0;1233;1243;10;3,87;3,87;0,0;51,86;51,83;-0,03
Ogerpon Meganium;BESTEHEND;STABIL;9;9;0;1158;1164;6;3,63;3,62;-0,01;53,68;53,65;-0,03
Festival Lead;BESTEHEND;STABIL;10;10;0;1139;1144;5;3,57;3,56;-0,01;52,17;52,12;-0,05
Cynthia's Garchomp;BESTEHEND;STABIL;11;11;0;1096;1104;8;3,44;3,43;-0,01;51,5;51,49;-0,01
Raging Bolt Ogerpon;BESTEHEND;STABIL;12;12;0;989;1005;16;3,1;3,13;0,03;51,16;51,18;0,02
Grimmsnarl Froslass;BESTEHEND;STABIL;13;13;0;935;941;6;2,93;2,93;0,0;51,63;51,69;0,06
Okidogi Barbaracle;BESTEHEND;STABIL;14;14;0;729;733;4;2,29;2,28;-0,01;54,53;54,54;0,01
Rocket's Honchkrow;BESTEHEND;STABIL;15;15;0;712;723;11;2,23;2,25;0,02;51,67;51,66;-0,01
Crustle;BESTEHEND;STABIL;16;16;0;658;661;3;2,06;2,06;0,0;51,06;51,0;-0,06
Dragapult Dudunsparce;BESTEHEND;STABIL;17;17;0;601;607;6;1,89;1,89;0,0;50,48;50,69;0,21
Lopunny Dudunsparce;BESTEHEND;STABIL;18;18;0;535;546;11;1,68;1,7;0,02;51,53;51,48;-0,05
Slowking;BESTEHEND;STABIL;19;19;0;523;532;9;1,64;1,66;0,02;48,48;48,33;-0,15
Greninja;BESTEHEND;STABIL;20;20;0;464;469;5;1,46;1,46;0,0;48,5;48,44;-0,06
Mega Venusaur;BESTEHEND;STABIL;21;21;0;406;407;1;1,27;1,27;0,0;44,1;44,09;-0,01
Steven's Metagross;BESTEHEND;STABIL;22;22;0;401;405;4;1,26;1,26;0,0;47,35;47,16;-0,19
Mega Absol Box;BESTEHEND;STABIL;23;23;0;381;381;0;1,2;1,19;-0,01;47,02;47,02;0,0
Hydrapple Ogerpon;BESTEHEND;AUFSTEIGEND;25;24;1;353;368;15;1,11;1,14;0,03;53,36;53,17;-0,19
Clefairy Ogerpon;BESTEHEND;ABSTEIGEND;24;25;-1;363;363;0;1,14;1,13;-0,01;50,32;50,32;0,0
Starmie Dusknoir;BESTEHEND;STABIL;26;26;0;353;355;2;1,11;1,1;-0,01;50,19;50,15;-0,04
Ogerpon Box;BESTEHEND;STABIL;27;27;0;348;352;4;1,09;1,1;0,01;54,21;54,29;0,08
Mega Lucario;BESTEHEND;STABIL;28;28;0;336;336;0;1,05;1,05;0,0;47,2;47,2;0,0
Flareon Noctowl;BESTEHEND;STABIL;29;29;0;303;305;2;0,95;0,95;0,0;46,9;46,8;-0,1
Ceruledge;BESTEHEND;STABIL;30;30;0;271;275;4;0,85;0,86;0,01;43,76;43,73;-0,03
Hop's Trevenant;BESTEHEND;STABIL;31;31;0;268;268;0;0,84;0,83;-0,01;48,71;48,71;0,0
Diancie Dusknoir;BESTEHEND;STABIL;32;32;0;252;252;0;0,79;0,78;-0,01;45,27;45,27;0,0
Ursaluna Lunatone;BESTEHEND;STABIL;33;33;0;214;216;2;0,67;0,67;0,0;45,21;45,08;-0,13
Froslass Munkidori;BESTEHEND;STABIL;34;34;0;204;205;1;0,64;0,64;0,0;46,97;47,09;0,12
Ethan's Typhlosion;BESTEHEND;STABIL;35;35;0;189;189;0;0,59;0,59;0,0;40,39;40,39;0,0
Rocket's Spidops;BESTEHEND;AUFSTEIGEND;37;36;1;170;171;1;0,53;0,53;0,0;54,38;54,29;-0,09
Tera Box;BESTEHEND;ABSTEIGEND;36;37;-1;171;171;0;0,54;0,53;-0,01;46,95;46,95;0,0
Mega Froslass;BESTEHEND;STABIL;38;38;0;146;146;0;0,46;0,45;-0,01;49,34;49,34;0,0
Decidueye;BESTEHEND;STABIL;39;39;0;142;143;1;0,45;0,44;-0,01;42,93;43,27;0,34
Mega Starmie;BESTEHEND;STABIL;40;40;0;135;137;2;0,42;0,43;0,01;44,27;44,44;0,17
Jellicent Dusknoir;BESTEHEND;STABIL;41;41;0;130;130;0;0,41;0,4;-0,01;44,93;44,93;0,0
Yanmega;BESTEHEND;STABIL;42;42;0;112;113;1;0,35;0,35;0,0;54,44;54,48;0,04
Archaludon;BESTEHEND;STABIL;43;43;0;104;104;0;0,33;0,32;-0,01;51,4;51,4;0,0
Mega Charizard X;BESTEHEND;STABIL;44;44;0;102;103;1;0,32;0,32;0,0;28,61;28,31;-0,3
Kangaskhan Bouffalant;BESTEHEND;AUFSTEIGEND;46;45;1;93;95;2;0,29;0,3;0,01;51,29;51,04;-0,25
Toxtricity Box;BESTEHEND;ABSTEIGEND;45;46;-1;95;96;1;0,3;0,3;0,0;43,78;44,03;0,25
