deck_name;opponent;win_rate;record;total_games
Dragapult;Mega Venusaur;65,66;65 - 34 - 1;100
Dragapult;Greninja;64,63;53 - 29 - 3;85
Dragapult;Dragapult Dusknoir;62,32;177 - 107 - 6;290
Dragapult;Rocket's Honchkrow;61,49;99 - 62 - 3;164
Dragapult;Festival Lead;58,92;109 - 76 - 0;185
Dragapult;Ogerpon Meganium;57,72;172 - 126 - 6;304
Dragapult;Lucario Hariyama;56,38;212 - 164 - 4;380
Dragapult;Starmie Froslass;55,69;142 - 113 - 2;257
Dragapult;Okidogi Barbaracle;55,68;103 - 82 - 4;189
Dragapult;Dragapult Blaziken;55,62;203 - 162 - 9;374
Dragapult;Slowking;54,17;52 - 44 - 2;98
Dragapult;Alakazam Dudunsparce;53,68;175 - 151 - 4;330
Dragapult;Raging Bolt Ogerpon;52,35;89 - 81 - 3;173
Dragapult;Grimmsnarl Froslass;51,6;97 - 91 - 5;193
Dragapult;Mega Absol Box;50,89;57 - 55 - 1;113
Dragapult;Dragapult;50,0;261 - 261 - 14;536
Dragapult;N's Zoroark;49,46;138 - 141 - 5;284
Dragapult;Rocket's Mewtwo;44,8;155 - 191 - 6;352
Dragapult;Cynthia's Garchomp;38,95;74 - 116 - 7;197
Dragapult;Crustle;27,12;32 - 86 - 3;121
Lucario Hariyama;Crustle;64,71;55 - 30 - 3;88
Lucario Hariyama;N's Zoroark;61,69;161 - 100 - 3;264
Lucario Hariyama;Mega Venusaur;56,67;51 - 39 - 1;91
Lucario Hariyama;Dragapult Dusknoir;56,55;151 - 116 - 3;270
Lucario Hariyama;Mega Absol Box;54,17;39 - 33 - 1;73
Lucario Hariyama;Grimmsnarl Froslass;51,78;102 - 95 - 1;198
Lucario Hariyama;Lucario Hariyama;50,0;188 - 188 - 6;382
Lucario Hariyama;Starmie Froslass;48,68;111 - 117 - 2;230
Lucario Hariyama;Ogerpon Meganium;45,6;88 - 105 - 5;198
Lucario Hariyama;Raging Bolt Ogerpon;44,97;67 - 82 - 0;149
Lucario Hariyama;Dragapult;43,62;164 - 212 - 4;380
Lucario Hariyama;Okidogi Barbaracle;43,55;54 - 70 - 2;126
Lucario Hariyama;Rocket's Honchkrow;42,67;64 - 86 - 1;151
Lucario Hariyama;Dragapult Blaziken;42,65;119 - 160 - 4;283
Lucario Hariyama;Cynthia's Garchomp;42,5;68 - 92 - 0;160
Lucario Hariyama;Alakazam Dudunsparce;41,79;145 - 202 - 4;351
Lucario Hariyama;Rocket's Mewtwo;36,76;100 - 172 - 5;277
Lucario Hariyama;Greninja;36,76;25 - 43 - 1;69
Lucario Hariyama;Festival Lead;35,51;49 - 89 - 1;139
Lucario Hariyama;Slowking;29,47;28 - 67 - 0;95
Alakazam Dudunsparce;Slowking;67,12;49 - 24 - 0;73
Alakazam Dudunsparce;Raging Bolt Ogerpon;66,67;78 - 39 - 2;119
Alakazam Dudunsparce;Mega Venusaur;66,67;48 - 24 - 1;73
Alakazam Dudunsparce;Mega Absol Box;61,04;47 - 30 - 0;77
Alakazam Dudunsparce;Lucario Hariyama;58,21;202 - 145 - 4;351
Alakazam Dudunsparce;Starmie Froslass;58,11;129 - 93 - 2;224
Alakazam Dudunsparce;Greninja;57,97;40 - 29 - 0;69
Alakazam Dudunsparce;N's Zoroark;54,24;128 - 108 - 5;241
Alakazam Dudunsparce;Okidogi Barbaracle;52,67;79 - 71 - 3;153
Alakazam Dudunsparce;Alakazam Dudunsparce;50,0;154 - 154 - 2;310
Alakazam Dudunsparce;Cynthia's Garchomp;50,0;70 - 70 - 1;141
Alakazam Dudunsparce;Crustle;50,0;34 - 34 - 3;71
Alakazam Dudunsparce;Ogerpon Meganium;49,58;119 - 121 - 3;243
Alakazam Dudunsparce;Grimmsnarl Froslass;49,35;76 - 78 - 0;154
Alakazam Dudunsparce;Dragapult Dusknoir;48,34;102 - 109 - 4;215
Alakazam Dudunsparce;Dragapult;46,32;151 - 175 - 4;330
Alakazam Dudunsparce;Dragapult Blaziken;44,98;121 - 148 - 2;271
Alakazam Dudunsparce;Festival Lead;41,22;61 - 87 - 5;153
Alakazam Dudunsparce;Rocket's Honchkrow;32,14;36 - 76 - 7;119
Alakazam Dudunsparce;Rocket's Mewtwo;18,97;48 - 205 - 5;258
