# Fenster 2026-09-18 bis 2026-09-22 (4 Tage) · 3127 Decks im Fenster · 52511 kumulativ seit Formatbeginn. count_fenster ist die Differenz zweier gemessener Kumulativstaende, keine Schaetzung. Erzeugt von scripts/build_online_fenster.py
deck_name;rank_fenster;count_fenster;share_fenster;count_kumulativ;share_kumulativ;rang_kumulativ;rang_versatz;share_vorfenster;trend_fenster
Dragapult;1;343;10,97;4654;8,86;1;0;;
Slowking;2;207;6,62;2993;5,7;5;3;;
Dragapult Dusknoir;3;197;6,3;3113;5,93;4;1;;
Alakazam Dudunsparce;4;195;6,24;3300;6,28;3;-1;;
N's Zoroark;5;193;6,17;2981;5,68;6;1;;
Mega Excadrill;6;155;4,96;3588;6,83;2;-4;;
Dhelmise;7;130;4,16;2176;4,14;9;2;;
Basic Box;8;128;4,09;1201;2,29;11;3;;
Crustle;9;120;3,84;804;1,53;16;7;;
Lopunny Dudunsparce;10;96;3,07;560;1,07;21;11;;
Dragapult Blaziken;11;85;2,72;2766;5,27;7;-4;;
Ogerpon Meganium Hydrapple;12;79;2,53;787;1,5;17;5;;
Sharpedo Toxtricity;13;72;2,3;354;0,67;32;19;;
Festival Lead;14;71;2,27;2739;5,22;8;-6;;
Mega Greninja;15;60;1,92;758;1,44;19;4;;
Cynthia's Garchomp;16;58;1,85;727;1,38;20;4;;
Lucario Hariyama;17;58;1,85;1055;2,01;14;-3;;
Mega Lucario;18;58;1,85;1106;2,11;12;-6;;
Rocket's Honchkrow;19;55;1,76;779;1,48;18;-1;;
Alakazam Dusknoir;20;54;1,73;339;0,65;35;15;;
Grimmsnarl Froslass;21;53;1,69;1956;3,72;10;-11;;
Greninja;22;38;1,22;428;0,82;26;4;;
Rocket's Mewtwo;23;33;1,06;537;1,02;24;1;;
Lopunny Dusknoir;24;28;0,9;421;0,8;27;3;;
Toxtricity Box;25;28;0,9;384;0,73;31;6;;
Gengar;26;25;0,8;52;0,1;75;49;;
Starmie Froslass;27;25;0,8;389;0,74;30;3;;
Beedrill;28;24;0,77;544;1,04;23;-5;;
Hop's Trevenant;29;24;0,77;391;0,74;29;0;;
Steven's Metagross;30;24;0,77;218;0,42;43;13;;
Raging Bolt Ogerpon;31;23;0,74;1033;1,97;15;-16;;
