deck_name;rank;count;share;winrate
Dragapult;1;628;9,99;53,01
N's Zoroark;2;394;6,26;48,59
Slowking;3;391;6,22;51,51
Alakazam Dudunsparce;4;385;6,12;49,49
Dragapult Dusknoir;5;376;5,98;51,31
Basic Box;6;287;4,56;53,07
Mega Excadrill;7;284;4,52;51,26
Dhelmise;8;240;3,82;49,6
Crustle;9;199;3,16;51,45
Lopunny Dudunsparce;10;186;2,96;53,37
Dragapult Blaziken;11;164;2,61;51,78
Festival Lead;12;144;2,29;51,63
Lucario Hariyama;13;138;2,19;46,85
Sharpedo Toxtricity;14;137;2,18;48,87
Ogerpon Meganium Hydrapple;15;127;2,02;52,37
Rocket's Honchkrow;16;108;1,72;50,76
Mega Greninja;17;100;1,59;41,96
Mega Lucario;18;99;1,57;46,95
Cynthia's Garchomp;19;98;1,56;51,5
Grimmsnarl Froslass;20;94;1,49;50,74
Alakazam Dusknoir;21;83;1,32;48,41
Rocket's Mewtwo;22;71;1,13;50,76
Greninja;23;63;1,0;50,39
Lopunny Dusknoir;24;55;0,87;48,9
Steven's Metagross;25;52;0,83;42,58
Beedrill;26;51;0,81;57,63
Raging Bolt Ogerpon;27;51;0,81;51,23
Ogerpon Meganium Arboliva;28;48;0,76;60,31
Gengar;29;43;0,68;37,59
Hop's Trevenant;30;42;0,67;42,78
Toxtricity Box;31;41;0,65;52,69
Starmie Froslass;32;39;0,62;51,59
Seaking Festival Lead;33;34;0,54;48,48
Ethan's Typhlosion;34;34;0,54;43,44
Dragapult Dudunsparce;35;33;0,52;51,88
Mega Starmie;36;33;0,52;46,83
Mega Chandelure;37;33;0,52;42,62
Toucannon;38;28;0,45;42,62
Manectric Eelektrik;39;28;0,45;30,11
Ogerpon Meganium;40;27;0,43;39,29
Clefairy Ogerpon;41;26;0,41;45,19
Mega Venusaur;42;26;0,41;48,04
Mega Darkrai;43;26;0,41;32,2
Starmie Dusknoir;44;25;0,4;47,41
Kangaskhan Bouffalant;45;20;0,32;38,46
Lillie's Clefairy;46;19;0,3;43,55
Mega Absol Box;47;18;0,29;38,33
Doublade;48;17;0,27;30,0
Cinccino;49;16;0,25;45,88
Marnie's Grimmsnarl;50;16;0,25;46,88
Froslass Munkidori;51;16;0,25;28,57
Toxtricity;52;14;0,22;40,32
Eelektrik;53;14;0,22;31,82
Mega Camerupt;54;13;0,21;50,85
Ceruledge;55;12;0,19;47,17
Hydreigon;56;11;0,17;46,15
Mega Charizard X;57;10;0,16;28,89
Iono's Bellibolt;58;10;0,16;30,77
Dragapult Froslass;59;10;0,16;36,36
Yanmega;60;10;0,16;41,67
Hop's Zacian;61;9;0,14;44,74
Mega Gengar;62;9;0,14;40,63
Palafin;63;7;0,11;51,28
Metagross;64;7;0,11;40,63
Archaludon Dudunsparce;65;7;0,11;38,71
Mega Froslass;66;7;0,11;41,67
Blaziken Zoroark;67;6;0,1;59,46
Mega Diancie;68;6;0,1;26,09
Mega Zygarde;69;6;0,1;38,1
Mega Dragonite;70;5;0,08;52,63
Tera Box;71;5;0,08;55,56
Azumarill;72;5;0,08;41,18
Raging Bolt Bellibolt;73;5;0,08;21,43
Flareon Noctowl;74;5;0,08;25,0
Mega Abomasnow;75;4;0,06;45,45
Zygarde Barbaracle;76;4;0,06;42,86
Decidueye;77;4;0,06;55,0
Paldean Tauros;78;4;0,06;45,0
Okidogi Barbaracle;79;4;0,06;63,64
Ursaluna Lunatone;80;4;0,06;30,0
Alakazam;81;3;0,05;55,56
Diancie Dusknoir;82;3;0,05;11,11
Mega Feraligatr;83;2;0,03;42,86
Heatran Metang;84;2;0,03;35,71
Archaludon;85;2;0,03;38,46
Joltik Box;86;2;0,03;58,33
Rocket's Spidops;87;2;0,03;66,67
Erika's Victreebel;88;2;0,03;12,5
Mega Lopunny;89;2;0,03;14,29
Mamoswine;90;2;0,03;33,33
Wailord;91;2;0,03;40,0
Mega Sharpedo;92;2;0,03;0,0
Flareon;93;2;0,03;0,0
Froslass Dudunsparce;94;2;0,03;0,0
Archaludon Zoroark;95;2;0,03;33,33
Bloodmoon Ursaluna;96;1;0,02;37,5
Slaking;97;1;0,02;42,86
Misty's Gyarados;98;1;0,02;42,86
Blaziken;99;1;0,02;50,0
Toxtricity Brute Bonnet;100;1;0,02;16,67
Sinistcha Ogerpon;101;1;0,02;50,0
Terapagos Noctowl;102;1;0,02;25,0
Greninja Froslass;103;1;0,02;66,67
Blissey;104;1;0,02;33,33
Ethan's Magcargo;105;1;0,02;0,0
Rocket's Nidoking;106;1;0,02;0,0
Alolan Exeggutor ex;107;1;0,02;0,0
Iron Thorns;108;1;0,02;0,0
Dudunsparce Control;109;1;0,02;0,0
