tournament_id,tournament_date,format,player_count,winner_archetype,winner_winrate
6a2a2ad82d97f3b0c2613980,2026-07-01,CRI,109,Dragapult Dusknoir,25.0
6a42564583fd320299bd3d12,2026-07-01,CRI,114,Slowking,27.0
6a427cb383fd320299bd3ed1,2026-06-30,CRI,116,Slowking,18.0
6a7a97fa2b308b6067b50d7f,2026-08-13,PBL,127,Dhelmise Banette,27.0
6a7a21622b308b6067b5051d,2026-08-13,PBL,169,Dragapult,30.0
6a76139d2b308b6067b4cb68,2026-08-13,PBL,265,Clefairy Ogerpon,36.0
6a7aa8e92b308b6067b50e60,2026-08-13,PBL,150,Dragapult Dusknoir,28.0
6a7c79d22b308b6067b52012,2026-08-13,PBL,105,Slowking,15.0
6a74bc282b308b6067b4bc97,2026-08-12,PBL,128,Raging Bolt Ogerpon,21.0
6a7a21672b308b6067b5051e,2026-08-12,PBL,115,Slowking,28.0
6a73b30fcdc0391d7fa5dbed,2026-08-12,PBL,162,Dhelmise Banette,30.0
6a79a7f42b308b6067b4feed,2026-08-12,PBL,152,Dragapult,31.0
6a755afbcdc0391d7fa5f0e9,2026-08-12,PBL,112,Festival Lead,21.0
6a78d6b82b308b6067b4f569,2026-08-11,PBL,206,Raging Bolt Ogerpon,21.0
6a759dfb2b308b6067b4c640,2026-08-11,PBL,156,Clefairy Ogerpon,24.0
6a7a19cf2b308b6067b5047b,2026-08-11,PBL,107,Toxtricity Box,30.0
6a78b14acdc0391d7fa61cc9,2026-08-11,PBL,174,Arboliva Ogerpon,33.0
6a5a513152c24ac2da6446d5,2026-08-11,PBL,128,Grimmsnarl Froslass,21.0
6a70e60ecdc0391d7fa5b8b7,2026-08-10,PBL,234,Dragapult,21.0
6a791a40cdc0391d7fa6237a,2026-08-10,PBL,237,Dhelmise Banette,24.0
6a7601bdcdc0391d7fa5f5bf,2026-08-10,PBL,170,Slowking,31.0
6a75224bcdc0391d7fa5edef,2026-08-10,PBL,497,Dragapult Blaziken,34.0
6a771169cdc0391d7fa606e0,2026-08-09,PBL,210,Raging Bolt Ogerpon,24.0
6a75d5eacdc0391d7fa5f3a7,2026-08-09,PBL,132,Dragapult,28.0
6a6f70aecdc0391d7fa5a4e5,2026-08-08,PBL,189,Grimmsnarl Froslass,33.0
6a75d5d22b308b6067b4c83c,2026-08-08,PBL,115,Mega Excadrill,30.0
worlds-of-doom-lcq,2026-08-08,PBL,657,Mega Lucario,34.0
6a6f99d42b308b6067b48068,2026-08-07,PBL,113,Dragapult Dusknoir,27.0
6a74a4f02b308b6067b4bb3b,2026-08-06,PBL,103,Dragapult,25.0
6a7113f32b308b6067b493e3,2026-08-06,PBL,123,Raging Bolt Ogerpon,27.0
6a6ce63dcdc0391d7fa5784b,2026-08-06,PBL,244,N's Zoroark,34.0
6a6ef66ecdc0391d7fa59e54,2026-08-06,PBL,144,Arboliva Ogerpon,28.0
6a6b8596937230b102d492c6,2026-08-06,PBL,115,N's Zoroark,19.0
6a6ffa5d2b308b6067b48537,2026-08-05,PBL,103,Mega Excadrill,24.0
6a7113d8cdc0391d7fa5bc82,2026-08-05,PBL,102,Dragapult,25.0
6a6ef65a2b308b6067b477cc,2026-08-05,PBL,132,Dhelmise Banette,30.0
6a7134422b308b6067b4960d,2026-08-04,PBL,178,Mega Excadrill,21.0
6a711369cdc0391d7fa5bc4f,2026-08-04,PBL,148,Festival Lead,28.0
6a6f99d52b308b6067b48069,2026-08-04,PBL,118,Dragapult Dusknoir,28.0
6a6ef634cdc0391d7fa59e53,2026-08-04,PBL,154,Dragapult,28.0
6a7103e1cdc0391d7fa5bb21,2026-08-04,PBL,103,Dragapult Dudunsparce,18.0
6a640d6f937230b102d439ac,2026-08-03,PBL,194,Dragapult Dusknoir,24.0
6a6f9fd8cdc0391d7fa5a78e,2026-08-03,PBL,127,Alakazam Dudunsparce,21.0
6a6b5b9052c24ac2da64fd67,2026-08-03,PBL,261,Dragapult,36.0
6a6c306552c24ac2da650b06,2026-08-03,PBL,158,Cinccino,27.0
6a67c6de937230b102d46e9f,2026-08-02,PBL,173,Slowking,37.0
6a6e598f2b308b6067b47028,2026-08-02,PBL,166,Alakazam Dudunsparce,21.0
6a6d9123cdc0391d7fa586cd,2026-08-02,PBL,119,Dragapult,27.0
6a658393937230b102d45378,2026-08-02,PBL,105,Dragapult Blaziken,18.0
6a50f90665724db9ded42072,2026-08-01,PBL,228,Alakazam Dudunsparce,24.0
6a6a0698937230b102d482c0,2026-08-01,PBL,115,Dragapult,27.0
ban-pult,2026-08-01,PBL,514,Festival Lead,37.0
6a699fa6937230b102d4811f,2026-07-31,PBL,100,Mega Excadrill,25.0
6a5e305b52c24ac2da64732d,2026-07-31,PBL,102,Marnie's Grimmsnarl,21.0
6a68191b52c24ac2da64e30d,2026-07-30,PBL,197,Dragapult,28.0
6a5e302452c24ac2da647321,2026-07-30,PBL,105,Mega Excadrill,27.0
