set,number,our_product_id,ppl_product_id,verdict,extracted_via,url,checked_at
AOR,11,284192,284192,agree,idProduct-param,https://pokepricelab.com/de/catalog/ancient-origins-vespiquen-11,2026-08-12
AOR,14,284195,284195,agree,idProduct-param,https://pokepricelab.com/de/catalog/ancient-origins-entei-14,2026-08-12
AOR,15,284196,284196,agree,idProduct-param,https://pokepricelab.com/de/catalog/ancient-origins-entei-15,2026-08-12
AOR,9,284190,284190,agree,idProduct-param,https://pokepricelab.com/de/catalog/ancient-origins-combee-9,2026-08-12
ASR,107,658768,658768,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-magnezone-107,2026-08-12
ASR,125,658786,658786,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-stantler-125,2026-08-12
ASR,147,658808,700342,disagree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-irida-147,2026-08-12
ASR,188,658849,658849,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-roxanne-188,2026-08-12
ASR,199,658860,658860,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-adaman-199,2026-08-12
ASR,204,658865,658865,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-irida-204,2026-08-12
ASR,206,658867,658867,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-roxanne-206,2026-08-12
ASR,45,658584,658584,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-keldeo-045,2026-08-12
ASR,69,658651,658651,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-wyrdeer-069,2026-08-12
ASR,88,658709,658709,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-hisuian-qwilfish-088,2026-08-12
ASR,89,658710,658710,agree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-hisuian-qwilfish-089,2026-08-12
ASR,90,658718,658714,disagree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-hisuian-overqwil-090,2026-08-12
ASR,91,658714,658718,disagree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-hisuian-overqwil-091,2026-08-12
ASR,97,658743,700338,disagree,idProduct-param,https://pokepricelab.com/de/catalog/astral-radiance-absol-097,2026-08-12
BCR,33,280619,280620,disagree,idProduct-param,https://pokepricelab.com/de/catalog/boundaries-crossed-psyduck-33,2026-08-12
BCR,64,280651,280651,agree,idProduct-param,https://pokepricelab.com/de/catalog/boundaries-crossed-croagunk-64,2026-08-12
BCR,65,280652,280652,agree,idProduct-param,https://pokepricelab.com/de/catalog/boundaries-crossed-croagunk-65,2026-08-12
BCR,95,280683,280682,disagree,idProduct-param,https://pokepricelab.com/de/catalog/boundaries-crossed-skarmory-95,2026-08-12
BCR,96,280682,280683,disagree,idProduct-param,https://pokepricelab.com/de/catalog/boundaries-crossed-skarmory-96,2026-08-12
BG,1,283081,275411,disagree,idProduct-param,https://pokepricelab.com/de/catalog/best-of-game-cards-promos-electabuzz-1,2026-08-12
BG,4,275414,275414,agree,idProduct-param,https://pokepricelab.com/de/catalog/best-of-game-cards-promos-rocket-s-scizor-4,2026-08-12
BKP,56,368704,288231,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakpoint-trubbish-56,2026-08-12
BKP,57,368705,288232,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakpoint-garbodor-57,2026-08-12
BKP,99,288274,288274,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakpoint-fighting-fury-belt-99,2026-08-12
BKT,108,286355,286354,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-axew-108,2026-08-12
BKT,109,286354,286355,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-axew-109,2026-08-12
BKT,115,286362,286361,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-doduo-115,2026-08-12
BKT,116,286361,286362,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-doduo-116,2026-08-12
BKT,131,286377,286377,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-noibat-131,2026-08-12
BKT,132,286378,286378,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-noibat-132,2026-08-12
BKT,143,286389,286389,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-judge-143,2026-08-12
BKT,149,295270,286395,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-super-rod-149,2026-08-12
BKT,31,286278,286277,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-remoraid-31,2026-08-12
BKT,32,286277,286278,disagree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-remoraid-32,2026-08-12
BKT,7,286253,286253,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-chespin-7,2026-08-12
BKT,8,286254,286254,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-chespin-8,2026-08-12
BKT,89,286335,286335,agree,idProduct-param,https://pokepricelab.com/de/catalog/breakthrough-zorua-89,2026-08-12
