klasse,set,number,name,eur_price,our_product_id,our_product_name,ppl_product_id,ppl_product_name,card_text,url
bad-index,SSH,209,Professor's Research,"22,54€",448168,Professor's Research - Professor Magnolia,568803,Altaria [Tempting Tune | Glide],,https://pokepricelab.com/de/catalog/sword-shield-promos-altaria-s-p-209-sword-shield-promos-209
bad-index,SUM,158,Nest Ball,"11,60€",295471,Nest Ball,469309,Luxio [Disconnect],,https://pokepricelab.com/de/catalog/sun-moon-promos-luxio-sm-p-158-sun-moon-promos-158
bad-index,SVI,217,Klawf,"4,24€",702513,Klawf [Vise Grip | Adrenaline Hammer],780801,Pawmi [Light Punch | Zap Kick],Vise Grip Adrenaline Hammer,https://pokepricelab.com/de/catalog/scarlet-violet-promos-pawmi-sv-p-217-scarlet-violet-promos-217
bad-index,SSH,15,Rillaboom,"3,52€",701500,Rillaboom [Voltage Beat | Hammer In],609682,Choice Belt,Drum Roll Drum Beating,https://pokepricelab.com/de/catalog/sword-shield-starter-set-lucario-vstar-choice-belt-015
bad-index,SSH,36,Cinderace,"2,07€",436334,Cinderace [Flame Cloak | Bright Flame],463094,Rescue Team DX's Pikachu [Rescue Friends | Electro Ball],Flame Cloak Bright Flame,https://pokepricelab.com/de/catalog/sword-shield-promos-rescue-team-dx-s-pikachu-s-p-36-sword-shield-promos-36
bad-index,SVI,234,Oinkologne ex,"1,38€",702530,Oinkologne ex [Maddening Scent | Heavy Stomp],807436,Drifloon [Pull],Maddening Scent Heavy Stomp,https://pokepricelab.com/de/catalog/scarlet-violet-promos-drifloon-sv-p-234-scarlet-violet-promos-234
bad-index,SSH,59,Inteleon,"1,30€",450623,Inteleon [Shady Dealings | Aqua Bullet],852626,Koffing [Suffocating Gas],Silent Shot Hydro Snipe,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-koffing-s-p-cs-059-sword-shield-simplified-chinese-promos-059
bad-index,BS,52,Machop,"0,72€",273747,Machop [Low Kick],273975,Marowak [Bonemerang | Call for Friend],Low Kick,https://pokepricelab.com/de/catalog/base-set-2-marowak-52
bad-index,SSH,35,Cinderace,"0,67€",450573,Cinderace [Libero | Flare Striker],463089,Morpeko [Famished | Thunder Shock],Pyro Ball Burning Kick,https://pokepricelab.com/de/catalog/sword-shield-promos-morpeko-s-p-35-sword-shield-promos-35
bad-index,SUM,136,Double Colorless Energy,"0,64€",312212,Double Colorless Energy,469189,Fairy Energy,,https://pokepricelab.com/de/catalog/sun-moon-promos-fairy-energy-sm-p-136-sun-moon-promos-136
bad-index,SSH,34,Cinderace,"0,48€",427226,Cinderace [Libero | Flare Striker],463084,Scorbunny [Super Singe],Libero Flare Striker,https://pokepricelab.com/de/catalog/sword-shield-promos-scorbunny-s-p-34-sword-shield-promos-34
bad-index,SSH,76,Boltund,"0,48€",436504,Boltund [Big Bite | Fighting Fangs],525110,Greedent V [Crunch | Stumbling Press],Bite Electrodash,https://pokepricelab.com/de/catalog/sword-shield-promos-greedent-v-s-p-76-sword-shield-promos-76
bad-index,SUM,113,Oranguru,"0,46€",295425,Oranguru [Instruct | Psychic],468959,Incineroar [Fire Fang | Darkest Lariat],Instruct Psychic,https://pokepricelab.com/de/catalog/sun-moon-promos-incineroar-sm-p-113-sun-moon-promos-113
bad-index,SSH,14,Rillaboom,"0,39€",427196,Rillaboom [Voltage Beat | Hammer In],609703,Pokégear 3.0,Voltage Beat Hammer In,https://pokepricelab.com/de/catalog/sword-shield-starter-set-darkrai-vstar-pokegear-3-0-014
bad-index,SSH,110,Sandaconda,"0,36€",436669,Sandaconda [Sand Sac | Power Press],852867,Pikachu V-UNION [Shocking Shock],Sand Sac Power Press,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-pikachu-v-union-s-p-cs-110-sword-shield-simplified-chinese-promos-110
bad-index,SSH,58,Inteleon,"0,35€",436429,Inteleon [Silent Shot | Hydro Snipe],852625,Trapinch [Land's Pulse],Shady Dealings Aqua Bullet,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-trapinch-s-p-cs-058-sword-shield-simplified-chinese-promos-058
bad-index,SSH,75,Boltund,"0,23€",436509,Boltund [Bite | Electrodash],525105,Eevee [Signs of Evolution | Wild Kick],Big Bite Fighting Fangs,https://pokepricelab.com/de/catalog/sword-shield-promos-eevee-s-p-75-sword-shield-promos-75
bad-index,SSH,3,Roselia,"0,16€",436189,Roselia [Absorb],609670,Medicham [Battle Step],Sweet Scent Sting,https://pokepricelab.com/de/catalog/sword-shield-starter-set-lucario-vstar-medicham-003
bad-index,FLI,15,Fennekin,"0,15€",355535,Fennekin [Live Coal | Rear Kick],559560,Litleo [Headbutt],Live Coal Rear Kick,https://pokepricelab.com/de/catalog/forbidden-light-jp-litleo-015
bad-index,SSH,146,Minccino,"0,15€",436819,Minccino [Glance | Tail Slap],852904,Manaphy [Pulling Currents | Aqua Bullet],Tail Whap,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-manaphy-s-p-cs-146-sword-shield-simplified-chinese-promos-146
bad-index,SSH,68,Chinchou,"0,15€",436469,Chinchou [Gentle Slap],525070,Morpeko [Famished | Thunder Shock],Luring Glow Lightning Ball,https://pokepricelab.com/de/catalog/sword-shield-promos-morpeko-s-p-68-sword-shield-promos-68
bad-index,FLI,14,Fennekin,"0,14€",355534,Fennekin [Ember],559559,Delphox [Mystical Torch | Fire Spin],Ember,https://pokepricelab.com/de/catalog/forbidden-light-jp-delphox-014
bad-index,SSH,43,Krabby,"0,14€",436369,Krabby [Super Slice],852204,Chinchou [Luring Glow | Lightning Ball],Super Slice,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-chinchou-s-p-cs-043-sword-shield-simplified-chinese-promos-043
bad-index,SSH,11,Grookey,"0,13€",427156,Grookey [Scratch | Beat],609678,Gutsy Pickaxe,Scratch Beat,https://pokepricelab.com/de/catalog/sword-shield-starter-set-lucario-vstar-gutsy-pickaxe-011
bad-index,SSH,112,Clobbopus,"0,12€",436674,Clobbopus [Bind],852869,Pikachu V-UNION [Electro Ball Together],Punch,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-pikachu-v-union-s-p-cs-112-sword-shield-simplified-chinese-promos-112
bad-index,SSH,145,Minccino,"0,12€",436824,Minccino [Tail Whap],852902,Infernape V [Meteor Punch | Bright Flame],Glance Tail Slap,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-infernape-v-s-p-cs-145-sword-shield-simplified-chinese-promos-145
bad-index,SVI,175,Jacq,"0,11€",702471,Jacq,877668,Litten [Fake Out],,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-litten-sv-p-cs-175-scarlet-violet-simplified-chinese-promos-175
bad-index,SUM,24,Litten,"0,10€",294121,Litten [Bite | Flare],565176,Hariyama [Push Out | Megaton Slap Push],Bite Flare,https://pokepricelab.com/de/catalog/sun-moon-starter-set-hariyama-024
bad-index,SVI,190,Professor's Research,"0,10€",702485,Professor's Research - Professor Sada,793386,Jet Energy,,https://pokepricelab.com/de/catalog/scarlet-violet-promos-jet-energy-sv-p-190-scarlet-violet-promos-190
bad-index,SSH,17,Blipbug,"0,09€",436249,Blipbug [Gnaw],609684,Barry,Call for Family,https://pokepricelab.com/de/catalog/sword-shield-starter-set-lucario-vstar-barry-017
bad-index,SSH,45,Goldeen,"0,09€",436379,Goldeen [Horn Attack | SSH],463139,Struggle Gloves,Horn Attack,https://pokepricelab.com/de/catalog/sword-shield-promos-struggle-gloves-s-p-45-sword-shield-promos-45
bad-index,SSH,46,Goldeen,"0,09€",436384,Goldeen [Collect | Waterfall],852207,Polteageist [Tea Break | Mad Party],Collect Waterfall,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-polteageist-s-p-cs-046-sword-shield-simplified-chinese-promos-046
bad-index,SSH,10,Grookey,"0,08€",436229,Grookey [Fury Swipes],609677,Crobat V [Dark Asset | Venomous Fang],Fury Swipes,https://pokepricelab.com/de/catalog/sword-shield-starter-set-lucario-vstar-crobat-v-010
bad-index,SUM,10,Dartrix,"0,08€",295316,Dartrix [Sharp Blade Quill | Leaf Blade],565162,Torracat [Fury Swipes | Flamethrower],Sharp Blade Quill Leaf Blade,https://pokepricelab.com/de/catalog/sun-moon-starter-set-torracat-010
bad-index,SVI,136,Maschiff,"0,08€",702430,Maschiff [Rear Kick | Darkness Fang],749917,Battle Compressor Team Flare Gear,Crunch,https://pokepricelab.com/de/catalog/scarlet-violet-promos-battle-compressor-team-flare-gear-sv-p-136-scarlet-violet-promos-136
bad-index,SVI,95,Dedenne,"0,08€",702390,Dedenne [Energy Munch],824701,Pincurchin [Stun Needle | Follow-Up Kerzap],Second Bite,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-pincurchin-sv-p-th-095-scarlet-violet-thai-promos-095
bad-index,FLI,46,Honedge,"0,07€",355565,Honedge [Final Hour | Slash],559591,Tyrantrum [Tyrannical Heart | Crunch],Final Hour Slash,https://pokepricelab.com/de/catalog/forbidden-light-jp-tyrantrum-046
bad-index,SSH,111,Clobbopus,"0,07€",436679,Clobbopus [Punch],852868,Pikachu V-UNION [Disconnect],Bind,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-pikachu-v-union-s-p-cs-111-sword-shield-simplified-chinese-promos-111
bad-index,SVI,113,Riolu,"0,07€",702409,Riolu [Punch | Reckless Charge],851946,Victini ex [Strafe | Victory Flame],Punch Reckless Charge,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-victini-ex-sv-p-cs-113-scarlet-violet-simplified-chinese-promos-113
bad-index,SVI,40,Charcadet,"0,07€",702334,Charcadet [Ember],695781,Basic Lightning Energy,Heat Blast,https://pokepricelab.com/de/catalog/scarlet-violet-promos-basic-lightning-energy-sv-p-040-scarlet-violet-promos-040
bad-index,SVI,94,Dedenne,"0,07€",702391,Dedenne [Second Bite],824700,Pikachu [Growl | Pika Bolt],Energy Munch,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-pikachu-sv-p-th-094-scarlet-violet-thai-promos-094
bad-index,SSH,153,Wooloo,"0,06€",436854,Wooloo [Expand],525445,Darkness Energy,Tackle Headbutt,https://pokepricelab.com/de/catalog/sword-shield-promos-darkness-energy-s-p-153-sword-shield-promos-153
bad-index,SSH,32,Raboot,"0,06€",436319,Raboot [Flame Charge | Magnum Kick],852193,Electabuzz [Low Kick | Thunder],Flame Charge Magnum Kick,https://pokepricelab.com/de/catalog/sword-shield-simplified-chinese-promos-electabuzz-s-p-cs-032-sword-shield-simplified-chinese-promos-032
bad-index,SVI,101,Flittle,"0,06€",702396,Flittle [Ram],731905,Basic Fire Energy,Spinning Attack,https://pokepricelab.com/de/catalog/scarlet-violet-promos-basic-fire-energy-sv-p-101-scarlet-violet-promos-101
bad-index,SVI,155,Lechonk,"0,06€",702450,Lechonk [Repelling Odor | Stampede],766671,Kilowattrel ex [Return Charge | Thunder Lance],Collect Tackle,https://pokepricelab.com/de/catalog/scarlet-violet-promos-kilowattrel-ex-sv-p-155-scarlet-violet-promos-155
bad-index,SVI,30,Growlithe,"0,06€",702326,Growlithe [Relentless Flames],851884,Maushold [Gentle Slap | Gnaw Relentlessly],Relentless Flames,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-maushold-sv-p-cs-030-scarlet-violet-simplified-chinese-promos-030
bad-index,SVI,31,Growlithe,"0,06€",702327,Growlithe [Stoke | Fire Claws],761051,Riolu [Punch],Stoke Fire Claws,https://pokepricelab.com/de/catalog/scarlet-violet-battle-academy-riolu-031
bad-index,SVI,74,Pawmi,"0,06€",702369,Pawmi [Jolt],727983,Pikachu [Growl | Pika Bolt],Light Punch Zap Kick,https://pokepricelab.com/de/catalog/scarlet-violet-promos-pikachu-sv-p-074-scarlet-violet-promos-074
bad-index,SVI,98,Fidough,"0,06€",702394,Fidough [Springy | Flop],851944,Charmander [Heat Tackle],Springy Flop,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-charmander-sv-p-cs-098-scarlet-violet-simplified-chinese-promos-098
bad-index,SVI,104,Greavard,"0,05€",702400,Greavard [Graveyard Gamboling],824724,Miraidon [Sharp Fang | Lightning Laser],Graveyard Gamboling,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-miraidon-sv-p-th-104-scarlet-violet-thai-promos-104
bad-index,SVI,105,Greavard,"0,05€",702401,Greavard [Underworld Stroll | Sharp Fang],824726,Koraidon [Claw Slash | Rampaging Fang],Underworld Stroll Sharp Fang,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-koraidon-sv-p-th-105-scarlet-violet-thai-promos-105
bad-index,SVI,115,Sandile,"0,05€",702411,Sandile [Gnaw | Ram],858980,Veluza [Ram | Slim Screw],Gnaw Ram,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-veluza-sv-p-cs-115-scarlet-violet-simplified-chinese-promos-115
bad-index,SVI,164,Cyclizar,"0,05€",702460,Cyclizar [Touring | Speed Attack],778392,Yanmega [Gyro Shockwave],Touring Speed Attack,https://pokepricelab.com/de/catalog/scarlet-violet-promos-yanmega-sv-p-164-scarlet-violet-promos-164
bad-index,SVI,28,Capsakid,"0,05€",702323,Capsakid [Slightly Spicy],851882,Kingambit [Leadership | Hack At],Increasing Spice Playful Kick,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-kingambit-sv-p-cs-028-scarlet-violet-simplified-chinese-promos-028
bad-index,SVI,70,Rotom,"0,05€",702365,Rotom [Linear Attack],824656,Froakie [Try Bouncing],Junk Hunt Thunder Shock,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-froakie-sv-p-th-070-scarlet-violet-thai-promos-070
bad-index,FLI,91,Goomy,"0,04€",355606,Goomy [Rain Splash | Flail],559636,Lillie,Sticky Membrane Ram,https://pokepricelab.com/de/catalog/forbidden-light-jp-lillie-091
bad-index,SVI,154,Lechonk,"0,04€",702452,Lechonk [Whimsy Tackle],764619,Nemona,Repelling Odor Stampede,https://pokepricelab.com/de/catalog/scarlet-violet-promos-nemona-sv-p-154-scarlet-violet-promos-154
bad-index,SVI,27,Capsakid,"0,04€",702324,Capsakid [Increasing Spice | Playful Kick],851881,Tyranitar [Rout | Dread Mountain],Slightly Spicy,https://pokepricelab.com/de/catalog/scarlet-violet-simplified-chinese-promos-tyranitar-sv-p-cs-027-scarlet-violet-simplified-chinese-promos-027
bad-index,SVI,39,Charcadet,"0,04€",702335,Charcadet [Heat Blast],824491,Pikachu [Charge | Pika Punch],Ember,https://pokepricelab.com/de/catalog/scarlet-violet-thai-promos-pikachu-sv-p-th-039-scarlet-violet-thai-promos-039
bad-index,SVI,58,Cetoddle,"0,04€",702354,Cetoddle [Icicle | Sharp Fin],708469,Cetitan [Avalanche | Rolling Slider],Tackle,https://pokepricelab.com/de/catalog/scarlet-violet-promos-cetitan-sv-p-058-scarlet-violet-promos-058
bad-index,SVI,16,Tarountula,"0,03€",702313,Tarountula [String Shot],699713,Rare Candy,String Haul Bug Bite,https://pokepricelab.com/de/catalog/scarlet-violet-promos-rare-candy-sv-p-016-scarlet-violet-promos-016
duplicate,SVP,224,Paradise Resort,"451,02€",727542,Paradise Resort,844367,Paradise Resort,,https://pokepricelab.com/de/catalog/sv-black-star-promos-paradise-resort-224
duplicate,E1,37,Blastoise,"206,69€",274879,Blastoise [Jet Stream | Energy Cannon],274912,Blastoise [Jet Stream | Energy Cannon],Jet Stream Energy Cannon,https://pokepricelab.com/de/catalog/expedition-base-set-blastoise-37
duplicate,LTR,114,Reshiram,"199,52€",281139,Reshiram [Outrage | Blue Flare],281265,Reshiram [Outrage | Blue Flare],Outrage Blue Flare,https://pokepricelab.com/de/catalog/legendary-treasures-reshiram-114
duplicate,NP,12,Pikachu,"148,31€",573476,Pikachu [Agility | Thundershock],275485,Pikachu [Agility | Thundershock],Agility Thundershock,https://pokepricelab.com/de/catalog/nintendo-black-star-promos-pikachu-12
duplicate,SVP,150,Paradise Resort,"126,60€",726924,Paradise Resort,783445,Paradise Resort,,https://pokepricelab.com/de/catalog/sv-black-star-promos-paradise-resort-150
duplicate,OBF,130,Umbreon,"107,82€",727071,Umbreon [Feint Attack | Pitch-Black Blade],725210,Umbreon [Feint Attack | Pitch-Black Blade],Feint Attack Pitch-Black Blade,https://pokepricelab.com/de/catalog/obsidian-flames-umbreon-130
duplicate,FCO,63,Lucario,"94,74€",449708,Lucario [Vacuum Wave | Fight Alone],289884,Lucario [Vacuum Wave | Fight Alone],Vacuum Wave Fight Alone,https://pokepricelab.com/de/catalog/fates-collide-lucario-63
duplicate,SVP,45,Paradise Resort,"83,24€",844367,Paradise Resort,726924,Paradise Resort,,https://pokepricelab.com/de/catalog/sv-black-star-promos-paradise-resort-045
duplicate,E1,47,Feraligatr,"73,34€",274887,Feraligatr [Major Tsunami | Rending Jaws],274922,Feraligatr [Major Tsunami | Rending Jaws],Major Tsunami Rending Jaws,https://pokepricelab.com/de/catalog/expedition-base-set-feraligatr-47
duplicate,SSH,142,Snorlax VMAX,"51,82€",427236,Snorlax VMAX [G-Max Fall],687429,Snorlax VMAX [G-Max Fall],G-Max Fall,https://pokepricelab.com/de/catalog/sword-shield-snorlax-vmax-142
duplicate,E1,54,Meganium,"49,61€",274893,Meganium [Soothing Aroma | Poisonpowder],274929,Meganium [Soothing Aroma | Poisonpowder],Soothing Aroma Poisonpowder,https://pokepricelab.com/de/catalog/expedition-base-set-meganium-54
duplicate,DR,19,Salamence,"42,05€",280584,Salamence [Intimidating Fang | Dragon Flame],275896,Salamence [Intimidating Fang | Dragon Flame],Intimidating Fang Dragon Flame,https://pokepricelab.com/de/catalog/ex-dragon-salamence-19
duplicate,E1,65,Typhlosion,"39,65€",274903,Typhlosion [Heat Up | Super Singe],274940,Typhlosion [Heat Up | Super Singe],Heat Up Super Singe,https://pokepricelab.com/de/catalog/expedition-base-set-typhlosion-65
duplicate,E1,68,Venusaur,"34,46€",274905,Venusaur [Harvest Bounty | Body Slam],274943,Venusaur [Harvest Bounty | Body Slam],Harvest Bounty Body Slam,https://pokepricelab.com/de/catalog/expedition-base-set-venusaur-68
duplicate,E1,70,Weezing,"30,82€",274907,Weezing [Foul Gas | Misfire],274945,Weezing [Foul Gas | Misfire],Foul Gas Misfire,https://pokepricelab.com/de/catalog/expedition-base-set-weezing-70
duplicate,SVP,196,Charizard ex,"21,61€",751798,Charizard ex [Infernal Reign | Burning Darkness],821617,Charizard ex [Infernal Reign | Burning Darkness],Infernal Reign Burning Darkness,https://pokepricelab.com/de/catalog/sv-black-star-promos-charizard-ex-196
duplicate,SVP,173,Eevee,"18,39€",805370,Eevee [Boosted Evolution | Reckless Charge],806407,Eevee [Boosted Evolution | Reckless Charge],Boosted Evolution Reckless Charge,https://pokepricelab.com/de/catalog/sv-black-star-promos-eevee-173
duplicate,TR,8,Dark Gyarados,"15,77€",274078,Dark Gyarados [Final Beam | Ice Beam],274061,Dark Gyarados [Final Beam | Ice Beam],Final Beam Ice Beam,https://pokepricelab.com/de/catalog/team-rocket-dark-gyarados-8
duplicate,E1,28,Typhlosion,"10,94€",274940,Typhlosion [Heat Up | Super Singe],274903,Typhlosion [Heat Up | Super Singe],Heat Up Super Singe,https://pokepricelab.com/de/catalog/expedition-base-set-typhlosion-28
duplicate,SIT,207,Serena,"10,83€",682241,Serena,682256,Serena,,https://pokepricelab.com/de/catalog/silver-tempest-serena-207
duplicate,E1,22,Pichu,"10,42€",274933,Pichu [Energy Patch],274897,Pichu [Energy Patch],Energy Patch,https://pokepricelab.com/de/catalog/expedition-base-set-pichu-22
duplicate,SVP,14,Koraidon,"9,39€",692235,Koraidon [Claw Slash | Rampaging Fang],692236,Koraidon [Claw Slash | Rampaging Fang],Claw Slash Rampaging Fang,https://pokepricelab.com/de/catalog/sv-black-star-promos-koraidon-014
duplicate,VIV,195,Leon,"8,66€",512620,Leon,512685,Leon,,https://pokepricelab.com/de/catalog/vivid-voltage-leon-195
