series,gallery_number,set_code,set_number,name_de,name_en,image_url_de,image_url_en
7,1,SCR,107,Briduradon,Archaludon,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_1-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_1-2x.png
7,2,SSP,130,Briduradon-ex,Archaludon ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_2-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_2-2x.png
7,3,SSP,74,Azumarill,Azumarill,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_3-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_3-2x.png
7,4,TWM,134,Heiteira-ex,Blissey ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_4-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_4-2x.png
7,5,TWM,141,Blutmond-Ursaluna-ex,Bloodmoon Ursaluna ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_5-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_5-2x.png
7,6,SCR,119,Bisofank,Bouffalant,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_6-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_6-2x.png
7,7,PRE,4,Knospi,Budew,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_7-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_7-2x.png
7,8,SSP,36,Azugladis-ex,Ceruledge ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_8-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_8-2x.png
7,9,TWM,105,Meistagrif,Conkeldurr,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_9-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_9-2x.png
7,10,TEF,85,Rotomurf,Drilbur,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_10-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_10-2x.png
