tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Teal Mask Ogerpon ex;TWM 25;68;4;22;3,09;22;100,0;TWM;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Regidrago V;SIT 135;66;3;22;3,0;22;100,0;SIT;;135;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SIT/SIT_135_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Regidrago VSTAR;SIT 136;66;3;22;3,0;22;100,0;SIT;;136;Triple Rare;VSTAR;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SIT/SIT_136_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Dragapult ex;TWM 130;43;2;22;1,95;22;100,0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Giratina VSTAR;LOR 131;22;1;22;1,0;22;100,0;LOR;;131;Triple Rare;VSTAR;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_131_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Mew ex;MEW 151;22;1;22;1,0;22;100,0;MEW;;151;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_151_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Kyurem;SFA 47;22;1;22;1,0;22;100,0;SFA;;47;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_047_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Hisuian Goodra VSTAR;LOR 136;5;1;5;1,0;22;22,73;LOR;;136;Triple Rare;VSTAR;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_136_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Cleffa;OBF 80;22;1;22;1,0;22;100,0;OBF;;80;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/OBF/OBF_080_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Squawkabilly ex;PAL 169;22;1;22;1,0;22;100,0;PAL;;169;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_169_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Haxorus;SFA 46;4;1;4;1,0;22;18,18;SFA;;46;Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_046_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Professor's Research;BLK 85;87;4;22;3,95;22;100,0;BLK;;85;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_085_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Iono;PAF 80;54;3;22;2,45;22;100,0;PAF;;80;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_080_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Boss's Orders;ASC 183;42;2;22;1,91;22;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Ultra Ball;ASC 213;88;4;22;4,0;22;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Earthen Vessel;PRE 106;78;4;22;3,55;22;100,0;PRE;;106;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_106_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Nest Ball;PAF 84;88;4;22;4,0;22;100,0;PAF;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_084_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Energy Switch;MEG 115;88;4;22;4,0;22;100,0;MEG;;115;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_115_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Superior Energy Retrieval;PAL 189;7;2;5;1,4;22;22,73;PAL;;189;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_189_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Night Stretcher;ASC 196;4;1;4;1,0;22;18,18;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Prime Catcher;PRE 119;22;1;22;1,0;22;100,0;PRE;;119;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Switch;MEG 130;22;1;22;1,0;22;100,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Canceling Cologne;ASR 136;18;1;18;1,0;22;81,82;ASR;;136;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_136_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Temple of Sinnoh;ASR 155;22;1;22;1,0;22;100,0;ASR;;155;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_155_R_EN_LG.png;No
461;LAIC 2024–25, São Paulo – Limitless;BRS-SCR;15th November 2024;Regidrago;Grass Energy;EVO 91;156;8;22;7,09;22;100,0;EVO;;91;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_091_R_EN_LG.png;No
