tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Snorlax;PGO 55;4;4;1;4,0;1;100,0;PGO;;55;Holo Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PGO/PGO_055_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Mimikyu;PAL 97;2;2;1;2,0;1;100,0;PAL;;97;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_097_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Klefki;SVI 96;2;2;1;2,0;1;100,0;SVI;;96;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_096_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Cornerstone Mask Ogerpon ex;TWM 112;1;1;1;1,0;1;100,0;TWM;;112;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_112_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Penny;SVI 183;2;2;1;2,0;1;100,0;SVI;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_183_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Boss's Orders;ASC 183;2;2;1;2,0;1;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Kofu;SCR 138;2;2;1;2,0;1;100,0;SCR;;138;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_138_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Miss Fortune Sisters;LOR 164;2;2;1;2,0;1;100,0;LOR;;164;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_164_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Cyllene;ASR 138;2;2;1;2,0;1;100,0;ASR;;138;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_138_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Team Yell's Cheer;BRS 149;1;1;1;1,0;1;100,0;BRS;;149;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BRS/BRS_149_R_EN_LG.png;
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Iono;PAF 80;1;1;1;1,0;1;100,0;PAF;;80;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_080_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Arven;OBF 186;1;1;1;1,0;1;100,0;OBF;;186;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/OBF/OBF_186_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Eri;TEF 146;1;1;1;1,0;1;100,0;TEF;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_146_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Erika's Invitation;MEW 160;1;1;1;1,0;1;100,0;MEW;;160;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_160_R_EN_LG.png;No
484;Regional San Antonio, TX – Limitless;BRS-SSP;25th January 2025;Snorlax Stall18.65$10.57€;Xerosic's Machinations;SFA 64;1;1;1;1,0;1;100,0;SFA;;64;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_064_R_EN_LG.png;No
