tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Raging Bolt ex;TEF 123;4;4;1;4,0;1;100,0;TEF;;123;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_123_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Teal Mask Ogerpon ex;TWM 25;4;4;1;4,0;1;100,0;TWM;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Flutter Mane;TEF 78;2;2;1;2,0;1;100,0;TEF;;78;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_078_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Radiant Greninja;ASR 46;1;1;1;1,0;1;100,0;ASR;;46;Radiant Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_046_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Squawkabilly ex;PAL 169;1;1;1;1,0;1;100,0;PAL;;169;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_169_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Professor Sada's Vitality;PRE 120;4;4;1;4,0;1;100,0;PRE;;120;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_120_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Boss's Orders;ASC 183;2;2;1;2,0;1;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Iono;PAF 80;1;1;1;1,0;1;100,0;PAF;;80;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_080_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Nest Ball;PAF 84;4;4;1;4,0;1;100,0;PAF;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_084_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Earthen Vessel;PRE 106;4;4;1;4,0;1;100,0;PRE;;106;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_106_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Pokégear 3.0;BLK 84;3;3;1;3,0;1;100,0;BLK;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_084_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Trekking Shoes;CRZ 145;3;3;1;3,0;1;100,0;CRZ;;145;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRZ/CRZ_145_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Ultra Ball;ASC 213;2;2;1;2,0;1;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Pokémon Catcher;SVI 187;2;2;1;2,0;1;100,0;SVI;;187;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_187_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Switch Cart;ASR 154;2;2;1;2,0;1;100,0;ASR;;154;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_154_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Energy Retrieval;WHT 82;2;2;1;2,0;1;100,0;WHT;;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_082_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Superior Energy Retrieval;PAL 189;1;1;1;1,0;1;100,0;PAL;;189;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_189_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Pal Pad;SVI 182;1;1;1;1,0;1;100,0;SVI;;182;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_182_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Prime Catcher;PRE 119;1;1;1;1,0;1;100,0;PRE;;119;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png;Yes
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Bravery Charm;PAL 173;1;1;1;1,0;1;100,0;PAL;;173;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_173_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;PokéStop;PGO 68;2;2;1;2,0;1;100,0;PGO;;68;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PGO/PGO_068_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Grass Energy;EVO 91;7;7;1;7,0;1;100,0;EVO;;91;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_091_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Lightning Energy;EVO 94;3;3;1;3,0;1;100,0;EVO;;94;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_094_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Raging Bolt Ogerpon;Fighting Energy;EVO 96;3;3;1;3,0;1;100,0;EVO;;96;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_096_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Comfey;LOR 79;4;4;1;4,0;1;100,0;LOR;;79;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_079_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Sableye;LOR 70;2;2;1;2,0;1;100,0;LOR;;70;Holo Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_070_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Bloodmoon Ursaluna ex;TWM 141;2;2;1;2,0;1;100,0;TWM;;141;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_141_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Cramorant;LOR 50;1;1;1;1,0;1;100,0;LOR;;50;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_050_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Radiant Greninja;ASR 46;1;1;1;1,0;1;100,0;ASR;;46;Radiant Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_046_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Manaphy;BRS 41;1;1;1;1,0;1;100,0;BRS;;41;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BRS/BRS_041_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Iron Bundle;PAR 56;1;1;1;1,0;1;100,0;PAR;;56;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_056_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Colress's Experiment;LOR 155;4;4;1;4,0;1;100,0;LOR;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_155_R_EN_LG.png;Yes
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Roxanne;SVP 290;2;2;1;2,0;1;100,0;SVP;;290;Promo;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/SVP/SVP_290_R_JP_LG.png;Yes
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Mirage Gate;LOR 163;4;4;1;4,0;1;100,0;LOR;;163;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_163_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Nest Ball;PAF 84;4;4;1;4,0;1;100,0;PAF;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_084_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Switch Cart;ASR 154;4;4;1;4,0;1;100,0;ASR;;154;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_154_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Super Rod;PAL 188;4;4;1;4,0;1;100,0;PAL;;188;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_188_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Buddy-Buddy Poffin;ASC 184;3;3;1;3,0;1;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Switch;MEG 130;3;3;1;3,0;1;100,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;Yes
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Lost Vacuum;CRZ 135;2;2;1;2,0;1;100,0;CRZ;;135;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRZ/CRZ_135_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Canceling Cologne;ASR 136;2;2;1;2,0;1;100,0;ASR;;136;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_136_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Counter Catcher;PAR 160;1;1;1;1,0;1;100,0;PAR;;160;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_160_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Prime Catcher;PRE 119;1;1;1;1,0;1;100,0;PRE;;119;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png;Yes
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Hisuian Heavy Ball;ASR 146;1;1;1;1,0;1;100,0;ASR;;146;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_146_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Pal Pad;SVI 182;1;1;1;1,0;1;100,0;SVI;;182;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_182_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Rescue Board;PRE 126;1;1;1;1,0;1;100,0;PRE;;126;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_126_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Technical Machine: Devolution;PAR 177;1;1;1;1,0;1;100,0;PAR;;177;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_177_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;PokéStop;PGO 68;2;2;1;2,0;1;100,0;PGO;;68;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PGO/PGO_068_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Temple of Sinnoh;ASR 155;1;1;1;1,0;1;100,0;ASR;;155;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_155_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Water Energy;EVO 93;4;4;1;4,0;1;100,0;EVO;;93;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_093_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Lost Zone Box;Psychic Energy;EVO 95;3;3;1;3,0;1;100,0;EVO;;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Chien-Pao Baxcalibur;Frigibax;PAF 17;2;2;1;2,0;1;100,0;PAF;;17;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_017_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Chien-Pao Baxcalibur;Frigibax;PAL 57;1;1;1;1,0;1;100,0;PAL;;57;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_057_R_EN_LG.png;No
464;Malaysia Championships 2024 – Limitless;BRS-TWM;29th June 2024;Chien-Pao Baxcalibur;Baxcalibur;PAL 60;2;2;1;2,0;1;100,0;PAL;;60;Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_060_R_EN_LG.png;No
