tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Ralts;ASR 60;97;4;25;3,88;25;100,0;ASR;;60;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_060_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Kirlia;SIT 68;75;3;25;3,0;25;100,0;SIT;;68;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SIT/SIT_068_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Kirlia;CRE 60;25;1;25;1,0;25;100,0;CRE;;60;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRE/CRE_060_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Gardevoir ex;SVI 86;50;2;25;2,0;25;100,0;SVI;;86;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_086_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Gardevoir;CRE 61;50;2;25;2,0;25;100,0;CRE;;61;Holo Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRE/CRE_061_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Zacian V;CEL 16;24;1;24;1,0;25;96,0;CEL;;16;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CEL/CEL_016_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Scream Tail;PAR 86;24;1;24;1,0;25;96,0;PAR;;86;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_086_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Cresselia;LOR 74;16;1;16;1,0;25;64,0;LOR;;74;Holo Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/LOR/LOR_074_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Manaphy;BRS 41;25;1;25;1,0;25;100,0;BRS;;41;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BRS/BRS_041_R_EN_LG.png;No
400;Regional Vancouver – Limitless;BST-PAR;23rd March 2024;Gardevoir;Radiant Greninja;ASR 46;25;1;25;1,0;25;100,0;ASR;;46;Radiant Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASR/ASR_046_R_EN_LG.png;No
