tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Phantump;ASC 95;12;4;3;4,"['0;3;100', '0;ASC;;95;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_095_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Trevenant;ASC 96;9;3;3;3,"['0;3;100', '0;ASC;;96;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_096_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Snorlax;JTG 117;6;2;3;2,"['0;3;100', '0;JTG;;117;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_117_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Wooloo;JTG 135;1;1;1;1,"['0;3;33', '33;JTG;;135;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_135_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Dubwool;JTG 136;1;1;1;1,"['0;3;33', '33;JTG;;136;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_136_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Cramorant;JTG 138;3;1;3;1,"['0;3;100', '0;JTG;;138;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_138_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Lillie's Clefairy ex;JTG 56;3;1;3;1,"['0;3;100', '0;JTG;;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Shaymin;DRI 10;3;1;3;1,"['0;3;100', '0;DRI;;10;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Lillie's Determination;ASC 192;12;4;3;4,"['0;3;100', '0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Team Rocket's Petrel;ASC 207;11;4;3;3,"['67;3;100', '0;ASC;;207;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_207_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Boss's Orders;ASC 183;10;4;3;3,"['33;3;100', '0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hassel;TWM 151;4;2;2;2,"['0;3;66', '67;TWM;;151;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_151_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Ruffian;JTG 157;1;1;1;1,"['0;3;33', '33;JTG;;157;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_157_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Poké Pad;POR 81;11;4;3;3,"['67;3;100', '0;POR;;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Pokégear 3.0;BLK 84;9;3;3;3,"['0;3;100', '0;BLK;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_084_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Night Stretcher;ASC 196;7;3;3;2,"['33;3;100', '0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Bag;JTG 147;7;3;3;2,"['33;3;100', '0;JTG;;147;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_147_R_EN_LG.png;No']"
