tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Dreepy;TWM 128;4;4;1;4,0;1;100,0;TWM;;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Drakloak;TWM 129;4;4;1;4,0;1;100,0;TWM;;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Dragapult ex;TWM 130;3;3;1;3,0;1;100,0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Munkidori;TWM 95;2;2;1;2,0;1;100,0;TWM;;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Budew;PRE 4;2;2;1;2,0;1;100,0;PRE;;4;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_004_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Bloodmoon Ursaluna ex;TWM 141;1;1;1;1,0;1;100,0;TWM;;141;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_141_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Latias ex;SSP 76;1;1;1;1,0;1;100,0;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Fezandipiti ex;SFA 38;1;1;1;1,0;1;100,0;SFA;;38;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Hawlucha;SVI 118;1;1;1;1,0;1;100,0;SVI;;118;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_118_R_EN_LG.png;No
463;NAIC 2025, New Orleans – Limitless;SVI-DRI;13th June 2025;Dragapult50.41$33.30€;Maractus;JTG 8;1;1;1;1,0;1;100,0;JTG;;8;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_008_R_EN_LG.png;No
