tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Roaring Moon ex;PAR 124;2;2;1;2,0;1;100,0;PAR;;124;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_124_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Squawkabilly ex;PAL 169;2;2;1;2,0;1;100,0;PAL;;169;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_169_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Brute Bonnet;PAR 123;2;2;1;2,0;1;100,0;PAR;;123;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_123_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Pecharunt;SVP 149;2;2;1;2,0;1;100,0;SVP;;149;Promo;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVP/SVP_149_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Fezandipiti ex;SFA 38;1;1;1;1,0;1;100,0;SFA;;38;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Pecharunt ex;SFA 39;1;1;1;1,0;1;100,0;SFA;;39;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_039_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Koraidon;SSP 116;1;1;1;1,0;1;100,0;SSP;;116;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_116_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Latias ex;SSP 76;1;1;1;1,0;1;100,0;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Mew ex;MEW 151;1;1;1;1,0;1;100,0;MEW;;151;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_151_R_EN_LG.png;No
501;Special Event Bologna – Limitless;SVI-JTG;31st May 2025;Roaring Moon45.94$33.55€;Bloodmoon Ursaluna ex;TWM 141;1;1;1;1,0;1;100,0;TWM;;141;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_141_R_EN_LG.png;No
