tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Ralts;MEG 58;95;3;37;2,57;37;100,0;MEG;;58;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_058_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Kirlia;MEG 59;55;2;37;1,49;37;100,0;MEG;;59;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_059_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Gardevoir ex;SVI 86;74;2;37;2,0;37;100,0;SVI;;86;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_086_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Munkidori;TWM 95;111;3;37;3,0;37;100,0;TWM;;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Frillish;WHT 44;74;2;37;2,0;37;100,0;WHT;;44;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_044_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Jellicent ex;WHT 45;44;2;37;1,19;37;100,0;WHT;;45;Double Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_045_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Mew ex;MEW 151;37;1;37;1,0;37;100,0;MEW;;151;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_151_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Lillie's Clefairy ex;JTG 56;37;1;37;1,0;37;100,0;JTG;;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Fezandipiti ex;SFA 38;36;1;36;1,0;37;97,3;SFA;;38;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Scream Tail;PAR 86;37;1;37;1,0;37;100,0;PAR;;86;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAR/PAR_086_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Lillie's Determination;ASC 192;141;4;37;3,81;37;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Iono;PAF 80;148;4;37;4,0;37;100,0;PAF;;80;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_080_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Arven;OBF 186;55;3;37;1,49;37;100,0;OBF;;186;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/OBF/OBF_186_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Professor Turo's Scenario;PRE 121;30;1;30;1,0;37;81,08;PRE;;121;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_121_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Ultra Ball;ASC 213;148;4;37;4,0;37;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
516;LAIC 2025–26, São Paulo – Limitless;SVI-MEG;21st November 2025;Gardevoir Jellicent;Earthen Vessel;PRE 106;112;4;37;3,03;37;100,0;PRE;;106;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_106_R_EN_LG.png;No
