tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Dwebble;DRI 11;8;4;2;4,0;2;100,0;DRI;;11;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_011_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Crustle;DRI 12;6;3;2;3,0;2;100,0;DRI;;12;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_012_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Mega Kangaskhan ex;MEG 104;4;2;2;2,0;2;100,0;MEG;;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Cornerstone Mask Ogerpon ex;TWM 112;2;1;2;1,0;2;100,0;TWM;;112;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_112_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Lillie's Determination;ASC 192;8;4;2;4,0;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Team Rocket's Petrel;ASC 207;8;4;2;4,0;2;100,0;ASC;;207;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_207_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Boss's Orders;ASC 183;8;4;2;4,0;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Hilda;WHT 84;4;2;2;2,0;2;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Colress's Tenacity;SFA 57;4;2;2;2,0;2;100,0;SFA;;57;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_057_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Xerosic's Machinations;SFA 64;2;1;2;1,0;2;100,0;SFA;;64;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_064_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Pokémon Center Lady;MEG 123;2;1;2;1,0;2;100,0;MEG;;123;Common;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_123_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Pokégear 3.0;BLK 84;8;4;2;4,0;2;100,0;BLK;;84;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_084_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Jumbo Ice Cream;PFL 91;8;4;2;4,0;2;100,0;PFL;;91;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_091_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Buddy-Buddy Poffin;ASC 184;4;2;2;2,0;2;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Ultra Ball;ASC 213;4;2;2;2,0;2;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Switch;MEG 130;2;1;2;1,0;2;100,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Super Potion;JTG 158;2;1;2;1,0;2;100,0;JTG;;158;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_158_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Hero's Cape;TEF 152;2;1;2;1,0;2;100,0;TEF;;152;Ultra Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_152_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Team Rocket's Factory;ASC 203;2;1;2;1,0;2;100,0;ASC;;203;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_203_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Forest of Vitality;ASC 188;2;1;2;1,0;2;100,0;ASC;;188;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_188_R_EN_LG.png;No
539;Regional Prague – Limitless;TEF-POR;25th April 2026;Crustle34.37$25.34€;Growing Grass Energy;POR 86;8;4;2;4,0;2;100,0;POR;;86;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_086_R_EN_LG.png;No
