tournament_id;tournament_name;tournament_date;players;format;cards_url;total_cards;status
560;Special Event San Juan – Limitless;7th March 2026;356;;https://limitlesstcg.com/tournaments/560/cards;1662;success
542;Regional Seattle, WA – Limitless;28th February 2026;2231;;https://limitlesstcg.com/tournaments/542/cards;9383;success
517;EUIC 2026, London – Limitless;13th February 2026;4010;;https://limitlesstcg.com/tournaments/517/cards;16960;success
532;Regional Santiago – Limitless;7th February 2026;1670;;https://limitlesstcg.com/tournaments/532/cards;7168;success
553;Regional Sydney – Limitless;7th February 2026;699;;https://limitlesstcg.com/tournaments/553/cards;3129;success
530;Regional Mérida – Limitless;24th January 2026;1690;;https://limitlesstcg.com/tournaments/530/cards;7070;success
529;Regional Birmingham – Limitless;24th January 2026;2344;;https://limitlesstcg.com/tournaments/529/cards;10356;success
531;Special Event Auckland – Limitless;24th January 2026;80;;https://limitlesstcg.com/tournaments/531/cards;684;success
538;Regional Toronto – Limitless;17th January 2026;2270;;https://limitlesstcg.com/tournaments/538/cards;9102;success
528;Regional Stuttgart – Limitless;29th November 2025;2200;;https://limitlesstcg.com/tournaments/528/cards;9729;success
516;LAIC 2025–26, São Paulo – Limitless;21st November 2025;2117;;https://limitlesstcg.com/tournaments/516/cards;8936;success
527;Special Event Buenos Aires – Limitless;15th November 2025;350;;https://limitlesstcg.com/tournaments/527/cards;1475;success
526;Regional Las Vegas, NV – Limitless;15th November 2025;2919;;https://limitlesstcg.com/tournaments/526/cards;12143;success
525;Regional Gdańsk – Limitless;1st November 2025;1675;;https://limitlesstcg.com/tournaments/525/cards;7843;success
524;Regional Lille – Limitless;25th October 2025;2028;;https://limitlesstcg.com/tournaments/524/cards;9226;success
522;Regional Belo Horizonte – Limitless;11th October 2025;1117;;https://limitlesstcg.com/tournaments/522/cards;5025;success
523;Regional Milwaukee, WI – Limitless;11th October 2025;2305;;https://limitlesstcg.com/tournaments/523/cards;10329;success
521;Regional Pittsburgh, PA – Limitless;20th September 2025;2691;;https://limitlesstcg.com/tournaments/521/cards;11536;success
519;Regional Frankfurt – Limitless;13th September 2025;2433;;https://limitlesstcg.com/tournaments/519/cards;11258;success
520;Regional Monterrey – Limitless;13th September 2025;1620;;https://limitlesstcg.com/tournaments/520/cards;7220;success
463;NAIC 2025, New Orleans – Limitless;13th June 2025;3812;;https://limitlesstcg.com/tournaments/463/cards;9287;success
501;Special Event Bologna – Limitless;31st May 2025;1239;;https://limitlesstcg.com/tournaments/501/cards;5191;success
503;Special Event Durban – Limitless;24th May 2025;91;;https://limitlesstcg.com/tournaments/503/cards;157;success
497;Regional Portland, OR – Limitless;24th May 2025;1688;;https://limitlesstcg.com/tournaments/497/cards;7277;success
475;Regional Santiago – Limitless;17th May 2025;1249;;https://limitlesstcg.com/tournaments/475/cards;5251;success
470;Special Event Utrecht – Limitless;17th May 2025;1241;;https://limitlesstcg.com/tournaments/470/cards;4925;success
498;Regional Melbourne – Limitless;17th May 2025;563;;https://limitlesstcg.com/tournaments/498/cards;2248;success
466;Regional Milwaukee, WI – Limitless;3rd May 2025;1657;;https://limitlesstcg.com/tournaments/466/cards;6733;success
469;Special Event Sevilla – Limitless;26th April 2025;817;;https://limitlesstcg.com/tournaments/469/cards;3545;success
502;Special Event Johannesburg – Limitless;26th April 2025;85;;https://limitlesstcg.com/tournaments/502/cards;63;success
474;Regional Monterrey – Limitless;19th April 2025;1327;;https://limitlesstcg.com/tournaments/474/cards;5602;success
489;Regional Atlanta, GA – Limitless;12th April 2025;2684;;https://limitlesstcg.com/tournaments/489/cards;7175;success
477;Regional Brisbane – Limitless;29th March 2025;470;;https://limitlesstcg.com/tournaments/477/cards;2252;success
468;Regional Stockholm – Limitless;22nd March 2025;815;;https://limitlesstcg.com/tournaments/468/cards;3704;success
