meta;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
City Leagues;Aegislash Dudunsparce;Shaymin;DRI_10;1;1;1;2;50,0;DRI;;10;Uncommon;GBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Lillie's Clefairy ex;JTG_56;1;1;1;2;50,0;JTG;;56;Double Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Fezandipiti ex;ASC_142;1;1;1;2;50,0;ASC;;142;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Genesect ex;BLK_67;4;2;2;2;100,0;BLK;;67;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Honedge;M3_55;8;4;2;2;100,0;M3;;55;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_55_R_JP_LG.png;No
City Leagues;Aegislash Dudunsparce;Aegislash;M3_57;8;4;2;2;100,0;M3;;57;Uncommon;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_57_R_JP_LG.png;No
City Leagues;Aegislash Dudunsparce;Doublade;M3_56;8;4;2;2;100,0;M3;;56;Common;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_56_R_JP_LG.png;No
City Leagues;Aegislash Dudunsparce;Dunsparce;JTG_120;7;4;2;2;100,0;JTG;;120;Common;CBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Fan Rotom;SCR_118;2;1;2;2;100,0;SCR;;118;Common;CBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_118_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Dudunsparce;TEF_129;5;3;2;2;100,0;TEF;;129;Rare;CStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Darkness Energy;SVE_23;2;1;2;2;100,0;SVE;;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Lightning Energy;SVE_20;2;1;2;2;100,0;SVE;;20;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_020_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Metal Energy;SVE_24;2;1;2;2;100,0;SVE;;24;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_024_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Psychic Energy;SVE_21;2;2;1;2;50,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Water Energy;SVE_19;1;1;1;2;50,0;SVE;;19;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_019_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Buddy-Buddy Poffin;PRE_101;8;4;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Night Stretcher;SFA_61;4;2;2;2;100,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Poké Pad;ASC_198;7;4;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Sacred Ash;DRI_168;2;1;2;2;100,0;DRI;;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Ultra Ball;ASC_213;3;2;2;2;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Hyper Aroma;TWM_152;1;1;1;2;50,0;TWM;;152;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_152_R_EN_LG.png;Yes
City Leagues;Aegislash Dudunsparce;Pokégear 3.0;SSH_174;1;1;1;2;50,0;SSH;;174;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSH/SSH_174_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Prime Catcher;PRE_119;1;1;1;2;50,0;PRE;;119;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png;Yes
City Leagues;Aegislash Dudunsparce;Switch;MEG_130;1;1;1;2;50,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Ignition Energy;WHT_86;8;4;2;2;100,0;WHT;;86;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_086_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Battle Cage;PFL_85;4;2;2;2;100,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Boss's Orders;ASC_183;3;2;2;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Crispin;PRE_105;3;2;2;2;100,0;PRE;;105;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Hilda;WHT_84;3;2;2;2;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Lillie's Determination;ASC_192;8;4;2;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Brock's Scouting;JTG_146;2;2;1;2;50,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Dawn;PFL_87;3;3;1;2;50,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Air Balloon;ASC_181;3;2;2;2;100,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City Leagues;Aegislash Dudunsparce;Counter Gain;ASC_186;1;1;1;2;50,0;ASC;;186;Common;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_186_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Psyduck;ASC_39;1;1;1;2;50,0;ASC;;39;Common;WBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Lunatone;MEG_74;4;2;2;2;100,0;MEG;;74;Rare;FBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_074_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Solrock;MEG_75;4;2;2;2;100,0;MEG;;75;Uncommon;FBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_075_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Fezandipiti ex;ASC_142;1;1;1;2;50,0;ASC;;142;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Genesect ex;BLK_67;4;2;2;2;100,0;BLK;;67;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Honedge;M3_55;8;4;2;2;100,0;M3;;55;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_55_R_JP_LG.png;No
City Leagues;Aegislash Genesect;Aegislash;M3_57;8;4;2;2;100,0;M3;;57;Uncommon;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_57_R_JP_LG.png;No
City Leagues;Aegislash Genesect;Doublade;M3_56;8;4;2;2;100,0;M3;;56;Common;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_56_R_JP_LG.png;No
City Leagues;Aegislash Genesect;Meowth ex;M3_61;1;1;1;2;50,0;M3;;61;Double Rare;CBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_61_R_JP_LG.png;No
City Leagues;Aegislash Genesect;Fighting Energy;SVE_22;14;7;2;2;100,0;SVE;;22;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_022_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Buddy-Buddy Poffin;PRE_101;5;3;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Fighting Gong;ASC_187;8;4;2;2;100,0;ASC;;187;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_187_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Poké Pad;ASC_198;8;4;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Max Rod;PRE_116;1;1;1;2;50,0;PRE;;116;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_116_R_EN_LG.png;Yes
City Leagues;Aegislash Genesect;Night Stretcher;SFA_61;2;2;1;2;50,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Sacred Ash;DRI_168;1;1;1;2;50,0;DRI;;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Switch;MEG_130;1;1;1;2;50,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Ultra Ball;ASC_213;3;3;1;2;50,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Ignition Energy;WHT_86;7;4;2;2;100,0;WHT;;86;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_086_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Team Rocket's Watchtower;ASC_210;2;2;1;2;50,0;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Boss's Orders;ASC_183;2;1;2;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Brock's Scouting;JTG_146;3;2;2;2;100,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Dawn;PFL_87;4;3;2;2;100,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Hilda;WHT_84;6;3;2;2;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Lillie's Determination;ASC_192;5;3;2;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Hassel;TWM_151;1;1;1;2;50,0;TWM;;151;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_151_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Lana's Aid;TWM_155;1;1;1;2;50,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Morty's Conviction;TEF_155;3;3;1;2;50,0;TEF;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_155_R_EN_LG.png;No
