set_code,set_name
ASC,Ascended Heroes
PFL,Phantasmal Flames
MEG,Mega Evolution
MEE,Mega Evolution Energy
MEP,Mega Promos
BLK,Black Bolt
WHT,White Flare
DRI,Destined Rivals
JTG,Journey Together
PRE,Prismatic Evolutions
SSP,Surging Sparks
SCR,Stellar Crown
SFA,Shrouded Fable
TWM,Twilight Masquerade
TEF,Temporal Forces
PAF,Paldean Fates
PAR,Paradox Rift
MEW,Pokémon 151
OBF,Obsidian Flames
PAL,Paldea Evolved
SVI,Scarlet & Violet
SVE,Scarlet & Violet Energy
SVP,Scarlet & Violet Promos
CRZ,Crown Zenith
SIR,Silver Tempest
LOR,Lost Origin
PGO,Pokémon GO
ASR,Astral Radiance
BRS,Brilliant Stars
FST,Fusion Strike
CEL,Celebrations
EVS,Evolving Skies
CRE,Chilling Reign
BST,Battle Styles
TM,Temp Turnaround
SHF,Shining Fates
VIV,Vivid Voltage
CPA,Champion's Path
DAA,Darkness Ablaze
RCL,Rebel Clash
SSH,Sword & Shield
SP,Sword & Shield Promos
CEC,Cosmic Eclipse
HIF,Hidden Fates
UNM,Unified Minds
UNB,Unbroken Bonds
DET,Detective Pikachu
TEU,Team Up
LOT,Lost Thunder
DRM,Dragon Majesty
CES,Celestial Storm
FLI,Forbidden Light
UPR,Ultra Prism
CIN,Crimson Invasion
SLG,Shining Legends
BUS,Burning Shadows
GRI,Guardians Rising
SUM,Sun & Moon
SMP,Sun & Moon Promos
EVO,Evolutions
STS,Steam Siege
FCO,Fates Collide
GEN,Generations
BKP,BREAKpoint
BKT,BREAKthrough
AOR,Ancient Origins
ROS,Roaring Skies
DCR,Double Crisis
PRC,Primal Clash
PHF,Phantom Forces
FFI,Furious Fists
FLF,Flashfire
XY,XY
KSS,Kalos Starter Set
XYP,XY Promos
LTR,Legendary Treasures
PLB,Plasma Blast
PLF,Plasma Freeze
PLS,Plasma Storm
BCR,Boundaries Crossed
DRV,Dragon Vault
DRX,Dragons Exalted
DEX,Dark Explorers
NXD,Next Destinies
NVI,Noble Victories
EPO,Emerging Powers
BLW,Black & White
BWP,Black & White Promos
CL,Call of Legends
UD,Undaunted
UL,Unleashed
HS,HeartGold & SoulSilver
HSP,HeartGold & SoulSilver Promos
RM,Pokémon Rumble
AR,Arceus
SV,Supreme Victors
RR,Rising Rivals
P9,POP Series 9
PL,Platinum
SF,Stormfront
P8,POP Series 8
LA,Legends Awakened
MD,Majestic Dawn
P7,POP Series 7
GE,Great Encounters
SW,Secret Wonders
P6,POP Series 6
MT,Mysterious Treasures
DP,Diamond & Pearl
DPP,Diamond & Pearl Promos
P5,POP Series 5
PK,Power Keepers
DF,Dragon Frontiers
CG,Crystal Guardians
P4,POP Series 4
HP,Holon Phantoms
P3,POP Series 3
LM,Legend Maker
DS,Delta Species
UF,Unseen Forces
P2,POP Series 2
EM,Emerald
DX,Deoxys
TRR,Team Rocket Returns
P1,POP Series 1
RG,FireRed & LeafGreen
HL,Hidden Legends
MA,Team Magma vs Team Aqua
DR,Dragon
SS,Sandstorm
RS,Ruby & Sapphire
NP,Nintendo Promos
E3,Skyridge
E2,Aquapolis
BG,Best of Game
E1,Expedition
LC,Legendary Collection
N4,Neo Destiny
N3,Neo Revelation
SI,Southern Islands
N2,Neo Discovery
N1,Neo Genesis
G2,Gym Challenge
G1,Gym Heroes
TR,Team Rocket
BS2,Base Set 2
FO,Fossil
JU,Jungle
BS,Base Set
WP,WotC Promos
