archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;image_url
Aegislash Dudunsparce;Aegislash;Aegislash M3 57;8;4;2;2;100,0;M3;;57;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_057_R_JP_LG.png
Aegislash Dudunsparce;Air Balloon;Air Balloon ASC 181;3;2;2;2;100,0;ASC;;181;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png
Aegislash Dudunsparce;Battle Cage;Battle Cage PFL 85;4;2;2;2;100,0;PFL;;85;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png
Aegislash Dudunsparce;Boss's Orders;Boss's Orders ASC 183;3;2;2;2;100,0;ASC;;183;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
Aegislash Dudunsparce;Buddy-Buddy Poffin;Buddy-Buddy Poffin ASC 184;8;4;2;2;100,0;ASC;;184;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png
Aegislash Dudunsparce;Crispin;Crispin PRE 105;3;2;2;2;100,0;PRE;;105;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png
Aegislash Dudunsparce;Darkness Energy;Darkness Energy SFA 98;2;1;2;2;100,0;SFA;;98;Secret Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_098_R_EN_LG.png
Aegislash Dudunsparce;Doublade;Doublade M3 56;8;4;2;2;100,0;M3;;56;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_056_C_JP_LG.png
Aegislash Dudunsparce;Dudunsparce;Dudunsparce TEF 129;5;3;2;2;100,0;TEF;;129;Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_129_R_EN_LG.png
Aegislash Dudunsparce;Dunsparce;Dunsparce JTG 120;7;4;2;2;100,0;JTG;;120;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_120_R_EN_LG.png
Aegislash Dudunsparce;Fan Rotom;Fan Rotom ASC 171;2;1;2;2;100,0;ASC;;171;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_171_R_EN_LG.png
Aegislash Dudunsparce;Genesect ex;Genesect ex BLK 67;4;2;2;2;100,0;BLK;;67;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png
Aegislash Dudunsparce;Hilda;Hilda MC 718;3;2;2;2;100,0;MC;;718;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_718_R_EN_LG.png
Aegislash Dudunsparce;Honedge;Honedge M3 55;8;4;2;2;100,0;M3;;55;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_055_C_JP_LG.png
Aegislash Dudunsparce;Ignition Energy;Ignition Energy MC 736;8;4;2;2;100,0;MC;;736;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_736_R_EN_LG.png
Aegislash Dudunsparce;Lightning Energy;Lightning Energy SVE 4;2;1;2;2;100,0;SVE;;4;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_004_R_EN_LG.png
Aegislash Dudunsparce;Lillie's Determination;Lillie's Determination ASC 192;8;4;2;2;100,0;ASC;;192;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png
Aegislash Dudunsparce;Metal Energy;Metal Energy SFA 99;2;1;2;2;100,0;SFA;;99;Secret Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_099_R_EN_LG.png
Aegislash Dudunsparce;Night Stretcher;Night Stretcher ASC 196;4;2;2;2;100,0;ASC;;196;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png
Aegislash Dudunsparce;Poké Pad;Poké Pad ASC 198;7;4;2;2;100,0;ASC;;198;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png
Aegislash Dudunsparce;Sacred Ash;Sacred Ash DRI 168;2;1;2;2;100,0;DRI;;168;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png
Aegislash Dudunsparce;Ultra Ball;Ultra Ball ASC 213;3;2;2;2;100,0;ASC;;213;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png
Aegislash Dudunsparce;Brock's Scouting;Brock's Scouting JTG 146;2;2;1;2;50,0;JTG;;146;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png
Aegislash Dudunsparce;Counter Gain;Counter Gain ASC 186;1;1;1;2;50,0;ASC;;186;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_186_R_EN_LG.png
Aegislash Dudunsparce;Dawn;Dawn PFL 87;3;3;1;2;50,0;PFL;;87;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
Aegislash Dudunsparce;Fezandipiti ex;Fezandipiti ex ASC 142;1;1;1;2;50,0;ASC;;142;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png
Aegislash Dudunsparce;Hyper Aroma;Hyper Aroma TWM 152;1;1;1;2;50,0;TWM;;152;Ultra Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_152_R_EN_LG.png
Aegislash Dudunsparce;Lillie's Clefairy ex;Lillie's Clefairy ex ASC 76;1;1;1;2;50,0;ASC;;76;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_076_R_EN_LG.png
Aegislash Dudunsparce;Pokégear 3.0;Pokégear 3.0 SVI 186;1;1;1;2;50,0;SVI;;186;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_186_R_EN_LG.png
Aegislash Dudunsparce;Prime Catcher;Prime Catcher PRE 119;1;1;1;2;50,0;PRE;;119;Ultra Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png
Aegislash Dudunsparce;Psychic Energy;Psychic Energy SVE 5;2;2;1;2;50,0;SVE;;5;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_005_R_EN_LG.png
Aegislash Dudunsparce;Shaymin;Shaymin DRI 10;1;1;1;2;50,0;DRI;;10;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png
Aegislash Dudunsparce;Switch;Switch MEG 130;1;1;1;2;50,0;MEG;;130;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png
Aegislash Dudunsparce;Water Energy;Water Energy SVE 3;1;1;1;2;50,0;SVE;;3;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_003_R_EN_LG.png
Aegislash Metagross;Aegislash;Aegislash M3 57;8;4;2;2;100,0;M3;;57;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_057_R_JP_LG.png
Aegislash Metagross;Boss's Orders;Boss's Orders ASC 183;4;2;2;2;100,0;ASC;;183;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
Aegislash Metagross;Buddy-Buddy Poffin;Buddy-Buddy Poffin ASC 184;8;4;2;2;100,0;ASC;;184;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png
Aegislash Metagross;Cyrano;Cyrano SSP 170;2;1;2;2;100,0;SSP;;170;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png
Aegislash Metagross;Doublade;Doublade M3 56;8;4;2;2;100,0;M3;;56;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_056_C_JP_LG.png
Aegislash Metagross;Energy Recycler;Energy Recycler BST 124;2;1;2;2;100,0;BST;;124;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BST/BST_124_R_EN_LG.png
Aegislash Metagross;Genesect ex;Genesect ex BLK 67;6;3;2;2;100,0;BLK;;67;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png
Aegislash Metagross;Honedge;Honedge M3 55;8;4;2;2;100,0;M3;;55;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_055_C_JP_LG.png
Aegislash Metagross;Judge;Judge SVI 176;2;1;2;2;100,0;SVI;;176;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_176_R_EN_LG.png
Aegislash Metagross;Latias ex;Latias ex SSP 76;2;1;2;2;100,0;SSP;;76;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png
Aegislash Metagross;Lillie's Determination;Lillie's Determination ASC 192;7;4;2;2;100,0;ASC;;192;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png
Aegislash Metagross;Max Rod;Max Rod PRE 116;2;1;2;2;100,0;PRE;;116;Ultra Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_116_R_EN_LG.png
Aegislash Metagross;Mega Skarmory ex;Mega Skarmory ex M3 54;2;1;2;2;100,0;M3;;54;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_054_DR_JP_LG.png
Aegislash Metagross;Metal Energy;Metal Energy SFA 99;10;5;2;2;100,0;SFA;;99;Secret Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_099_R_EN_LG.png
Aegislash Metagross;Night Stretcher;Night Stretcher ASC 196;2;1;2;2;100,0;ASC;;196;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png
Aegislash Metagross;Poké Pad;Poké Pad ASC 198;6;3;2;2;100,0;ASC;;198;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png
Aegislash Metagross;Psychic Energy;Psychic Energy SVE 5;10;5;2;2;100,0;SVE;;5;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_005_R_EN_LG.png
Aegislash Metagross;Rare Candy;Rare Candy MEG 125;4;2;2;2;100,0;MEG;;125;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png
Aegislash Metagross;Steven's Beldum;Steven's Beldum DRI 143;5;3;2;2;100,0;DRI;;143;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_143_R_EN_LG.png
Aegislash Metagross;Steven's Metagross ex;Steven's Metagross ex DRI 145;4;2;2;2;100,0;DRI;;145;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_145_R_EN_LG.png
Aegislash Metagross;Steven's Metang;Steven's Metang DRI 144;4;2;2;2;100,0;DRI;;144;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_144_R_EN_LG.png
Aegislash Metagross;Ultra Ball;Ultra Ball ASC 213;4;2;2;2;100,0;ASC;;213;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png
Aegislash Metagross;Air Balloon;Air Balloon ASC 181;1;1;1;2;50,0;ASC;;181;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png
Aegislash Metagross;Battle Cage;Battle Cage PFL 85;1;1;1;2;50,0;PFL;;85;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png
Aegislash Metagross;Brock's Scouting;Brock's Scouting JTG 146;2;2;1;2;50,0;JTG;;146;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png
Aegislash Metagross;Dawn;Dawn PFL 87;1;1;1;2;50,0;PFL;;87;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
Aegislash Metagross;Fezandipiti ex;Fezandipiti ex SFA 38;1;1;1;2;50,0;SFA;;38;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png
Aegislash Metagross;Lana's Aid;Lana's Aid TWM 155;1;1;1;2;50,0;TWM;;155;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png
Aegislash Metagross;Team;Team;3;3;1;2;50,0;;;;;
Alakazam;Abra;Abra TWM 80;104;4;27;27;100,0;TWM;;80;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_080_R_EN_LG.png
Alakazam;Kadabra;Kadabra MEG 55;88;4;27;27;100,0;MEG;;55;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_055_R_EN_LG.png
Alakazam;Psychic Energy;Psychic Energy SVE 5;146;12;27;27;100,0;SVE;;5;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_005_R_EN_LG.png
Alakazam;Buddy-Buddy Poffin;Buddy-Buddy Poffin ASC 184;92;4;26;27;96,3;ASC;;184;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png
Alakazam;Rare Candy;Rare Candy MEG 125;66;4;26;27;96,3;MEG;;125;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png
Alakazam;Alakazam;Alakazam MEG 56;71;4;25;27;92,6;MEG;;56;Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_056_R_EN_LG.png
Alakazam;Boss's Orders;Boss's Orders ASC 183;58;4;24;27;88,9;ASC;;183;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
Alakazam;Night Stretcher;Night Stretcher ASC 196;33;3;21;27;77,8;ASC;;196;Common;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png
Alakazam;Hilda;Hilda MC 718;63;4;19;27;70,4;MC;;718;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_718_R_EN_LG.png
Alakazam;Nest Ball;Nest Ball SVI 181;52;4;18;27;66,7;SVI;;181;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_181_R_EN_LG.png
Alakazam;Dawn;Dawn PFL 87;49;4;15;27;55,6;PFL;;87;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
Alakazam;Lillie's Determination;Lillie's Determination ASC 192;43;4;15;27;55,6;ASC;;192;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png
Alakazam;Fezandipiti ex;Fezandipiti ex SFA 38;14;1;14;27;51,9;SFA;;38;Double Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png
Alakazam;Jet Energy;Jet Energy SSP 252;15;2;13;27;48,1;SSP;;252;Secret Rare;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_252_R_EN_LG.png
Alakazam;Shaymin;Shaymin DRI 10;13;1;13;27;48,1;DRI;;10;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png
Alakazam;Artazon;Artazon PAL 171;33;4;12;27;44,4;PAL;;171;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_171_R_EN_LG.png
Alakazam;Battle Cage;Battle Cage PFL 85;26;4;11;27;40,7;PFL;;85;Uncommon;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png
Alakazam;Psyduck;Psyduck MEP 7;11;1;11;27;40,7;MEP;;7;;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEP/MEP_007_R_EN_LG.png
